"","OBJECTID","STREET","ROADCAT_DS","SHIELD_NO","ShapeSTLen","id","area","geometry","Cross_Times","Passage_Distances"
"1",12388,"N SILVERBELL RD","Major local road","0",74776.0486567459,"id",2.040521108e-06,c(-111.031506296881, 32.2769703188167),"2022-11-24 18:39:54 UTC",1784.44024900775
"1.1",12388,"N SILVERBELL RD","Major local road","0",74776.0486567459,"id",2.040521108e-06,c(-111.029395581146, 32.2749451965741),"2022-11-17 16:37:59 UTC",1702.40887775254
"1.2",12388,"N SILVERBELL RD","Major local road","0",74776.0486567459,"id",2.040521108e-06,c(-111.028582071868, 32.274115612377),"2022-11-17 14:44:59 UTC",1690.03529317116
"1.3",12388,"N SILVERBELL RD","Major local road","0",74776.0486567459,"id",2.040521108e-06,c(-111.026385821704, 32.2716763935949),"2022-11-27 12:16:10 UTC",1592.70517101336
"1.4",12388,"N SILVERBELL RD","Major local road","0",74776.0486567459,"id",2.040521108e-06,c(-111.025502127479, 32.2706785916127),"2022-11-27 10:14:10 UTC",1405.46958247862
"1.5",12388,"N SILVERBELL RD","Major local road","0",74776.0486567459,"id",2.040521108e-06,c(-111.025149231324, 32.2700883265981),"2022-11-30 09:47:09 UTC",1304.82820200812
"1.6",12388,"N SILVERBELL RD","Major local road","0",74776.0486567459,"id",2.040521108e-06,c(-111.027631590379, 32.2730617101487),"2022-11-30 07:16:16 UTC",1700.98389865202
"1.7",12388,"N SILVERBELL RD","Major local road","0",74776.0486567459,"id",2.040521108e-06,c(-111.034363005317, 32.2803397335772),"2022-11-24 14:15:10 UTC",1506.52631273068
"2",20948,"W EL CAMINO DEL CERRO","Major local road","0",17286.9452756773,"id",2.040521108e-06,c(-111.039491883977, 32.2942332514115),"2022-12-02 17:58:14 UTC",104.387581724374
"2.1",20948,"W EL CAMINO DEL CERRO","Major local road","0",17286.9452756773,"id",2.040521108e-06,c(-111.038198048965, 32.2942307693328),"2022-11-23 05:53:15 UTC",1.09871708449335
"2.2",20948,"W EL CAMINO DEL CERRO","Major local road","0",17286.9452756773,"id",2.040521108e-06,c(-111.038261742844, 32.2942308918312),"2022-11-23 00:48:06 UTC",1.10227508168264
"2.3",20948,"W EL CAMINO DEL CERRO","Major local road","0",17286.9452756773,"id",2.040521108e-06,c(-111.036348402564, 32.2942271980761),"2022-12-02 16:11:21 UTC",136.163045816139
"3",24206,"W SWEETWATER DR","Major local road","0",10187.6065970152,"id",2.040521108e-06,c(-111.034944859585, 32.2797448024942),"2022-11-24 14:30:08 UTC",1429.37422635439
