"","OBJECTID","STREET","ROADCAT_DS","SHIELD_NO","ShapeSTLen","id","area","geometry","Cross_Times","Passage_Distances"
"1",3398,"E I10","Interstate highway","10",147455.311549455,"id",2.040521108e-06,c(-111.099300311948, 32.367774673743),"2024-02-25 10:48:13 UTC",1802.27996608767
"1.1",3398,"E I10","Interstate highway","10",147455.311549455,"id",2.040521108e-06,c(-111.10235466969, 32.3707407443793),"2024-02-25 11:38:13 UTC",1557.12343630626
"1.2",3398,"E I10","Interstate highway","10",147455.311549455,"id",2.040521108e-06,c(-111.102161722343, 32.3705546540759),"2024-03-25 04:37:14 UTC",1594.562039924
"1.3",3398,"E I10","Interstate highway","10",147455.311549455,"id",2.040521108e-06,c(-111.102523527757, 32.3709036006283),"2024-03-18 12:41:09 UTC",1524.35925333283
"1.4",3398,"E I10","Interstate highway","10",147455.311549455,"id",2.040521108e-06,c(-111.103063106956, 32.3714303367434),"2024-03-25 00:00:13 UTC",1418.88411084374
"1.5",3398,"E I10","Interstate highway","10",147455.311549455,"id",2.040521108e-06,c(-111.103851970211, 32.3722110943967),"2024-03-18 12:29:10 UTC",1263.36950377504
"1.6",3398,"E I10","Interstate highway","10",147455.311549455,"id",2.040521108e-06,c(-111.104627980533, 32.3730088883382),"2024-04-26 09:45:18 UTC",1106.73099921614
"1.7",3398,"E I10","Interstate highway","10",147455.311549455,"id",2.040521108e-06,c(-111.106464189093, 32.3750184215633),"2024-05-02 15:41:11 UTC",721.122185836959
"1.8",3398,"E I10","Interstate highway","10",147455.311549455,"id",2.040521108e-06,c(-111.107001857178, 32.3756334158498),"2024-04-19 14:31:09 UTC",604.945000215012
"1.9",3398,"E I10","Interstate highway","10",147455.311549455,"id",2.040521108e-06,c(-111.107028052971, 32.3756636218641),"2024-04-19 18:01:19 UTC",599.254892564036
"1.10",3398,"E I10","Interstate highway","10",147455.311549455,"id",2.040521108e-06,c(-111.109348047428, 32.3784816230511),"2024-05-02 18:06:12 UTC",77.7635107182955
"1.11",3398,"E I10","Interstate highway","10",147455.311549455,"id",2.040521108e-06,c(-111.110880147259, 32.3803488543273),"2024-04-26 14:00:13 UTC",267.374924742697
"2",3400,"E I10 EB 244 EXIT ON RAMP","Interstate ramp","0",1710.31156148087,"id",2.040521108e-06,c(-111.106553491878, 32.3749640885454),"2024-05-02 15:39:10 UTC",721.07444569539
"2.1",3400,"E I10 EB 244 EXIT ON RAMP","Interstate ramp","0",1710.31156148087,"id",2.040521108e-06,c(-111.107099627793, 32.3754899632496),"2024-04-19 14:28:09 UTC",615.22152114392
"2.2",3400,"E I10 EB 244 EXIT ON RAMP","Interstate ramp","0",1710.31156148087,"id",2.040521108e-06,c(-111.107208701496, 32.3755949893897),"2024-04-19 18:03:19 UTC",594.080974684809
"3",3407,"E I10 EB EXIT 244 OFF RAMP","Interstate ramp","0",1581.35771092265,"id",2.040521108e-06,c(-111.111958721185, 32.3809995576001),"2024-04-26 14:09:13 UTC",428.694748567785
"4",8426,"N CASA GRANDE HY","Frontage road","0",29898.5578902051,"id",2.040521108e-06,c(-111.09930430738, 32.3675115003495),"2024-02-25 10:44:13 UTC",1773.13381577264
"4.1",8426,"N CASA GRANDE HY","Frontage road","0",29898.5578902051,"id",2.040521108e-06,c(-111.101383582634, 32.3694824775861),"2024-03-18 12:55:08 UTC",1785.1266028762
"4.2",8426,"N CASA GRANDE HY","Frontage road","0",29898.5578902051,"id",2.040521108e-06,c(-111.102469595859, 32.3704464009637),"2024-03-25 04:52:14 UTC",1584.67067411872
"4.3",8426,"N CASA GRANDE HY","Frontage road","0",29898.5578902051,"id",2.040521108e-06,c(-111.103272907411, 32.3711712987771),"2024-02-25 11:47:14 UTC",1434.93561612308
"4.4",8426,"N CASA GRANDE HY","Frontage road","0",29898.5578902051,"id",2.040521108e-06,c(-111.10343761599, 32.3713342813429),"2024-03-24 23:56:12 UTC",1402.469191903
"4.5",8426,"N CASA GRANDE HY","Frontage road","0",29898.5578902051,"id",2.040521108e-06,c(-111.104759365147, 32.3726565977752),"2024-04-26 09:40:18 UTC",1140.16452680132
"4.6",8426,"N CASA GRANDE HY","Frontage road","0",29898.5578902051,"id",2.040521108e-06,c(-111.112129809278, 32.3811030053194),"2024-04-26 14:11:13 UTC",454.312060748055
"4.7",8426,"N CASA GRANDE HY","Frontage road","0",29898.5578902051,"id",2.040521108e-06,c(-111.108785557447, 32.3769890432403),"2024-04-23 17:29:13 UTC",303.75825299241
"4.8",8426,"N CASA GRANDE HY","Frontage road","0",29898.5578902051,"id",2.040521108e-06,c(-111.107285954388, 32.3752060766488),"2024-04-19 14:21:09 UTC",636.11014442686
"4.9",8426,"N CASA GRANDE HY","Frontage road","0",29898.5578902051,"id",2.040521108e-06,c(-111.106676025714, 32.3745948882868),"2024-03-18 12:07:11 UTC",757.253682226244
"4.10",8426,"N CASA GRANDE HY","Frontage road","0",29898.5578902051,"id",2.040521108e-06,c(-111.106857078786, 32.3747759287758),"2024-05-02 15:32:10 UTC",721.336681949029
"4.11",8426,"N CASA GRANDE HY","Frontage road","0",29898.5578902051,"id",2.040521108e-06,c(-111.107774303485, 32.3757467084255),"2024-04-23 17:18:14 UTC",532.831669965396
"4.12",8426,"N CASA GRANDE HY","Frontage road","0",29898.5578902051,"id",2.040521108e-06,c(-111.107529785132, 32.3754760129691),"2024-04-19 18:06:19 UTC",584.540001727527
"4.13",8426,"N CASA GRANDE HY","Frontage road","0",29898.5578902051,"id",2.040521108e-06,c(-111.110198127281, 32.3786580513361),"2024-05-02 18:14:12 UTC",8.12469903816513
"5",8723,"N CORTARO RD","Major local road","0",9763.64456647323,"id",2.040521108e-06,c(-111.105565413993, 32.3401899147957),"2024-03-10 12:12:16 UTC",1480.66261891379
"5.1",8723,"N CORTARO RD","Major local road","0",9763.64456647323,"id",2.040521108e-06,c(-111.10407224801, 32.3421284733803),"2024-03-10 10:49:20 UTC",1140.94742713317
"5.2",8723,"N CORTARO RD","Major local road","0",9763.64456647323,"id",2.040521108e-06,c(-111.10045354779, 32.3467136127516),"2024-02-12 20:01:11 UTC",426.790763442728
"5.3",8723,"N CORTARO RD","Major local road","0",9763.64456647323,"id",2.040521108e-06,c(-111.097442484522, 32.3505611055082),"2024-01-14 12:46:16 UTC",121.817906367528
"5.4",8723,"N CORTARO RD","Major local road","0",9763.64456647323,"id",2.040521108e-06,c(-111.097423578217, 32.3505842648403),"2024-03-19 17:21:12 UTC",117.541369450597
"5.5",8723,"N CORTARO RD","Major local road","0",9763.64456647323,"id",2.040521108e-06,c(-111.096804934157, 32.3513420661449),"2024-03-16 00:39:08 UTC",0.606948621077185
"5.6",8723,"N CORTARO RD","Major local road","0",9763.64456647323,"id",2.040521108e-06,c(-111.096791697036, 32.3513582806299),"2024-03-16 00:39:08 UTC",0.661474283172712
"5.7",8723,"N CORTARO RD","Major local road","0",9763.64456647323,"id",2.040521108e-06,c(-111.096792865992, 32.3513568487468),"2024-03-16 00:39:08 UTC",0.656659220351139
"5.8",8723,"N CORTARO RD","Major local road","0",9763.64456647323,"id",2.040521108e-06,c(-111.096823979961, 32.3513187373267),"2024-03-16 00:39:08 UTC",0.528420113486756
"5.9",8723,"N CORTARO RD","Major local road","0",9763.64456647323,"id",2.040521108e-06,c(-111.09693737426, 32.3511798360697),"2024-01-15 17:54:10 UTC",7.56696821604554
