"","OBJECTID","STREET","ROADCAT_DS","SHIELD_NO","ShapeSTLen","id","area","geometry","Cross_Times","Passage_Distances"
"1",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062060381899, 32.2514636701823),"2023-02-11 18:27:09 UTC",2349.20907544892
"1.1",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062060013263, 32.2514646117265),"2023-02-11 18:27:09 UTC",2349.34750826389
"1.2",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062047544184, 32.2514964593741),"2023-03-01 03:20:22 UTC",2354.03088128286
"1.3",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062023904605, 32.251556837862),"2023-12-27 23:30:22 UTC",2362.91462195665
"1.4",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.061932760013, 32.2517910011407),"2023-07-02 13:29:07 UTC",2397.43109927729
"1.5",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.06191397619, 32.2518597395033),"2022-12-07 00:29:15 UTC",2407.65897858339
"1.6",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.061897948804, 32.2519183907514),"2023-02-12 03:49:18 UTC",2416.3893589746
"1.7",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.061891509766, 32.2519419540019),"2023-06-23 17:10:16 UTC",2419.89768096631
"1.8",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.061899558799, 32.2519124990772),"2023-02-12 03:49:18 UTC",2415.51222832588
"1.9",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.061956282339, 32.2517295532532),"2023-02-10 03:10:16 UTC",2388.36074040948
"1.10",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062110156497, 32.2513365391616),"2023-03-07 09:20:12 UTC",2330.5314401245
"1.11",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062125779694, 32.2512966353374),"2023-02-11 14:04:06 UTC",2324.67475009964
"1.12",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062230649367, 32.2510287826015),"2022-11-22 23:03:12 UTC",2285.43617409531
"1.13",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.06215709917, 32.2512166409138),"2023-03-29 10:36:09 UTC",2312.94248842196
"1.14",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062313790532, 32.2508164265221),"2023-01-30 16:53:07 UTC",2254.42237772156
"1.15",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062344771454, 32.2507372959341),"2022-12-24 11:35:09 UTC",2242.88790518905
"1.16",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062396776788, 32.2506292532339),"2023-05-01 19:59:15 UTC",2227.2977746729
"1.17",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062382453128, 32.2506571955141),"2023-05-01 18:03:15 UTC",2231.31424496107
"1.18",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.061864055317, 32.25204242166),"2023-02-12 07:22:21 UTC",2434.86183222385
"1.19",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.061867167602, 32.2520310324784),"2023-02-10 00:38:16 UTC",2433.16502101493
"1.20",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.061870027804, 32.2520205657749),"2022-12-11 20:40:18 UTC",2431.60574569794
"1.21",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.061828378746, 32.252172977268),"2023-01-30 21:30:07 UTC",2454.32069532813
"1.22",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.06183804565, 32.2521376020302),"2022-12-07 03:18:15 UTC",2449.04667513426
"1.23",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.0618210307, 32.2521998668166),"2023-01-30 21:30:07 UTC",2458.33032239199
"1.24",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.061800073402, 32.2522765581711),"2023-04-17 13:16:07 UTC",2469.76952089492
