"","OBJECTID","STREET","ROADCAT_DS","SHIELD_NO","ShapeSTLen","id","area","geometry","Cross_Times","Passage_Distances"
"1",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062784736784, 32.2648954927371),"2022-04-21 14:49:06 UTC",3072.5010261111
"1.1",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062794558283, 32.2623172689895),"2022-04-16 12:52:06 UTC",3374.56590170543
"1.2",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.06192798323, 32.2518084815268),"2022-05-14 12:43:07 UTC",2400.03167048364
"1.3",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.061928328334, 32.251807218637),"2022-05-14 12:43:07 UTC",2399.84377991464
"1.4",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.061914077684, 32.2518593680916),"2022-05-29 20:58:19 UTC",2407.60370300305
"1.5",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.061944385831, 32.2517599382929),"2022-06-26 20:30:19 UTC",2392.8424548626
"1.6",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.061982278349, 32.2516631564037),"2022-06-15 15:09:22 UTC",2378.57264649307
"1.7",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062094668536, 32.251376097538),"2022-05-11 01:13:12 UTC",2336.34019673941
"1.8",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062149338232, 32.2512364634731),"2022-07-09 22:30:13 UTC",2315.84866654835
"1.9",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.06228294877, 32.2508952015304),"2022-07-15 22:02:11 UTC",2265.91712077522
"1.10",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062257405708, 32.2509604426624),"2022-06-18 09:21:19 UTC",2275.44602891572
"1.11",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062193224584, 32.2511243712519),"2022-07-21 19:05:09 UTC",2299.42422717873
"1.12",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062173006412, 32.2511760114838),"2022-07-21 18:58:08 UTC",2306.98803810852
"1.13",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062165695915, 32.2511946835703),"2022-05-25 18:49:25 UTC",2309.72415687543
"1.14",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062152597463, 32.251228138927),"2022-07-09 22:30:13 UTC",2314.62812186041
"1.15",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062370291168, 32.2506809207851),"2022-06-11 01:39:07 UTC",2234.72642649347
"1.16",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062369748123, 32.2506819801431),"2022-06-11 01:39:07 UTC",2234.87882388482
"1.17",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062447565555, 32.2505301754726),"2022-06-18 14:21:10 UTC",2213.07556955914
"1.18",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.06244964009, 32.2505254453672),"2022-06-18 14:21:10 UTC",2212.39215445728
"1.19",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062439364512, 32.2505461739276),"2022-07-08 02:10:17 UTC",2215.37001844021
"1.20",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.061852011009, 32.2520864969028),"2022-06-19 05:02:18 UTC",2441.4294337982
"1.21",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.061843740482, 32.2521167622486),"2022-06-20 04:44:27 UTC",2445.94022241842
"1.22",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.061838337572, 32.2521365337645),"2022-06-23 22:28:19 UTC",2448.88742645727
"1.23",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.061834789567, 32.2521495173988),"2022-07-15 18:49:11 UTC",2450.82299184266
"1.24",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.061817486548, 32.2522128363315),"2022-05-20 10:46:07 UTC",2460.26448921306
"1.25",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.061778215557, 32.2523489262868),"2022-06-18 15:37:12 UTC",2480.55029508613
"1.26",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.061769189056, 32.2523770649336),"2022-06-07 16:58:08 UTC",2484.73897614127
"1.27",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.061742057271, 32.2524616437454),"2022-06-25 10:48:06 UTC",2497.33433283561
"1.28",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.061785996366, 32.2523246708677),"2022-06-27 08:19:58 UTC",2476.94034729443
"1.29",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.061727540743, 32.2525068965306),"2022-06-18 21:18:04 UTC",2504.07640775159
"1.30",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.061707563903, 32.2525913936202),"2022-06-27 03:28:02 UTC",2516.72869914579
"1.31",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.061706870905, 32.2525946295593),"2022-06-27 03:27:02 UTC",2517.21391138381
"1.32",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.061705095167, 32.2526029213331),"2022-06-27 03:24:03 UTC",2518.45724587749
