"","OBJECTID","STREET","ROADCAT_DS","SHIELD_NO","ShapeSTLen","id","area","geometry","Cross_Times","Passage_Distances"
"1",15755,"S GREASEWOOD RD","Major local road","0",5274.6694494786,"id",2.040521108e-06,c(-111.020289799973, 32.2088849391593),"2023-06-26 12:54:13 UTC",1380.77996979993
"1.1",15755,"S GREASEWOOD RD","Major local road","0",5274.6694494786,"id",2.040521108e-06,c(-111.020289795726, 32.2088877675244),"2023-06-26 13:02:13 UTC",1381.03883959422
"1.2",15755,"S GREASEWOOD RD","Major local road","0",5274.6694494786,"id",2.040521108e-06,c(-111.020292391831, 32.2071586223002),"2023-07-23 13:26:10 UTC",1240.66541380612
"2",16238,"S LA CHOLLA BL","Major local road","0",10559.6256813484,"id",2.040521108e-06,c(-111.01172839525, 32.2014033457822),"2023-03-12 09:36:07 UTC",284.558854239365
"2.1",16238,"S LA CHOLLA BL","Major local road","0",10559.6256813484,"id",2.040521108e-06,c(-111.011726210447, 32.2012564600269),"2023-03-12 10:31:09 UTC",306.907524497463
"2.2",16238,"S LA CHOLLA BL","Major local road","0",10559.6256813484,"id",2.040521108e-06,c(-111.011747177588, 32.2026660757539),"2023-03-30 06:30:11 UTC",92.4399974601917
"2.3",16238,"S LA CHOLLA BL","Major local road","0",10559.6256813484,"id",2.040521108e-06,c(-111.011749230063, 32.2028040608583),"2023-03-30 09:53:10 UTC",71.4482712325097
"2.4",16238,"S LA CHOLLA BL","Major local road","0",10559.6256813484,"id",2.040521108e-06,c(-111.011752435915, 32.2030195849645),"2023-11-22 18:24:07 UTC",38.6662548411344
"2.5",16238,"S LA CHOLLA BL","Major local road","0",10559.6256813484,"id",2.040521108e-06,c(-111.011752479998, 32.203022548595),"2023-11-22 18:24:07 UTC",38.2155931048697
"2.6",16238,"S LA CHOLLA BL","Major local road","0",10559.6256813484,"id",2.040521108e-06,c(-111.011753093678, 32.2030638051621),"2023-10-01 06:18:17 UTC",31.9426900183595
"2.7",16238,"S LA CHOLLA BL","Major local road","0",10559.6256813484,"id",2.040521108e-06,c(-111.011753353689, 32.2030812852168),"2023-12-28 07:46:09 UTC",29.2854631701674
"2.8",16238,"S LA CHOLLA BL","Major local road","0",10559.6256813484,"id",2.040521108e-06,c(-111.011753802213, 32.2031114386247),"2023-11-02 02:08:08 UTC",24.7028858289993
"2.9",16238,"S LA CHOLLA BL","Major local road","0",10559.6256813484,"id",2.040521108e-06,c(-111.011754446903, 32.2031547798896),"2023-12-25 13:42:10 UTC",18.1207157433547
"2.10",16238,"S LA CHOLLA BL","Major local road","0",10559.6256813484,"id",2.040521108e-06,c(-111.011754790648, 32.2031777868369),"2023-10-01 07:37:16 UTC",14.6311145352504
"2.11",16238,"S LA CHOLLA BL","Major local road","0",10559.6256813484,"id",2.040521108e-06,c(-111.011756340955, 32.2032650332642),"2023-10-27 02:15:14 UTC",1.80395006576125
"2.12",16238,"S LA CHOLLA BL","Major local road","0",10559.6256813484,"id",2.040521108e-06,c(-111.011756674093, 32.2032837811552),"2023-11-13 10:59:13 UTC",1.26537090717501
"2.13",16238,"S LA CHOLLA BL","Major local road","0",10559.6256813484,"id",2.040521108e-06,c(-111.011757553451, 32.2033332685911),"2023-10-27 00:55:11 UTC",1.3519961624248
"2.14",16238,"S LA CHOLLA BL","Major local road","0",10559.6256813484,"id",2.040521108e-06,c(-111.011757692258, 32.2033410801694),"2023-10-27 04:40:18 UTC",1.36566949242252
"2.15",16238,"S LA CHOLLA BL","Major local road","0",10559.6256813484,"id",2.040521108e-06,c(-111.011760859491, 32.203519321216),"2023-12-28 06:25:10 UTC",15.9294085148391
"2.16",16238,"S LA CHOLLA BL","Major local road","0",10559.6256813484,"id",2.040521108e-06,c(-111.011760920794, 32.2035227711438),"2023-12-28 06:25:10 UTC",16.4520826426087
"2.17",16238,"S LA CHOLLA BL","Major local road","0",10559.6256813484,"id",2.040521108e-06,c(-111.011763799439, 32.2036847708622),"2023-10-23 18:52:13 UTC",41.0600103177632
"2.18",16238,"S LA CHOLLA BL","Major local road","0",10559.6256813484,"id",2.040521108e-06,c(-111.011763949705, 32.203693227276),"2023-10-23 18:52:13 UTC",42.3458525945712
"2.19",16238,"S LA CHOLLA BL","Major local road","0",10559.6256813484,"id",2.040521108e-06,c(-111.011771338376, 32.2041090321533),"2023-10-13 08:31:02 UTC",105.595913692481
"2.20",16238,"S LA CHOLLA BL","Major local road","0",10559.6256813484,"id",2.040521108e-06,c(-111.011771461045, 32.2041159354479),"2023-10-13 08:31:02 UTC",106.646162926848
"2.21",16238,"S LA CHOLLA BL","Major local road","0",10559.6256813484,"id",2.040521108e-06,c(-111.011778361524, 32.2045042633744),"2023-12-25 05:09:09 UTC",165.727375276762
"2.22",16238,"S LA CHOLLA BL","Major local road","0",10559.6256813484,"id",2.040521108e-06,c(-111.011764578945, 32.2037286385081),"2023-10-23 19:20:13 UTC",47.730800266051
