"","OBJECTID","STREET","ROADCAT_DS","SHIELD_NO","ShapeSTLen","id","area","geometry","Cross_Times","Passage_Distances"
"1",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020343127465, 32.2307160991714),"2021-01-03 17:29:10 UTC",836.115377622729
"1.1",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020285789001, 32.2258445000927),"2020-11-28 08:34:13 UTC",1321.43362882858
"1.2",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020278286947, 32.2221636439148),"2021-01-04 14:19:10 UTC",1381.39868413553
"1.3",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020277889863, 32.2225520698395),"2020-11-25 06:48:18 UTC",1364.54514549781
"1.4",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020279103133, 32.2213652435327),"2021-01-11 21:18:18 UTC",1423.13222284
"1.5",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020278762996, 32.2216979708639),"2021-01-27 12:30:25 UTC",1404.61545432531
"2",11543,"N PLAYERS CLUB DR","Major local road","0",1567.78937479126,"id",2.040521108e-06,c(-111.03386073921, 32.22443942214),"2020-11-25 01:13:18 UTC",417.769265749571
"2.1",11543,"N PLAYERS CLUB DR","Major local road","0",1567.78937479126,"id",2.040521108e-06,c(-111.035109965875, 32.2236354431443),"2020-11-25 04:28:23 UTC",606.005405955773
"3",12388,"N SILVERBELL RD","Major local road","0",74776.0486567459,"id",2.040521108e-06,c(-110.993868699879, 32.2200197266313),"2020-11-23 19:40:30 UTC",1259.91916571317
"3.1",12388,"N SILVERBELL RD","Major local road","0",74776.0486567459,"id",2.040521108e-06,c(-110.99391156285, 32.2211568552455),"2020-12-03 13:37:13 UTC",1165.51034401327
"3.2",12388,"N SILVERBELL RD","Major local road","0",74776.0486567459,"id",2.040521108e-06,c(-110.994014089292, 32.2215108313711),"2020-12-04 19:21:13 UTC",1149.99573945206
"3.3",12388,"N SILVERBELL RD","Major local road","0",74776.0486567459,"id",2.040521108e-06,c(-110.996012958345, 32.224342296996),"2021-01-27 18:09:14 UTC",1270.55112190411
"3.4",12388,"N SILVERBELL RD","Major local road","0",74776.0486567459,"id",2.040521108e-06,c(-110.996950367952, 32.2251052998278),"2021-01-27 16:33:15 UTC",1255.95436580203
"4",15747,"S GRANDE AV","Major local road","0",5457.90605429035,"id",2.040521108e-06,c(-110.988078365099, 32.2141052059913),"2020-11-27 00:10:22 UTC",890.268245480291
"4.1",15747,"S GRANDE AV","Major local road","0",5457.90605429035,"id",2.040521108e-06,c(-110.988098891111, 32.2143706388643),"2020-11-23 15:16:26 UTC",868.255257063742
"4.2",15747,"S GRANDE AV","Major local road","0",5457.90605429035,"id",2.040521108e-06,c(-110.988116540434, 32.2145988704717),"2020-11-27 02:18:21 UTC",850.213084966461
"4.3",15747,"S GRANDE AV","Major local road","0",5457.90605429035,"id",2.040521108e-06,c(-110.988031879875, 32.2132727463018),"2021-01-25 16:52:16 UTC",893.210578002594
"4.4",15747,"S GRANDE AV","Major local road","0",5457.90605429035,"id",2.040521108e-06,c(-110.988060708824, 32.2129782346682),"2020-12-10 20:09:08 UTC",904.296073563692
"4.5",15747,"S GRANDE AV","Major local road","0",5457.90605429035,"id",2.040521108e-06,c(-110.988062199997, 32.2129686924116),"2020-12-10 20:09:08 UTC",904.761110030536
"4.6",15747,"S GRANDE AV","Major local road","0",5457.90605429035,"id",2.040521108e-06,c(-110.988064627215, 32.2129531602427),"2020-12-10 18:21:09 UTC",905.522618160401
"4.7",15747,"S GRANDE AV","Major local road","0",5457.90605429035,"id",2.040521108e-06,c(-110.988334812191, 32.2190438892231),"2020-12-08 18:24:15 UTC",760.258416039445
"4.8",15747,"S GRANDE AV","Major local road","0",5457.90605429035,"id",2.040521108e-06,c(-110.988385612017, 32.2194505994349),"2020-11-23 18:56:36 UTC",785.102710043172
"4.9",15747,"S GRANDE AV","Major local road","0",5457.90605429035,"id",2.040521108e-06,c(-110.988393392144, 32.2195128878803),"2020-12-08 17:17:15 UTC",789.271963230625
"5",15755,"S GREASEWOOD RD","Major local road","0",5274.6694494786,"id",2.040521108e-06,c(-111.020285071258, 32.2206200422046),"2021-01-02 09:17:10 UTC",1469.48535172289
"5.1",15755,"S GREASEWOOD RD","Major local road","0",5274.6694494786,"id",2.040521108e-06,c(-111.020281254413, 32.2210908385165),"2020-12-27 00:41:09 UTC",1439.3420430754
"5.2",15755,"S GREASEWOOD RD","Major local road","0",5274.6694494786,"id",2.040521108e-06,c(-111.020289980873, 32.2200144488363),"2020-12-18 08:57:11 UTC",1512.36664335994
"5.3",15755,"S GREASEWOOD RD","Major local road","0",5274.6694494786,"id",2.040521108e-06,c(-111.020289247368, 32.2201049260284),"2020-12-14 15:32:17 UTC",1505.67966866223
"5.4",15755,"S GREASEWOOD RD","Major local road","0",5274.6694494786,"id",2.040521108e-06,c(-111.020288234689, 32.2202298389064),"2020-11-26 19:29:21 UTC",1496.60647116115
"5.5",15755,"S GREASEWOOD RD","Major local road","0",5274.6694494786,"id",2.040521108e-06,c(-111.020305140648, 32.2175022320969),"2021-01-02 00:31:12 UTC",1732.23767422514
"5.6",15755,"S GREASEWOOD RD","Major local road","0",5274.6694494786,"id",2.040521108e-06,c(-111.02029383087, 32.2188721513289),"2021-01-12 06:46:17 UTC",1605.13675552606
"5.7",15755,"S GREASEWOOD RD","Major local road","0",5274.6694494786,"id",2.040521108e-06,c(-111.020292275388, 32.2186597378172),"2020-12-08 13:21:12 UTC",1624.09105309147
"5.8",15755,"S GREASEWOOD RD","Major local road","0",5274.6694494786,"id",2.040521108e-06,c(-111.02029590302, 32.2191551185973),"2020-12-20 11:46:14 UTC",1580.55963116299
"5.9",15755,"S GREASEWOOD RD","Major local road","0",5274.6694494786,"id",2.040521108e-06,c(-111.020294383912, 32.2189476734187),"2020-12-18 22:17:13 UTC",1598.50088815569
"5.10",15755,"S GREASEWOOD RD","Major local road","0",5274.6694494786,"id",2.040521108e-06,c(-111.020294273009, 32.2194850138983),"2020-12-12 01:18:16 UTC",1553.36396482561
"5.11",15755,"S GREASEWOOD RD","Major local road","0",5274.6694494786,"id",2.040521108e-06,c(-111.020291426324, 32.2198361531667),"2020-12-26 20:22:08 UTC",1525.82160916618
"5.12",15755,"S GREASEWOOD RD","Major local road","0",5274.6694494786,"id",2.040521108e-06,c(-111.020281281578, 32.2147468938501),"2021-01-15 10:47:09 UTC",2032.87775048751
"5.13",15755,"S GREASEWOOD RD","Major local road","0",5274.6694494786,"id",2.040521108e-06,c(-111.02028159855, 32.214795178438),"2021-01-22 09:59:19 UTC",2027.25577982718
"5.14",15755,"S GREASEWOOD RD","Major local road","0",5274.6694494786,"id",2.040521108e-06,c(-111.020281145003, 32.2146474109053),"2020-12-15 18:18:09 UTC",2032.52082079326
"5.15",15755,"S GREASEWOOD RD","Major local road","0",5274.6694494786,"id",2.040521108e-06,c(-111.020283781262, 32.2151276706104),"2021-01-24 20:44:11 UTC",1988.84729080012
"5.16",15755,"S GREASEWOOD RD","Major local road","0",5274.6694494786,"id",2.040521108e-06,c(-111.020282604125, 32.214948357767),"2020-12-21 10:17:13 UTC",2009.49404642099
"5.17",15755,"S GREASEWOOD RD","Major local road","0",5274.6694494786,"id",2.040521108e-06,c(-111.020282442917, 32.214923800989),"2020-12-31 08:16:23 UTC",2012.33389395563
"5.18",15755,"S GREASEWOOD RD","Major local road","0",5274.6694494786,"id",2.040521108e-06,c(-111.02028179355, 32.2148248828199),"2021-01-06 05:58:09 UTC",2023.80266075486
"5.19",15755,"S GREASEWOOD RD","Major local road","0",5274.6694494786,"id",2.040521108e-06,c(-111.020282095192, 32.2148708319561),"2021-01-18 15:48:08 UTC",2018.46938325572
"5.20",15755,"S GREASEWOOD RD","Major local road","0",5274.6694494786,"id",2.040521108e-06,c(-111.020282130949, 32.2148762788699),"2021-01-22 14:10:18 UTC",2017.83783496544
"5.21",15755,"S GREASEWOOD RD","Major local road","0",5274.6694494786,"id",2.040521108e-06,c(-111.020282243281, 32.2148933903983),"2021-01-18 15:49:08 UTC",2015.85474839033
"5.22",15755,"S GREASEWOOD RD","Major local road","0",5274.6694494786,"id",2.040521108e-06,c(-111.020284866473, 32.215292979668),"2020-12-04 10:47:13 UTC",1969.95582081159
"5.23",15755,"S GREASEWOOD RD","Major local road","0",5274.6694494786,"id",2.040521108e-06,c(-111.020289039033, 32.215721967035),"2020-12-26 04:37:07 UTC",1921.47987065364
"5.24",15755,"S GREASEWOOD RD","Major local road","0",5274.6694494786,"id",2.040521108e-06,c(-111.020288817795, 32.215705041894),"2020-12-26 04:37:07 UTC",1923.378631226
"5.25",15755,"S GREASEWOOD RD","Major local road","0",5274.6694494786,"id",2.040521108e-06,c(-111.020303279301, 32.2166344765893),"2020-11-21 10:13:12 UTC",1821.35203041737
"5.26",15755,"S GREASEWOOD RD","Major local road","0",5274.6694494786,"id",2.040521108e-06,c(-111.020311616106, 32.2171604075264),"2020-11-30 01:28:09 UTC",1766.00902903085
"5.27",15755,"S GREASEWOOD RD","Major local road","0",5274.6694494786,"id",2.040521108e-06,c(-111.020309510026, 32.2169663839901),"2020-12-04 01:20:17 UTC",1786.11634582958
"5.28",15755,"S GREASEWOOD RD","Major local road","0",5274.6694494786,"id",2.040521108e-06,c(-111.020297490429, 32.2163261042287),"2020-12-15 07:18:01 UTC",1854.72113639489
"5.29",15755,"S GREASEWOOD RD","Major local road","0",5274.6694494786,"id",2.040521108e-06,c(-111.020292706709, 32.216002550081),"2020-12-31 21:12:20 UTC",1890.23545127777
"5.30",15755,"S GREASEWOOD RD","Major local road","0",5274.6694494786,"id",2.040521108e-06,c(-111.020291346244, 32.2158984725516),"2020-11-29 09:06:10 UTC",1901.77317901248
