"","OBJECTID","STREET","ROADCAT_DS","SHIELD_NO","ShapeSTLen","id","area","geometry","Cross_Times","Passage_Distances"
"1",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020277638119, 32.2227983232617),"2023-01-29 14:57:08 UTC",1355.08626385826
"1.1",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020277931524, 32.2225113176526),"2023-01-29 19:08:10 UTC",1366.20318218211
"1.2",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.02027891516, 32.2215491220733),"2023-01-11 21:13:12 UTC",1412.70505111393
"1.3",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020278525558, 32.2219302338768),"2023-01-11 18:32:12 UTC",1392.63388195651
"2",15747,"S GRANDE AV","Major local road","0",5457.90605429035,"id",2.040521108e-06,c(-110.991026406442, 32.2073582655389),"2022-06-19 19:44:25 UTC",284.490673578924
"2.1",15747,"S GRANDE AV","Major local road","0",5457.90605429035,"id",2.040521108e-06,c(-110.991011414737, 32.2073727785526),"2022-06-20 15:18:15 UTC",284.557601574092
"2.2",15747,"S GRANDE AV","Major local road","0",5457.90605429035,"id",2.040521108e-06,c(-110.990972124711, 32.2074093588841),"2023-02-11 13:54:29 UTC",284.721861455972
"2.3",15747,"S GRANDE AV","Major local road","0",5457.90605429035,"id",2.040521108e-06,c(-110.990923494607, 32.2074435793393),"2022-06-19 19:12:25 UTC",283.987564218085
"2.4",15747,"S GRANDE AV","Major local road","0",5457.90605429035,"id",2.040521108e-06,c(-110.990075703314, 32.2079939478479),"2023-02-03 13:47:09 UTC",301.165307314658
"2.5",15747,"S GRANDE AV","Major local road","0",5457.90605429035,"id",2.040521108e-06,c(-110.990034727112, 32.2080170154703),"2022-07-03 12:46:07 UTC",303.043687177115
"2.6",15747,"S GRANDE AV","Major local road","0",5457.90605429035,"id",2.040521108e-06,c(-110.990035689072, 32.2080164739334),"2022-07-03 12:46:07 UTC",302.998733263521
"2.7",15747,"S GRANDE AV","Major local road","0",5457.90605429035,"id",2.040521108e-06,c(-110.990023023243, 32.2080231083458),"2023-02-03 14:14:09 UTC",303.518094650511
"2.8",15747,"S GRANDE AV","Major local road","0",5457.90605429035,"id",2.040521108e-06,c(-110.989840535376, 32.2081173713334),"2023-05-23 10:53:08 UTC",310.80725524397
"2.9",15747,"S GRANDE AV","Major local road","0",5457.90605429035,"id",2.040521108e-06,c(-110.989862551424, 32.2081061380123),"2023-05-23 11:11:08 UTC",309.948179310588
"2.10",15747,"S GRANDE AV","Major local road","0",5457.90605429035,"id",2.040521108e-06,c(-110.989642328791, 32.2082185026396),"2022-06-22 13:10:12 UTC",318.541407553658
"2.11",15747,"S GRANDE AV","Major local road","0",5457.90605429035,"id",2.040521108e-06,c(-110.989678057881, 32.2082002725605),"2022-04-15 12:32:09 UTC",317.147228979222
"2.12",15747,"S GRANDE AV","Major local road","0",5457.90605429035,"id",2.040521108e-06,c(-110.989583433963, 32.2082485525516),"2022-07-02 13:31:11 UTC",320.839537896898
"2.13",15747,"S GRANDE AV","Major local road","0",5457.90605429035,"id",2.040521108e-06,c(-110.989587704669, 32.2082463735106),"2022-05-02 12:33:09 UTC",320.672890790529
"2.14",15747,"S GRANDE AV","Major local road","0",5457.90605429035,"id",2.040521108e-06,c(-110.990506303124, 32.2077304615439),"2023-05-14 10:40:08 UTC",286.428457382163
"2.15",15747,"S GRANDE AV","Major local road","0",5457.90605429035,"id",2.040521108e-06,c(-110.990416194682, 32.2077869936503),"2022-05-02 13:32:09 UTC",288.414035777619
"2.16",15747,"S GRANDE AV","Major local road","0",5457.90605429035,"id",2.040521108e-06,c(-110.990328977395, 32.20784171178),"2022-04-15 13:32:08 UTC",291.010729089287
"2.17",15747,"S GRANDE AV","Major local road","0",5457.90605429035,"id",2.040521108e-06,c(-110.990262468129, 32.2078834380871),"2022-06-22 14:15:22 UTC",293.426156357177
"2.18",15747,"S GRANDE AV","Major local road","0",5457.90605429035,"id",2.040521108e-06,c(-110.990254211615, 32.2078886180197),"2022-06-19 11:13:23 UTC",293.751787449481
"2.19",15747,"S GRANDE AV","Major local road","0",5457.90605429035,"id",2.040521108e-06,c(-110.990717990953, 32.2075881894502),"2023-03-03 18:22:08 UTC",283.473372335103
"2.20",15747,"S GRANDE AV","Major local road","0",5457.90605429035,"id",2.040521108e-06,c(-110.990530366573, 32.2077153646284),"2023-05-05 11:38:07 UTC",286.020061391284
"2.21",15747,"S GRANDE AV","Major local road","0",5457.90605429035,"id",2.040521108e-06,c(-110.990636208162, 32.2076457386609),"2023-03-03 17:37:09 UTC",284.435713372406
"2.22",15747,"S GRANDE AV","Major local road","0",5457.90605429035,"id",2.040521108e-06,c(-110.990784348795, 32.2075414944308),"2022-06-21 18:12:12 UTC",283.180078213828
"2.23",15747,"S GRANDE AV","Major local road","0",5457.90605429035,"id",2.040521108e-06,c(-110.990794266746, 32.2075345153099),"2022-06-21 18:15:12 UTC",283.17389112592
"2.24",15747,"S GRANDE AV","Major local road","0",5457.90605429035,"id",2.040521108e-06,c(-110.99085489685, 32.2074918507307),"2022-06-21 18:29:11 UTC",283.349020112802
"2.25",15747,"S GRANDE AV","Major local road","0",5457.90605429035,"id",2.040521108e-06,c(-110.990895998111, 32.2074629282933),"2022-08-28 12:09:06 UTC",283.675610183845
"2.26",15747,"S GRANDE AV","Major local road","0",5457.90605429035,"id",2.040521108e-06,c(-110.99104055305, 32.2073445706324),"2022-07-02 14:12:11 UTC",284.455355575915
"2.27",15747,"S GRANDE AV","Major local road","0",5457.90605429035,"id",2.040521108e-06,c(-110.991118531619, 32.2072690818165),"2023-05-05 11:26:07 UTC",284.745879781227
"2.28",15747,"S GRANDE AV","Major local road","0",5457.90605429035,"id",2.040521108e-06,c(-110.99110527477, 32.2072819154045),"2023-05-05 11:26:07 UTC",284.638582768935
"2.29",15747,"S GRANDE AV","Major local road","0",5457.90605429035,"id",2.040521108e-06,c(-110.991097415073, 32.2072895241559),"2022-08-28 14:08:06 UTC",284.586158245695
"2.30",15747,"S GRANDE AV","Major local road","0",5457.90605429035,"id",2.040521108e-06,c(-110.989293073896, 32.208410877392),"2022-07-03 11:54:07 UTC",334.37790630348
"2.31",15747,"S GRANDE AV","Major local road","0",5457.90605429035,"id",2.040521108e-06,c(-110.98930624607, 32.2084030156856),"2022-01-17 17:34:08 UTC",333.647155922437
"2.32",15747,"S GRANDE AV","Major local road","0",5457.90605429035,"id",2.040521108e-06,c(-110.989394102436, 32.2083505792522),"2022-01-17 16:28:08 UTC",329.020987932387
"2.33",15747,"S GRANDE AV","Major local road","0",5457.90605429035,"id",2.040521108e-06,c(-110.989366399761, 32.2083671134054),"2023-03-08 15:33:06 UTC",330.452999509579
"2.34",15747,"S GRANDE AV","Major local road","0",5457.90605429035,"id",2.040521108e-06,c(-110.98935468098, 32.2083741076766),"2023-03-08 14:26:06 UTC",331.058888872229
"2.35",15747,"S GRANDE AV","Major local road","0",5457.90605429035,"id",2.040521108e-06,c(-110.989072589077, 32.208542471575),"2023-05-14 11:17:08 UTC",348.234045902632
"2.36",15747,"S GRANDE AV","Major local road","0",5457.90605429035,"id",2.040521108e-06,c(-110.988254116683, 32.2112791002114),"2023-04-04 12:18:10 UTC",762.128174061801
"2.37",15747,"S GRANDE AV","Major local road","0",5457.90605429035,"id",2.040521108e-06,c(-110.988034260976, 32.2131947530738),"2022-12-08 17:28:13 UTC",895.268435791077
"2.38",15747,"S GRANDE AV","Major local road","0",5457.90605429035,"id",2.040521108e-06,c(-110.988034413814, 32.2131897468284),"2022-12-08 17:28:13 UTC",895.405740738477
"2.39",15747,"S GRANDE AV","Major local road","0",5457.90605429035,"id",2.040521108e-06,c(-110.988119470397, 32.2126395120577),"2023-04-04 12:43:11 UTC",922.817384935066
"3",15755,"S GREASEWOOD RD","Major local road","0",5274.6694494786,"id",2.040521108e-06,c(-111.020296690709, 32.2179482810069),"2022-07-04 08:53:24 UTC",1689.56119817405
"3.1",15755,"S GREASEWOOD RD","Major local road","0",5274.6694494786,"id",2.040521108e-06,c(-111.020293355962, 32.2188072989767),"2022-07-04 06:41:15 UTC",1610.87866297439
"3.2",15755,"S GREASEWOOD RD","Major local road","0",5274.6694494786,"id",2.040521108e-06,c(-111.020283040745, 32.2150148680266),"2022-10-01 06:28:08 UTC",2001.81729398333
"3.3",15755,"S GREASEWOOD RD","Major local road","0",5274.6694494786,"id",2.040521108e-06,c(-111.020282800468, 32.2149782666064),"2022-10-29 11:11:11 UTC",2006.03922822532
"3.4",15755,"S GREASEWOOD RD","Major local road","0",5274.6694494786,"id",2.040521108e-06,c(-111.020282463185, 32.2149268883622),"2022-10-01 15:23:08 UTC",2011.97669651899
"3.5",15755,"S GREASEWOOD RD","Major local road","0",5274.6694494786,"id",2.040521108e-06,c(-111.020284026519, 32.2151650303291),"2022-10-29 18:44:11 UTC",1984.56569812608
"3.6",15755,"S GREASEWOOD RD","Major local road","0",5274.6694494786,"id",2.040521108e-06,c(-111.020283716289, 32.2129364990969),"2022-12-22 03:26:08 UTC",1819.41273135615
"3.7",15755,"S GREASEWOOD RD","Major local road","0",5274.6694494786,"id",2.040521108e-06,c(-111.020284080591, 32.2126940901318),"2022-11-16 15:08:08 UTC",1790.22695319361
"3.8",15755,"S GREASEWOOD RD","Major local road","0",5274.6694494786,"id",2.040521108e-06,c(-111.020285008093, 32.2120764163696),"2022-12-01 13:02:08 UTC",1717.19683155773
"3.9",15755,"S GREASEWOOD RD","Major local road","0",5274.6694494786,"id",2.040521108e-06,c(-111.020285216565, 32.2119375750967),"2022-12-01 18:32:13 UTC",1701.06381798308
"3.10",15755,"S GREASEWOOD RD","Major local road","0",5274.6694494786,"id",2.040521108e-06,c(-111.020285326527, 32.2118643404094),"2023-02-02 13:02:06 UTC",1692.59833711953
"3.11",15755,"S GREASEWOOD RD","Major local road","0",5274.6694494786,"id",2.040521108e-06,c(-111.020285334475, 32.2118590470302),"2023-02-02 13:02:06 UTC",1691.98765575803
