"","OBJECTID","STREET","ROADCAT_DS","SHIELD_NO","ShapeSTLen","id","area","geometry","Cross_Times","Passage_Distances"
"1",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020456681446, 32.2504935693197),"2023-05-03 10:27:07 UTC",31.8611125971013
"1.1",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020456751317, 32.2505128349539),"2023-01-31 17:21:19 UTC",29.320513839598
"1.2",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020456609179, 32.2504736429294),"2023-10-15 20:53:18 UTC",34.5536597146264
"1.3",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020456657272, 32.2504869038317),"2022-11-17 09:21:54 UTC",32.755225713328
"1.4",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020456459132, 32.2504322702516),"2023-04-12 16:43:13 UTC",40.29740149842
"1.5",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020456788725, 32.2505231495658),"2023-05-18 16:10:11 UTC",27.9915506406279
"1.6",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020455042132, 32.2500415568043),"2023-04-14 18:22:18 UTC",97.9142839100268
"1.7",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020455202449, 32.2500857616804),"2023-06-28 03:18:03 UTC",91.2803441335404
"1.8",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020455158502, 32.2500736438701),"2023-04-13 01:03:13 UTC",93.0976449008556
"1.9",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020455243607, 32.250097110262),"2023-10-05 09:30:24 UTC",89.5793401325929
"1.10",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020456031005, 32.250314221812),"2023-01-09 19:35:12 UTC",57.3209717101263
"1.11",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020455597409, 32.250194665213),"2023-10-29 20:47:16 UTC",75.0034880215279
"1.12",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020454818654, 32.2499799362844),"2023-04-28 15:54:08 UTC",107.180050164687
"1.13",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020454555639, 32.2499074137135),"2022-12-09 00:03:14 UTC",118.106143161869
"1.14",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020454599498, 32.249919507391),"2023-03-28 12:39:25 UTC",116.282807350053
"1.15",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020454460859, 32.2498812797752),"2023-05-07 12:01:21 UTC",122.04789168041
"1.16",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020454260055, 32.2498259110394),"2022-12-07 20:28:22 UTC",130.405512509502
"1.17",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020454279997, 32.2498314095069),"2022-12-07 09:53:23 UTC",129.575191753395
"1.18",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020453703711, 32.2496725070234),"2023-03-09 15:11:14 UTC",153.596117711688
"1.19",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020453827806, 32.249706724513),"2023-01-25 10:11:17 UTC",148.419670970858
"1.20",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020453884022, 32.2497222252129),"2022-12-10 11:00:15 UTC",146.075333420061
"1.21",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020450265718, 32.2481003705282),"2023-05-28 09:46:22 UTC",392.176091757196
"1.22",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020449990771, 32.2481447866149),"2023-10-07 23:56:10 UTC",385.429662639607
"1.23",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.0204492545, 32.2482637265287),"2023-12-30 15:45:03 UTC",367.365044669255
"1.24",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020449266993, 32.2482617083537),"2023-12-30 15:45:03 UTC",367.67154797959
"1.25",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020448988761, 32.2483066549513),"2023-07-20 16:16:18 UTC",360.845592365561
"1.26",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020452464888, 32.2477451063273),"2023-11-13 11:40:12 UTC",446.145883926794
"1.27",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020452358087, 32.2477623594208),"2023-05-15 09:20:13 UTC",443.524596799176
"1.28",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020452559347, 32.2477298469059),"2023-10-17 07:02:12 UTC",448.464291327411
"1.29",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020452189545, 32.2477895866539),"2023-05-09 00:37:15 UTC",439.387978569142
"1.30",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020451448458, 32.2479093054163),"2023-12-31 12:59:11 UTC",421.200006609379
"1.31",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020451151555, 32.2479572685352),"2023-01-01 04:23:17 UTC",413.913737728931
"1.32",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020453569254, 32.2475667007964),"2023-09-05 08:36:18 UTC",473.252741681544
"1.33",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020453533505, 32.2475724758978),"2023-09-05 08:35:18 UTC",472.375236363146
