"","OBJECTID","STREET","ROADCAT_DS","SHIELD_NO","ShapeSTLen","id","area","geometry","Cross_Times","Passage_Distances"
"1",17318,"S PLAYERS CLUB DR","Major local road","0",4217.4930820002,"id",2.040521108e-06,c(-111.042872035546, 32.2138114364439),"2021-02-15 05:19:12 UTC",215.0696743876
"2",21199,"W GATES PASS RD","Major local road","0",25512.2838873122,"id",2.040521108e-06,c(-111.100827012637, 32.2217487799542),"2022-05-23 07:56:10 UTC",5647.90305778049
"2.1",21199,"W GATES PASS RD","Major local road","0",25512.2838873122,"id",2.040521108e-06,c(-111.100365404079, 32.2196225538352),"2022-05-23 04:48:10 UTC",5726.51415916123
"2.2",21199,"W GATES PASS RD","Major local road","0",25512.2838873122,"id",2.040521108e-06,c(-111.09380366481, 32.2240783698465),"2022-09-25 20:59:08 UTC",4674.35649432881
"2.3",21199,"W GATES PASS RD","Major local road","0",25512.2838873122,"id",2.040521108e-06,c(-111.094284677882, 32.224091916135),"2022-08-02 10:17:21 UTC",4730.83896871778
"2.4",21199,"W GATES PASS RD","Major local road","0",25512.2838873122,"id",2.040521108e-06,c(-111.094191661394, 32.2240947641646),"2022-03-09 01:21:11 UTC",4719.58482411192
"2.5",21199,"W GATES PASS RD","Major local road","0",25512.2838873122,"id",2.040521108e-06,c(-111.094401196988, 32.2240867656544),"2022-02-21 22:36:09 UTC",4745.03438812401
"2.6",21199,"W GATES PASS RD","Major local road","0",25512.2838873122,"id",2.040521108e-06,c(-111.094543664685, 32.224059491105),"2021-08-08 21:05:58 UTC",4763.61974778129
"2.7",21199,"W GATES PASS RD","Major local road","0",25512.2838873122,"id",2.040521108e-06,c(-111.094639828942, 32.2240352074941),"2022-08-01 14:32:13 UTC",4776.50783209895
"2.8",21199,"W GATES PASS RD","Major local road","0",25512.2838873122,"id",2.040521108e-06,c(-111.094783287107, 32.2239815342109),"2022-06-21 18:34:12 UTC",4796.75050317731
