"","OBJECTID","STREET","ROADCAT_DS","SHIELD_NO","ShapeSTLen","id","area","geometry","Cross_Times","Passage_Distances"
"1",8157,"N CAMINO DE OESTE","Major local road","0",5282.44289910512,"id",2.040521108e-06,c(-111.062783386332, 32.2981348145494),"2023-04-10 18:49:10 UTC",1973.88658736879
"1.1",8157,"N CAMINO DE OESTE","Major local road","0",5282.44289910512,"id",2.040521108e-06,c(-111.062784254441, 32.2981543472907),"2024-02-04 10:42:09 UTC",1972.32151439699
"1.2",8157,"N CAMINO DE OESTE","Major local road","0",5282.44289910512,"id",2.040521108e-06,c(-111.062783596919, 32.2981395528314),"2023-04-10 18:49:10 UTC",1973.5066330885
"1.3",8157,"N CAMINO DE OESTE","Major local road","0",5282.44289910512,"id",2.040521108e-06,c(-111.06278267703, 32.2981188549863),"2024-01-16 21:44:11 UTC",1975.16775110132
"1.4",8157,"N CAMINO DE OESTE","Major local road","0",5282.44289910512,"id",2.040521108e-06,c(-111.06278157249, 32.2980940024536),"2023-12-21 14:57:15 UTC",1977.16707945575
"1.5",8157,"N CAMINO DE OESTE","Major local road","0",5282.44289910512,"id",2.040521108e-06,c(-111.062781351483, 32.298089029707),"2023-12-21 14:57:15 UTC",1977.56774943203
"1.6",8157,"N CAMINO DE OESTE","Major local road","0",5282.44289910512,"id",2.040521108e-06,c(-111.062781117261, 32.2980837596279),"2023-12-27 16:49:08 UTC",1977.99260326336
"1.7",8157,"N CAMINO DE OESTE","Major local road","0",5282.44289910512,"id",2.040521108e-06,c(-111.062779597869, 32.2980495727295),"2022-12-20 07:39:11 UTC",1980.75427936188
"1.8",8157,"N CAMINO DE OESTE","Major local road","0",5282.44289910512,"id",2.040521108e-06,c(-111.062779044816, 32.2980371288067),"2024-02-02 16:19:14 UTC",1981.76194942902
"1.9",8157,"N CAMINO DE OESTE","Major local road","0",5282.44289910512,"id",2.040521108e-06,c(-111.062779895765, 32.2980562755071),"2022-12-20 07:39:11 UTC",1980.21204587363
