"","OBJECTID","STREET","ROADCAT_DS","SHIELD_NO","ShapeSTLen","id","area","geometry","Cross_Times","Passage_Distances"
"1",9631,"N GRANDE AV","Major local road","0",5683.73076719849,"id",2.040521108e-06,c(-110.988560934328, 32.2209327825584),"2023-01-21 05:55:36 UTC",709.07751650846
"1.1",9631,"N GRANDE AV","Major local road","0",5683.73076719849,"id",2.040521108e-06,c(-110.988613318208, 32.221386982921),"2023-02-10 22:19:10 UTC",650.469330232148
"2",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020322635863, 32.2289751486076),"2021-01-02 05:24:22 UTC",1091.222349834
"2.1",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020317990676, 32.2285804878926),"2021-01-02 04:24:23 UTC",1149.66215247732
"2.2",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.02028866308, 32.2260887004596),"2022-03-19 13:30:09 UTC",1325.44182297906
"2.3",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020287638342, 32.2260016322665),"2022-11-24 03:07:09 UTC",1323.89460644924
"2.4",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020287915637, 32.2260251930359),"2022-11-01 11:02:10 UTC",1324.30039660262
"2.5",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020296402961, 32.2267463243849),"2022-11-23 22:32:08 UTC",1341.29934603071
"2.6",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020304071916, 32.2273979126145),"2022-08-09 13:14:12 UTC",1325.62261189563
"2.7",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020304321955, 32.2274191568139),"2022-08-09 12:46:13 UTC",1322.45232360092
