"","OBJECTID","STREET","ROADCAT_DS","SHIELD_NO","ShapeSTLen","id","area","geometry","Cross_Times","Passage_Distances"
"1",12388,"N SILVERBELL RD","Major local road","0",74776.0486567459,"id",2.040521108e-06,c(-111.031860522466, 32.2773472136831),"2023-02-13 09:21:07 UTC",1804.8483906766
"1.1",12388,"N SILVERBELL RD","Major local road","0",74776.0486567459,"id",2.040521108e-06,c(-111.030603506578, 32.2761043217231),"2023-02-22 15:47:08 UTC",1738.28411370924
"1.2",12388,"N SILVERBELL RD","Major local road","0",74776.0486567459,"id",2.040521108e-06,c(-111.029003184037, 32.2745669475208),"2023-02-25 13:11:05 UTC",1693.99573080921
"1.3",12388,"N SILVERBELL RD","Major local road","0",74776.0486567459,"id",2.040521108e-06,c(-111.029013311826, 32.2745767102033),"2023-02-25 12:44:05 UTC",1694.21287469228
"1.4",12388,"N SILVERBELL RD","Major local road","0",74776.0486567459,"id",2.040521108e-06,c(-111.028087227527, 32.2735674789815),"2023-02-10 17:39:06 UTC",1692.68949234843
"1.5",12388,"N SILVERBELL RD","Major local road","0",74776.0486567459,"id",2.040521108e-06,c(-111.032075556224, 32.2775755595636),"2023-02-18 15:02:12 UTC",1818.59050186486
"1.6",12388,"N SILVERBELL RD","Major local road","0",74776.0486567459,"id",2.040521108e-06,c(-111.032335492116, 32.2778515853184),"2023-02-10 16:16:06 UTC",1791.40953202473
"1.7",12388,"N SILVERBELL RD","Major local road","0",74776.0486567459,"id",2.040521108e-06,c(-111.032567200611, 32.2780976345536),"2023-02-21 10:53:09 UTC",1755.9538970666
"1.8",12388,"N SILVERBELL RD","Major local road","0",74776.0486567459,"id",2.040521108e-06,c(-111.032552133788, 32.2780816352779),"2023-02-13 08:34:08 UTC",1758.24146457472
"1.9",12388,"N SILVERBELL RD","Major local road","0",74776.0486567459,"id",2.040521108e-06,c(-111.033834932233, 32.2795352189798),"2023-02-21 15:24:08 UTC",1573.23380950747
"1.10",12388,"N SILVERBELL RD","Major local road","0",74776.0486567459,"id",2.040521108e-06,c(-111.032953636544, 32.2785146845531),"2023-02-12 10:21:09 UTC",1698.06202883353
"1.11",12388,"N SILVERBELL RD","Major local road","0",74776.0486567459,"id",2.040521108e-06,c(-111.035178670948, 32.2815534807829),"2023-02-18 11:18:10 UTC",1423.72774447322
"1.12",12388,"N SILVERBELL RD","Major local road","0",74776.0486567459,"id",2.040521108e-06,c(-111.0377120425, 32.2853625825689),"2023-02-12 14:26:06 UTC",1348.58753712338
"1.13",12388,"N SILVERBELL RD","Major local road","0",74776.0486567459,"id",2.040521108e-06,c(-111.036148825687, 32.2829999779673),"2023-02-22 21:09:12 UTC",1362.47904100754
"1.14",12388,"N SILVERBELL RD","Major local road","0",74776.0486567459,"id",2.040521108e-06,c(-111.042618572669, 32.2926951601038),"2023-02-20 07:50:08 UTC",559.51043411249
"1.15",12388,"N SILVERBELL RD","Major local road","0",74776.0486567459,"id",2.040521108e-06,c(-111.046939150328, 32.2990278808712),"2023-02-14 10:22:09 UTC",1045.16371274312
"1.16",12388,"N SILVERBELL RD","Major local road","0",74776.0486567459,"id",2.040521108e-06,c(-111.048971188421, 32.3021346452898),"2023-02-13 17:51:07 UTC",517.030600961098
"1.17",12388,"N SILVERBELL RD","Major local road","0",74776.0486567459,"id",2.040521108e-06,c(-111.060026452387, 32.315286279751),"2023-02-04 19:50:10 UTC",1757.98748111717
"1.18",12388,"N SILVERBELL RD","Major local road","0",74776.0486567459,"id",2.040521108e-06,c(-111.055011575866, 32.3112335204079),"2023-02-03 23:24:11 UTC",1089.43224100154
"1.19",12388,"N SILVERBELL RD","Major local road","0",74776.0486567459,"id",2.040521108e-06,c(-111.052176691973, 32.3077750421825),"2023-02-19 07:59:10 UTC",449.417096907774
"1.20",12388,"N SILVERBELL RD","Major local road","0",74776.0486567459,"id",2.040521108e-06,c(-111.068945570382, 32.3238357570591),"2023-02-14 04:04:10 UTC",1707.26977332384
"1.21",12388,"N SILVERBELL RD","Major local road","0",74776.0486567459,"id",2.040521108e-06,c(-111.068931266086, 32.3238300272256),"2023-02-14 04:04:10 UTC",1709.29726805373
"1.22",12388,"N SILVERBELL RD","Major local road","0",74776.0486567459,"id",2.040521108e-06,c(-111.065301642382, 32.3211344194336),"2023-02-13 23:33:09 UTC",2324.58175778336
"1.23",12388,"N SILVERBELL RD","Major local road","0",74776.0486567459,"id",2.040521108e-06,c(-111.061224831915, 32.3169846842825),"2023-02-04 22:20:17 UTC",1920.59397025679
"1.24",12388,"N SILVERBELL RD","Major local road","0",74776.0486567459,"id",2.040521108e-06,c(-111.064131096168, 32.3188615338353),"2023-02-13 22:56:09 UTC",2334.78812326399
"1.25",12388,"N SILVERBELL RD","Major local road","0",74776.0486567459,"id",2.040521108e-06,c(-111.064638988084, 32.3198543627815),"2023-02-13 23:12:09 UTC",2433.27890282712
"2",20948,"W EL CAMINO DEL CERRO","Major local road","0",17286.9452756773,"id",2.040521108e-06,c(-111.042048515932, 32.2942381172279),"2023-02-14 11:04:08 UTC",434.363133762484
"2.1",20948,"W EL CAMINO DEL CERRO","Major local road","0",17286.9452756773,"id",2.040521108e-06,c(-111.04411783453, 32.2942351488219),"2023-02-20 07:19:08 UTC",701.439309081559
"2.2",20948,"W EL CAMINO DEL CERRO","Major local road","0",17286.9452756773,"id",2.040521108e-06,c(-111.039226125394, 32.29423274266),"2023-02-23 20:02:13 UTC",70.0890014932361
"2.3",20948,"W EL CAMINO DEL CERRO","Major local road","0",17286.9452756773,"id",2.040521108e-06,c(-111.039218118102, 32.2942327273227),"2023-02-24 18:09:12 UTC",69.055631373263
"2.4",20948,"W EL CAMINO DEL CERRO","Major local road","0",17286.9452756773,"id",2.040521108e-06,c(-111.038891358144, 32.2942321010104),"2023-02-13 15:34:07 UTC",26.8948621373159
"2.5",20948,"W EL CAMINO DEL CERRO","Major local road","0",17286.9452756773,"id",2.040521108e-06,c(-111.037289085232, 32.2942290176955),"2023-02-28 13:24:06 UTC",14.7789223874661
"2.6",20948,"W EL CAMINO DEL CERRO","Major local road","0",17286.9452756773,"id",2.040521108e-06,c(-111.037482695148, 32.2942293913413),"2023-02-18 23:36:18 UTC",1.05845757800184
"2.7",20948,"W EL CAMINO DEL CERRO","Major local road","0",17286.9452756773,"id",2.040521108e-06,c(-111.037988960668, 32.2942303669816),"2023-02-02 07:08:24 UTC",1.08700661135306
"2.8",20948,"W EL CAMINO DEL CERRO","Major local road","0",17286.9452756773,"id",2.040521108e-06,c(-111.038117004547, 32.2942306134189),"2023-02-01 04:33:07 UTC",1.09418357850644
"2.9",20948,"W EL CAMINO DEL CERRO","Major local road","0",17286.9452756773,"id",2.040521108e-06,c(-111.036780997018, 32.294228035736),"2023-02-22 23:51:18 UTC",80.3290268899547
"2.10",20948,"W EL CAMINO DEL CERRO","Major local road","0",17286.9452756773,"id",2.040521108e-06,c(-111.036847879921, 32.2942281651139),"2023-02-28 12:44:06 UTC",71.6970152516524
"2.11",20948,"W EL CAMINO DEL CERRO","Major local road","0",17286.9452756773,"id",2.040521108e-06,c(-111.037052327342, 32.2942285603772),"2023-02-23 07:50:07 UTC",45.3127197017712
"2.12",20948,"W EL CAMINO DEL CERRO","Major local road","0",17286.9452756773,"id",2.040521108e-06,c(-111.035949978075, 32.2942264252767),"2023-02-05 13:33:09 UTC",187.588553586488
"3",24206,"W SWEETWATER DR","Major local road","0",10187.6065970152,"id",2.040521108e-06,c(-111.034772354242, 32.2797427740903),"2023-02-18 11:55:09 UTC",1451.6490575826
"3.1",24206,"W SWEETWATER DR","Major local road","0",10187.6065970152,"id",2.040521108e-06,c(-111.035977069561, 32.2797501129751),"2023-02-22 20:23:10 UTC",1296.09889517839
"3.2",24206,"W SWEETWATER DR","Major local road","0",10187.6065970152,"id",2.040521108e-06,c(-111.037993485964, 32.2797535929508),"2023-02-12 13:56:07 UTC",1035.76052391241
