"","OBJECTID","STREET","ROADCAT_DS","SHIELD_NO","ShapeSTLen","id","area","geometry","Cross_Times","Passage_Distances"
"1",24068,"W STARR PASS BL","Major local road","0",21557.1195778736,"id",2.040521108e-06,c(-111.042931543927, 32.2106112338562),"2021-04-24 07:12:10 UTC",235.023908646564
"1.1",24068,"W STARR PASS BL","Major local road","0",21557.1195778736,"id",2.040521108e-06,c(-111.042932236242, 32.2106261656066),"2021-07-17 13:52:11 UTC",232.752278648996
"1.2",24068,"W STARR PASS BL","Major local road","0",21557.1195778736,"id",2.040521108e-06,c(-111.042929957027, 32.2105770077932),"2021-06-23 15:58:14 UTC",240.230925339695
"1.3",24068,"W STARR PASS BL","Major local road","0",21557.1195778736,"id",2.040521108e-06,c(-111.042929479863, 32.2105667163658),"2021-06-23 15:57:14 UTC",241.796638236847
"1.4",24068,"W STARR PASS BL","Major local road","0",21557.1195778736,"id",2.040521108e-06,c(-111.042936242276, 32.2107125671214),"2021-03-25 08:42:15 UTC",219.608003404396
"1.5",24068,"W STARR PASS BL","Major local road","0",21557.1195778736,"id",2.040521108e-06,c(-111.042933524389, 32.2106539481714),"2021-09-20 15:34:09 UTC",228.525645888898
"1.6",24068,"W STARR PASS BL","Major local road","0",21557.1195778736,"id",2.040521108e-06,c(-111.042932935597, 32.2106412491985),"2021-09-15 07:40:17 UTC",230.45756564417
"1.7",24068,"W STARR PASS BL","Major local road","0",21557.1195778736,"id",2.040521108e-06,c(-111.042938830108, 32.2107683809942),"2021-07-08 12:07:11 UTC",211.117383949148
"1.8",24068,"W STARR PASS BL","Major local road","0",21557.1195778736,"id",2.040521108e-06,c(-111.042939531412, 32.210783506564),"2021-09-04 06:57:12 UTC",208.816477652439
"1.9",24068,"W STARR PASS BL","Major local road","0",21557.1195778736,"id",2.040521108e-06,c(-111.042936812747, 32.2107248709345),"2021-03-25 08:42:15 UTC",217.736274936867
"1.10",24068,"W STARR PASS BL","Major local road","0",21557.1195778736,"id",2.040521108e-06,c(-111.042944404145, 32.2108886005146),"2021-03-19 12:52:10 UTC",192.83026495664
"1.11",24068,"W STARR PASS BL","Major local road","0",21557.1195778736,"id",2.040521108e-06,c(-111.042940876808, 32.2108125237632),"2021-09-26 06:42:13 UTC",204.402440520712
"1.12",24068,"W STARR PASS BL","Major local road","0",21557.1195778736,"id",2.040521108e-06,c(-111.042940752785, 32.2108098488738),"2021-09-26 06:42:13 UTC",204.809335374905
"1.13",24068,"W STARR PASS BL","Major local road","0",21557.1195778736,"id",2.040521108e-06,c(-111.042941638884, 32.2108289600404),"2021-05-03 12:49:08 UTC",201.902229060084
"1.14",24068,"W STARR PASS BL","Major local road","0",21557.1195778736,"id",2.040521108e-06,c(-111.042942255697, 32.2108422633348),"2021-08-08 15:46:12 UTC",199.878615576004
"1.15",24068,"W STARR PASS BL","Major local road","0",21557.1195778736,"id",2.040521108e-06,c(-111.042948425689, 32.210975336041),"2021-10-11 08:41:14 UTC",179.637715591278
"1.16",24068,"W STARR PASS BL","Major local road","0",21557.1195778736,"id",2.040521108e-06,c(-111.042953962445, 32.2110947509527),"2021-03-30 15:32:09 UTC",161.476699300041
"1.17",24068,"W STARR PASS BL","Major local road","0",21557.1195778736,"id",2.040521108e-06,c(-111.042952923248, 32.211072337916),"2021-06-29 14:08:08 UTC",164.885132122761
"1.18",24068,"W STARR PASS BL","Major local road","0",21557.1195778736,"id",2.040521108e-06,c(-111.04295960622, 32.2112164736976),"2021-03-31 13:18:12 UTC",142.968063166588
"1.19",24068,"W STARR PASS BL","Major local road","0",21557.1195778736,"id",2.040521108e-06,c(-111.042957429552, 32.2111695282147),"2021-05-22 16:26:20 UTC",150.105910209015
"1.20",24068,"W STARR PASS BL","Major local road","0",21557.1195778736,"id",2.040521108e-06,c(-111.042961847018, 32.2112669527668),"2020-12-20 09:02:10 UTC",135.294869300744
"1.21",24068,"W STARR PASS BL","Major local road","0",21557.1195778736,"id",2.040521108e-06,c(-111.042963674934, 32.211320886694),"2021-05-05 13:20:12 UTC",127.104270084412
"1.22",24068,"W STARR PASS BL","Major local road","0",21557.1195778736,"id",2.040521108e-06,c(-111.042968203617, 32.2114545083327),"2021-10-02 07:21:17 UTC",106.821703783563
"1.23",24068,"W STARR PASS BL","Major local road","0",21557.1195778736,"id",2.040521108e-06,c(-111.042974008063, 32.2115981420105),"2021-08-15 16:35:11 UTC",85.0293641526351
"1.24",24068,"W STARR PASS BL","Major local road","0",21557.1195778736,"id",2.040521108e-06,c(-111.042992606081, 32.2117909906871),"2021-08-27 14:07:15 UTC",55.6363074749679
"1.25",24068,"W STARR PASS BL","Major local road","0",21557.1195778736,"id",2.040521108e-06,c(-111.043352639415, 32.2127524661432),"2021-01-09 11:36:24 UTC",55.958519079155
"1.26",24068,"W STARR PASS BL","Major local road","0",21557.1195778736,"id",2.040521108e-06,c(-111.043301872976, 32.2126777885745),"2021-01-09 12:28:24 UTC",42.901198900379
"1.27",24068,"W STARR PASS BL","Major local road","0",21557.1195778736,"id",2.040521108e-06,c(-111.040125271385, 32.2072445370546),"2021-09-19 04:14:14 UTC",836.96336965007
"1.28",24068,"W STARR PASS BL","Major local road","0",21557.1195778736,"id",2.040521108e-06,c(-111.04015879306, 32.2072619956287),"2021-07-30 07:58:17 UTC",832.639463604232
"1.29",24068,"W STARR PASS BL","Major local road","0",21557.1195778736,"id",2.040521108e-06,c(-111.04025582599, 32.2073125316978),"2021-05-10 18:44:22 UTC",820.172443515112
"1.30",24068,"W STARR PASS BL","Major local road","0",21557.1195778736,"id",2.040521108e-06,c(-111.04026351763, 32.2073165376025),"2021-04-18 17:07:08 UTC",819.187393183796
"1.31",24068,"W STARR PASS BL","Major local road","0",21557.1195778736,"id",2.040521108e-06,c(-111.040412428242, 32.2074329714671),"2021-06-19 14:18:28 UTC",794.868917839455
"1.32",24068,"W STARR PASS BL","Major local road","0",21557.1195778736,"id",2.040521108e-06,c(-111.040404464372, 32.2074264557533),"2021-06-19 14:18:28 UTC",796.20617953726
"1.33",24068,"W STARR PASS BL","Major local road","0",21557.1195778736,"id",2.040521108e-06,c(-111.040349072381, 32.2073811362402),"2021-05-12 08:24:15 UTC",805.51612106101
"1.34",24068,"W STARR PASS BL","Major local road","0",21557.1195778736,"id",2.040521108e-06,c(-111.040348284257, 32.2073804914282),"2021-05-12 08:24:15 UTC",805.64869278488
"1.35",24068,"W STARR PASS BL","Major local road","0",21557.1195778736,"id",2.040521108e-06,c(-111.040313765482, 32.20735224951),"2021-08-28 16:01:11 UTC",811.45809375269
"1.36",24068,"W STARR PASS BL","Major local road","0",21557.1195778736,"id",2.040521108e-06,c(-111.04029401188, 32.2073360878705),"2021-05-10 18:43:22 UTC",814.785116659957
"1.37",24068,"W STARR PASS BL","Major local road","0",21557.1195778736,"id",2.040521108e-06,c(-111.040486338523, 32.2074934417836),"2021-04-28 12:50:14 UTC",782.473699337324
"1.38",24068,"W STARR PASS BL","Major local road","0",21557.1195778736,"id",2.040521108e-06,c(-111.040535557011, 32.2075337102339),"2021-02-15 18:25:14 UTC",774.235418636884
"1.39",24068,"W STARR PASS BL","Major local road","0",21557.1195778736,"id",2.040521108e-06,c(-111.040514827852, 32.2075167505343),"2021-05-19 05:43:12 UTC",777.703512777435
"1.40",24068,"W STARR PASS BL","Major local road","0",21557.1195778736,"id",2.040521108e-06,c(-111.040573128284, 32.2075644493971),"2021-07-17 10:51:11 UTC",767.955563104684
"1.41",24068,"W STARR PASS BL","Major local road","0",21557.1195778736,"id",2.040521108e-06,c(-111.040576564987, 32.207567261155),"2021-04-18 17:15:08 UTC",767.381526752162
"1.42",24068,"W STARR PASS BL","Major local road","0",21557.1195778736,"id",2.040521108e-06,c(-111.040869596078, 32.2078512622845),"2021-05-26 14:11:17 UTC",712.511452670212
"1.43",24068,"W STARR PASS BL","Major local road","0",21557.1195778736,"id",2.040521108e-06,c(-111.040865276029, 32.2078470140329),"2021-05-26 14:12:17 UTC",713.325986070314
"1.44",24068,"W STARR PASS BL","Major local road","0",21557.1195778736,"id",2.040521108e-06,c(-111.040861928645, 32.2078437222805),"2021-05-26 14:12:17 UTC",713.957189813097
"1.45",24068,"W STARR PASS BL","Major local road","0",21557.1195778736,"id",2.040521108e-06,c(-111.041172495525, 32.2081471456575),"2021-05-10 06:13:22 UTC",655.931592181206
"1.46",24068,"W STARR PASS BL","Major local road","0",21557.1195778736,"id",2.040521108e-06,c(-111.041134150328, 32.2081099815097),"2021-02-16 13:08:14 UTC",663.023131086436
"1.47",24068,"W STARR PASS BL","Major local road","0",21557.1195778736,"id",2.040521108e-06,c(-111.041125904989, 32.2081019901252),"2021-07-27 06:21:09 UTC",664.549246682165
"1.48",24068,"W STARR PASS BL","Major local road","0",21557.1195778736,"id",2.040521108e-06,c(-111.041093348719, 32.2080704365619),"2021-08-26 15:24:10 UTC",670.579181718527
"1.49",24068,"W STARR PASS BL","Major local road","0",21557.1195778736,"id",2.040521108e-06,c(-111.041063897318, 32.2080418922147),"2021-07-19 02:27:13 UTC",676.039643164576
"1.50",24068,"W STARR PASS BL","Major local road","0",21557.1195778736,"id",2.040521108e-06,c(-111.041046448812, 32.2080249810811),"2021-06-07 14:39:12 UTC",679.277151885893
"1.51",24068,"W STARR PASS BL","Major local road","0",21557.1195778736,"id",2.040521108e-06,c(-111.041027988348, 32.208007021768),"2021-06-05 18:40:13 UTC",682.713842071294
"1.52",24068,"W STARR PASS BL","Major local road","0",21557.1195778736,"id",2.040521108e-06,c(-111.041033812365, 32.2080127338013),"2021-01-08 06:22:13 UTC",681.622921510643
"1.53",24068,"W STARR PASS BL","Major local road","0",21557.1195778736,"id",2.040521108e-06,c(-111.040921902963, 32.2079026998079),"2021-04-30 03:25:07 UTC",702.656594295048
"1.54",24068,"W STARR PASS BL","Major local road","0",21557.1195778736,"id",2.040521108e-06,c(-111.040929337397, 32.2079100106723),"2021-05-29 08:06:18 UTC",701.257050649569
"1.55",24068,"W STARR PASS BL","Major local road","0",21557.1195778736,"id",2.040521108e-06,c(-111.040935655546, 32.2079162238043),"2020-12-28 07:56:11 UTC",700.067876000999
"1.56",24068,"W STARR PASS BL","Major local road","0",21557.1195778736,"id",2.040521108e-06,c(-111.04093581442, 32.2079163800383),"2020-12-28 07:56:11 UTC",700.037975966058
"1.57",24068,"W STARR PASS BL","Major local road","0",21557.1195778736,"id",2.040521108e-06,c(-111.040913917648, 32.2078948472177),"2021-04-06 15:12:07 UTC",704.160161237457
"1.58",24068,"W STARR PASS BL","Major local road","0",21557.1195778736,"id",2.040521108e-06,c(-111.040896942407, 32.2078781541164),"2021-04-14 05:22:16 UTC",707.357544230404
"1.59",24068,"W STARR PASS BL","Major local road","0",21557.1195778736,"id",2.040521108e-06,c(-111.040891371249, 32.2078726755532),"2021-04-14 05:23:16 UTC",708.407223638887
"1.60",24068,"W STARR PASS BL","Major local road","0",21557.1195778736,"id",2.040521108e-06,c(-111.040886181728, 32.207867572283),"2021-04-03 09:57:12 UTC",709.385138996782
"1.61",24068,"W STARR PASS BL","Major local road","0",21557.1195778736,"id",2.040521108e-06,c(-111.040822653091, 32.2078050994401),"2021-01-24 11:06:13 UTC",721.367334103357
"1.62",24068,"W STARR PASS BL","Major local road","0",21557.1195778736,"id",2.040521108e-06,c(-111.040758004078, 32.2077415247208),"2021-08-17 00:02:13 UTC",733.580704882545
"1.63",24068,"W STARR PASS BL","Major local road","0",21557.1195778736,"id",2.040521108e-06,c(-111.040763069019, 32.2077465055003),"2021-08-17 00:01:13 UTC",732.623145319051
"1.64",24068,"W STARR PASS BL","Major local road","0",21557.1195778736,"id",2.040521108e-06,c(-111.040754317068, 32.2077378989755),"2021-03-22 06:14:08 UTC",734.277831339426
"1.65",24068,"W STARR PASS BL","Major local road","0",21557.1195778736,"id",2.040521108e-06,c(-111.040776805012, 32.207760013246),"2021-04-18 08:05:10 UTC",730.02685996717
"1.66",24068,"W STARR PASS BL","Major local road","0",21557.1195778736,"id",2.040521108e-06,c(-111.040776289453, 32.2077595062537),"2021-04-18 08:05:10 UTC",730.124291818954
