"","OBJECTID","STREET","ROADCAT_DS","SHIELD_NO","ShapeSTLen","id","area","geometry","Cross_Times","Passage_Distances"
"1",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062758698114, 32.23854757127),"2021-03-23 17:37:05 UTC",478.279444643683
"1.1",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062758786983, 32.2385689044455),"2022-12-09 10:15:12 UTC",480.847988555146
"1.2",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062758798492, 32.2385716670947),"2022-12-09 10:15:12 UTC",481.18121074106
"1.3",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062758474331, 32.2384938519866),"2022-07-16 10:50:13 UTC",471.848343246917
"1.4",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062758099084, 32.2384037732567),"2020-12-16 21:31:09 UTC",461.187605808174
"1.5",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062757954876, 32.2383691557487),"2021-09-07 12:02:09 UTC",457.133609768832
"1.6",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062757931165, 32.2383634638295),"2021-09-07 12:03:09 UTC",456.469398825435
"1.7",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062757888159, 32.2383531401962),"2021-06-28 09:33:20 UTC",455.266418771499
"1.8",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062757860474, 32.2383464944413),"2021-06-28 09:33:20 UTC",454.493191955979
"1.9",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062757673054, 32.2383015036237),"2021-05-15 10:43:07 UTC",449.283291309262
"1.10",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062757603825, 32.2382848850827),"2021-12-05 20:07:08 UTC",447.369971284092
"1.11",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062757584422, 32.2382802273494),"2022-07-08 15:27:14 UTC",446.834810900689
"1.12",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062757507297, 32.2382617132749),"2022-01-06 01:17:11 UTC",444.712372584987
"1.13",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062757741443, 32.2383179205646),"2021-05-15 10:44:07 UTC",451.179320171456
"1.14",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.06275785279, 32.2383446499052),"2021-06-28 09:33:20 UTC",454.278746951205
"1.15",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062758928789, 32.2386029450162),"2021-10-23 04:03:09 UTC",484.963248308184
"1.16",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062759257982, 32.2386819680444),"2022-06-30 17:00:07 UTC",494.593242007419
"1.17",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062759121924, 32.2386493073723),"2021-06-03 15:18:18 UTC",490.600373767182
"1.18",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062759413608, 32.238719326142),"2021-09-01 04:57:18 UTC",499.181759821097
