"","OBJECTID","STREET","ROADCAT_DS","SHIELD_NO","ShapeSTLen","id","area","geometry","Cross_Times","Passage_Distances"
"1",8723,"N CORTARO RD","Major local road","0",9763.64456647323,"id",2.040521108e-06,c(-111.09813603058, 32.3497111005769),"2023-12-20 13:12:09 UTC",278.75127963367
"1.1",8723,"N CORTARO RD","Major local road","0",9763.64456647323,"id",2.040521108e-06,c(-111.096893459911, 32.3512336278943),"2023-12-21 10:17:10 UTC",0.242325240855657
"1.2",8723,"N CORTARO RD","Major local road","0",9763.64456647323,"id",2.040521108e-06,c(-111.0968712772, 32.3512608000426),"2023-12-21 10:17:10 UTC",0.333717457859676
"1.3",8723,"N CORTARO RD","Major local road","0",9763.64456647323,"id",2.040521108e-06,c(-111.095691876269, 32.3527092731163),"2024-01-26 01:25:16 UTC",4.86690883842573
"1.4",8723,"N CORTARO RD","Major local road","0",9763.64456647323,"id",2.040521108e-06,c(-111.095661944923, 32.3527482159702),"2024-01-08 07:36:08 UTC",4.79806094881934
"1.5",8723,"N CORTARO RD","Major local road","0",9763.64456647323,"id",2.040521108e-06,c(-111.095606358291, 32.3528205381085),"2024-01-19 04:01:10 UTC",4.670186945534
"1.6",8723,"N CORTARO RD","Major local road","0",9763.64456647323,"id",2.040521108e-06,c(-111.095567431994, 32.3528711838894),"2024-01-26 06:14:07 UTC",4.5806283016369
"1.7",8723,"N CORTARO RD","Major local road","0",9763.64456647323,"id",2.040521108e-06,c(-111.095584752397, 32.3528486488661),"2024-01-18 08:50:05 UTC",4.62047886105011
"1.8",8723,"N CORTARO RD","Major local road","0",9763.64456647323,"id",2.040521108e-06,c(-111.095461498266, 32.353009010584),"2023-12-31 23:39:10 UTC",4.33685891152368
"1.9",8723,"N CORTARO RD","Major local road","0",9763.64456647323,"id",2.040521108e-06,c(-111.095817049532, 32.3525521313028),"2024-01-18 18:49:08 UTC",4.6734941617731
"1.10",8723,"N CORTARO RD","Major local road","0",9763.64456647323,"id",2.040521108e-06,c(-111.095958491305, 32.3523788809773),"2024-01-20 09:30:10 UTC",4.09159619914167
"1.11",8723,"N CORTARO RD","Major local road","0",9763.64456647323,"id",2.040521108e-06,c(-111.096235623791, 32.3520394223485),"2023-12-28 14:24:08 UTC",2.95113541019744
"1.12",8723,"N CORTARO RD","Major local road","0",9763.64456647323,"id",2.040521108e-06,c(-111.096203419708, 32.3520788691803),"2023-12-28 14:24:08 UTC",3.08368434968822
"1.13",8723,"N CORTARO RD","Major local road","0",9763.64456647323,"id",2.040521108e-06,c(-111.096154088756, 32.3521392946594),"2024-01-14 10:09:05 UTC",3.28671458836128
"1.14",8723,"N CORTARO RD","Major local road","0",9763.64456647323,"id",2.040521108e-06,c(-111.096523696154, 32.3516865601593),"2024-01-14 07:10:08 UTC",1.76519845980732
"1.15",8723,"N CORTARO RD","Major local road","0",9763.64456647323,"id",2.040521108e-06,c(-111.094836780918, 32.3538217991913),"2023-12-08 16:47:07 UTC",118.937081222881
"1.16",8723,"N CORTARO RD","Major local road","0",9763.64456647323,"id",2.040521108e-06,c(-111.094795428052, 32.3538756006822),"2024-01-08 17:08:23 UTC",128.681862580538
"1.17",8723,"N CORTARO RD","Major local road","0",9763.64456647323,"id",2.040521108e-06,c(-111.094712344841, 32.3539836945443),"2023-12-27 19:28:08 UTC",148.262428467183
