"","OBJECTID","STREET","ROADCAT_DS","SHIELD_NO","ShapeSTLen","id","area","geometry","Cross_Times","Passage_Distances"
"1",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062810116508, 32.2721117129986),"2023-07-21 20:18:20 UTC",2377.01933010103
"1.1",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062772793036, 32.2656078512576),"2024-01-24 06:27:08 UTC",2991.89554106636
"1.2",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062774239196, 32.2654657718231),"2023-06-25 08:10:19 UTC",3007.75094097013
"1.3",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062775052057, 32.2653859112555),"2023-10-18 09:33:14 UTC",3016.6942845484
"1.4",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062775138329, 32.2653774352967),"2023-10-18 09:33:14 UTC",3017.64479157365
"1.5",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062771850079, 32.2657004927909),"2023-08-31 09:43:01 UTC",2981.59600433668
"1.6",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062771288241, 32.2657556909725),"2023-12-24 22:09:13 UTC",2975.47400651876
"1.7",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062770926385, 32.2657912416839),"2023-12-29 19:53:09 UTC",2971.53696056312
"1.8",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062769653187, 32.2659163274419),"2023-12-29 21:12:10 UTC",2957.72120772073
"1.9",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062765852747, 32.2662897009766),"2023-06-14 18:11:10 UTC",2916.82980426057
"1.10",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062767616038, 32.2661164671216),"2023-09-05 18:19:10 UTC",2935.73658083779
"1.11",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062767519112, 32.2661259896598),"2023-09-05 18:19:10 UTC",2934.69431741619
