"","OBJECTID","STREET","ROADCAT_DS","SHIELD_NO","ShapeSTLen","id","area","geometry","Cross_Times","Passage_Distances"
"1",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062019882502, 32.2515671108148),"2022-04-24 12:13:15 UTC",2364.42673978001
"1.1",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.061905651483, 32.2518902032744),"2022-04-24 12:30:16 UTC",2412.19319561441
"2",18890,"W ANKLAM RD","Major local road","0",20600.6078653105,"id",2.040521108e-06,c(-111.042993943295, 32.2300545029908),"2022-08-27 15:45:11 UTC",1769.75923185653
"2.1",18890,"W ANKLAM RD","Major local road","0",20600.6078653105,"id",2.040521108e-06,c(-111.044584171915, 32.2309607102053),"2022-08-27 14:30:10 UTC",2015.14606960001
"3",21713,"W IRONWOOD HILL DR","Major local road","0",15139.8679477918,"id",2.040521108e-06,c(-111.060636870944, 32.2510893454838),"2022-04-21 13:15:09 UTC",2283.56621261908
"3.1",21713,"W IRONWOOD HILL DR","Major local road","0",15139.8679477918,"id",2.040521108e-06,c(-111.059734158385, 32.2507417090154),"2022-04-19 14:47:07 UTC",2232.31990103159
"3.2",21713,"W IRONWOOD HILL DR","Major local road","0",15139.8679477918,"id",2.040521108e-06,c(-111.058315752469, 32.2507134744906),"2022-02-15 08:20:08 UTC",2239.86319989116
"3.3",21713,"W IRONWOOD HILL DR","Major local road","0",15139.8679477918,"id",2.040521108e-06,c(-111.058560452341, 32.2507141262605),"2022-04-15 15:43:10 UTC",2236.85377352228
"3.4",21713,"W IRONWOOD HILL DR","Major local road","0",15139.8679477918,"id",2.040521108e-06,c(-111.058450259374, 32.2507138328146),"2022-02-15 11:24:09 UTC",2238.15423014825
"3.5",21713,"W IRONWOOD HILL DR","Major local road","0",15139.8679477918,"id",2.040521108e-06,c(-111.057451336977, 32.2507129470902),"2022-04-22 15:37:09 UTC",2254.28034522118
"3.6",21713,"W IRONWOOD HILL DR","Major local road","0",15139.8679477918,"id",2.040521108e-06,c(-111.057380688675, 32.2507131168054),"2022-04-07 20:42:10 UTC",2255.73089263316
"3.7",21713,"W IRONWOOD HILL DR","Major local road","0",15139.8679477918,"id",2.040521108e-06,c(-111.056827015397, 32.2507144455082),"2022-04-12 11:21:10 UTC",2268.33845690246
"3.8",21713,"W IRONWOOD HILL DR","Major local road","0",15139.8679477918,"id",2.040521108e-06,c(-111.056717556447, 32.2507147079015),"2022-04-12 12:13:10 UTC",2271.08929456083
"3.9",21713,"W IRONWOOD HILL DR","Major local road","0",15139.8679477918,"id",2.040521108e-06,c(-111.056679419994, 32.2507147992994),"2022-04-12 12:16:10 UTC",2272.06759676944
"3.10",21713,"W IRONWOOD HILL DR","Major local road","0",15139.8679477918,"id",2.040521108e-06,c(-111.056531575156, 32.2507151535165),"2022-04-28 14:03:09 UTC",2275.95703338352
"3.11",21713,"W IRONWOOD HILL DR","Major local road","0",15139.8679477918,"id",2.040521108e-06,c(-111.05510956318, 32.250721211727),"2022-03-03 17:22:07 UTC",2321.45902168129
"3.12",21713,"W IRONWOOD HILL DR","Major local road","0",15139.8679477918,"id",2.040521108e-06,c(-111.055510868332, 32.2507175943003),"2022-05-24 10:49:08 UTC",2306.94771487408
"3.13",21713,"W IRONWOOD HILL DR","Major local road","0",15139.8679477918,"id",2.040521108e-06,c(-111.056215711017, 32.2507159097092),"2022-04-04 17:59:11 UTC",2284.77936243591
"3.14",21713,"W IRONWOOD HILL DR","Major local road","0",15139.8679477918,"id",2.040521108e-06,c(-111.055776373701, 32.2507169601954),"2022-01-23 21:27:10 UTC",2298.19884989891
"3.15",21713,"W IRONWOOD HILL DR","Major local road","0",15139.8679477918,"id",2.040521108e-06,c(-111.054895333829, 32.2507235474722),"2022-06-18 09:57:07 UTC",2329.69988171414
"3.16",21713,"W IRONWOOD HILL DR","Major local road","0",15139.8679477918,"id",2.040521108e-06,c(-111.054617028944, 32.2507265812938),"2022-04-12 13:34:09 UTC",2340.8509329706
"3.17",21713,"W IRONWOOD HILL DR","Major local road","0",15139.8679477918,"id",2.040521108e-06,c(-111.054772147888, 32.2507248904063),"2022-03-03 14:40:07 UTC",2334.57393427477
"3.18",21713,"W IRONWOOD HILL DR","Major local road","0",15139.8679477918,"id",2.040521108e-06,c(-111.054722961666, 32.2507254265855),"2022-05-12 08:32:11 UTC",2336.54750692338
"3.19",21713,"W IRONWOOD HILL DR","Major local road","0",15139.8679477918,"id",2.040521108e-06,c(-111.054470001654, 32.2507270648084),"2022-04-28 15:56:11 UTC",2346.78138091796
"3.20",21713,"W IRONWOOD HILL DR","Major local road","0",15139.8679477918,"id",2.040521108e-06,c(-111.054551100483, 32.2507268903187),"2022-03-19 06:46:08 UTC",2343.50635356185
"3.21",21713,"W IRONWOOD HILL DR","Major local road","0",15139.8679477918,"id",2.040521108e-06,c(-111.053827370785, 32.2507284456404),"2022-04-06 17:02:08 UTC",2374.20803187974
"3.22",21713,"W IRONWOOD HILL DR","Major local road","0",15139.8679477918,"id",2.040521108e-06,c(-111.053326516162, 32.2507295195799),"2022-03-27 09:38:12 UTC",2397.36022646857
"3.23",21713,"W IRONWOOD HILL DR","Major local road","0",15139.8679477918,"id",2.040521108e-06,c(-111.053228581173, 32.2507297293425),"2022-06-18 11:25:08 UTC",2402.06493295465
"3.24",21713,"W IRONWOOD HILL DR","Major local road","0",15139.8679477918,"id",2.040521108e-06,c(-111.052836836515, 32.2507305676475),"2022-04-04 14:09:09 UTC",2421.4536531655
"3.25",21713,"W IRONWOOD HILL DR","Major local road","0",15139.8679477918,"id",2.040521108e-06,c(-111.052659632999, 32.250730946453),"2022-04-17 17:13:08 UTC",2430.51936007273
