"","OBJECTID","STREET","ROADCAT_DS","SHIELD_NO","ShapeSTLen","id","area","geometry","Cross_Times","Passage_Distances"
"1",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062773989005, 32.2443463072937),"2021-11-28 09:26:07 UTC",1292.93679409433
"1.1",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062773915994, 32.2443150528466),"2021-08-19 02:40:08 UTC",1288.31084941318
"1.2",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.0627739161, 32.24431509818),"2021-08-19 02:40:08 UTC",1288.31755851875
"1.3",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062773901488, 32.2443088430797),"2021-08-19 02:40:08 UTC",1287.39185477802
"1.4",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062773644151, 32.2441986823075),"2022-03-21 10:15:07 UTC",1271.09500559832
"1.5",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062773651585, 32.2442018642613),"2022-03-21 10:15:07 UTC",1271.56557159594
"1.6",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062773538145, 32.2441533030682),"2021-12-17 17:18:07 UTC",1264.38512916679
"1.7",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062773563653, 32.2441642225464),"2021-11-12 08:45:05 UTC",1265.99952401286
"1.8",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062773492862, 32.2441339181156),"2022-03-21 09:05:07 UTC",1261.51944183334
"1.9",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062774195406, 32.24443466312),"2021-12-08 12:14:08 UTC",1306.01909358039
"1.10",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062774163004, 32.244420792345),"2022-04-14 15:23:24 UTC",1303.96486767298
"1.11",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062774556039, 32.2445890419795),"2021-08-19 00:05:09 UTC",1328.89360714503
"1.12",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062774714638, 32.2446569345519),"2022-01-07 13:16:07 UTC",1338.95978860984
"1.13",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062774787204, 32.2446879981889),"2021-08-21 21:27:13 UTC",1343.56675701358
"1.14",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062775321564, 32.2449167446181),"2021-08-22 00:21:13 UTC",1377.5153786365
"1.15",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062775289766, 32.2449031324945),"2021-11-04 16:30:21 UTC",1375.49403899151
