"","OBJECTID","STREET","ROADCAT_DS","SHIELD_NO","ShapeSTLen","id","area","geometry","Cross_Times","Passage_Distances"
"1",15755,"S GREASEWOOD RD","Major local road","0",5274.6694494786,"id",2.040521108e-06,c(-111.020285798188, 32.2154349063816),"2022-02-20 19:22:11 UTC",1953.84891895425
"1.1",15755,"S GREASEWOOD RD","Major local road","0",5274.6694494786,"id",2.040521108e-06,c(-111.020292319628, 32.2159729379038),"2022-02-23 15:28:15 UTC",1893.51185306137
"1.2",15755,"S GREASEWOOD RD","Major local road","0",5274.6694494786,"id",2.040521108e-06,c(-111.020285243722, 32.2119194883358),"2022-02-24 10:07:09 UTC",1698.97022971612
"1.3",15755,"S GREASEWOOD RD","Major local road","0",5274.6694494786,"id",2.040521108e-06,c(-111.020285428085, 32.21179670275),"2022-02-28 15:22:11 UTC",1684.80748134072
"1.4",15755,"S GREASEWOOD RD","Major local road","0",5274.6694494786,"id",2.040521108e-06,c(-111.020281422352, 32.2144628681065),"2022-02-15 18:29:07 UTC",2009.00027502238
"1.5",15755,"S GREASEWOOD RD","Major local road","0",5274.6694494786,"id",2.040521108e-06,c(-111.020289530517, 32.2090644076838),"2022-02-24 19:13:10 UTC",1397.37352394623
"1.6",15755,"S GREASEWOOD RD","Major local road","0",5274.6694494786,"id",2.040521108e-06,c(-111.02029073764, 32.2082604097153),"2022-02-19 11:56:13 UTC",1325.80224470432
"2",16238,"S LA CHOLLA BL","Major local road","0",10559.6256813484,"id",2.040521108e-06,c(-111.011612481229, 32.1943973115169),"2022-02-17 18:22:11 UTC",1053.04371014529
"2.1",16238,"S LA CHOLLA BL","Major local road","0",10559.6256813484,"id",2.040521108e-06,c(-111.011695525879, 32.1839942539227),"2022-04-21 17:46:11 UTC",508.490398543917
"2.2",16238,"S LA CHOLLA BL","Major local road","0",10559.6256813484,"id",2.040521108e-06,c(-111.011686668047, 32.1837176805239),"2021-12-03 17:44:12 UTC",550.587528315472
"2.3",16238,"S LA CHOLLA BL","Major local road","0",10559.6256813484,"id",2.040521108e-06,c(-111.011685233661, 32.1836728936584),"2022-05-30 14:51:10 UTC",557.404577058836
"2.4",16238,"S LA CHOLLA BL","Major local road","0",10559.6256813484,"id",2.040521108e-06,c(-111.011679051861, 32.1834798744263),"2021-12-03 19:19:11 UTC",586.784369585135
"2.5",16238,"S LA CHOLLA BL","Major local road","0",10559.6256813484,"id",2.040521108e-06,c(-111.011679533796, 32.1834949222943),"2021-12-03 19:19:11 UTC",584.493898387522
"2.6",16238,"S LA CHOLLA BL","Major local road","0",10559.6256813484,"id",2.040521108e-06,c(-111.011722360463, 32.1848321160167),"2022-09-22 21:55:10 UTC",380.964846496169
"2.7",16238,"S LA CHOLLA BL","Major local road","0",10559.6256813484,"id",2.040521108e-06,c(-111.011725980484, 32.1849451435571),"2021-12-16 19:33:11 UTC",363.762506815008
