"","OBJECTID","STREET","ROADCAT_DS","SHIELD_NO","ShapeSTLen","id","area","geometry","Cross_Times","Passage_Distances"
"1",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062810143715, 32.2721143037636),"2021-07-18 15:11:16 UTC",2376.82598704343
"1.1",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062810132484, 32.2721132343005),"2021-07-18 15:11:16 UTC",2376.90579270818
"1.2",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.06277334327, 32.2655537930489),"2021-11-20 11:09:06 UTC",2997.91973473062
"1.3",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062773642239, 32.2655244204938),"2021-10-18 02:26:10 UTC",3001.19734445236
"1.4",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062771317838, 32.2657527831945),"2021-12-02 09:35:12 UTC",2975.79623056291
"1.5",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062769997002, 32.2658825493098),"2021-11-20 17:54:06 UTC",2961.44633428666
"1.6",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062769719046, 32.2659098570891),"2022-01-12 05:58:07 UTC",2958.43444579856
"1.7",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062762360337, 32.2666328094529),"2021-10-11 01:32:05 UTC",2879.72705669598
"1.8",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062762307312, 32.2666380188277),"2021-12-27 20:11:08 UTC",2879.16732439546
"1.9",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062764422171, 32.2664302468547),"2021-09-29 09:09:09 UTC",2901.57562680735
"1.10",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062795622035, 32.2643257931503),"2021-12-26 11:15:06 UTC",3138.27602883291
"1.11",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062780036263, 32.2651283715114),"2021-10-18 07:51:10 UTC",3045.8919393793
"1.12",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062795409601, 32.2639246915926),"2022-03-21 19:37:10 UTC",3184.52576005921
"1.13",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062795393867, 32.2638949848178),"2022-01-09 08:49:08 UTC",3187.97083200192
"1.14",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062795162649, 32.2634584139659),"2022-01-16 07:57:06 UTC",3238.9029190255
"1.15",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062795108888, 32.2633569046218),"2022-01-16 10:27:06 UTC",3250.82512517328
"1.16",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062795015346, 32.2631802826912),"2021-07-15 07:42:05 UTC",3271.63912142856
"1.17",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062794970543, 32.2630956885052),"2021-12-14 16:08:05 UTC",3281.63913456289
"1.18",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062794830503, 32.2628312701604),"2022-01-25 16:33:11 UTC",3313.02356094087
"1.19",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062794744163, 32.2626682454099),"2021-12-22 06:28:05 UTC",3332.46757886779
"1.20",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062785992756, 32.261399615177),"2021-12-14 12:16:05 UTC",3485.47469674608
"1.21",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062789655142, 32.2617230494989),"2022-02-04 14:25:08 UTC",3446.1967249329
"1.22",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062789635596, 32.2617213233572),"2022-02-04 14:25:08 UTC",3446.40567496694
"1.23",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062790401294, 32.2617889437962),"2022-02-04 16:06:08 UTC",3438.2256735727
