"","OBJECTID","STREET","ROADCAT_DS","SHIELD_NO","ShapeSTLen","id","area","geometry","Cross_Times","Passage_Distances"
"1",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062773039947, 32.2439400334606),"2022-07-02 14:00:12 UTC",1232.87827251383
"1.1",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062773448862, 32.2441150827795),"2022-05-03 15:24:10 UTC",1258.7353608949
"1.2",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062770246896, 32.242744359678),"2022-06-19 13:24:14 UTC",1057.25497409712
"1.3",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062777374505, 32.2465886059766),"2022-06-19 14:49:19 UTC",1626.64380288801
"1.4",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062775874374, 32.2452508674877),"2022-05-02 16:40:20 UTC",1427.16770695213
"1.5",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062775908743, 32.2452815168195),"2022-05-03 13:17:10 UTC",1431.72588021828
"1.6",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062776613752, 32.2459102116452),"2022-07-02 15:04:10 UTC",1525.35881345037
"1.7",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.06277655681, 32.2458594332364),"2022-07-30 12:34:10 UTC",1517.78739603721
"1.8",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062776548718, 32.2458522173753),"2022-07-30 12:42:10 UTC",1516.71157990608
"1.9",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062776449, 32.2457632938488),"2022-05-02 17:31:21 UTC",1503.45640525713
