"","OBJECTID","STREET","ROADCAT_DS","SHIELD_NO","ShapeSTLen","id","area","geometry","Cross_Times","Passage_Distances"
"1",3398,"E I10","Interstate highway","10",147455.311549455,"id",2.040521108e-06,c(-111.032678058164, 32.2970400156314),"2024-04-05 08:23:08 UTC",240.413867418765
"1.1",3398,"E I10","Interstate highway","10",147455.311549455,"id",2.040521108e-06,c(-111.032570999674, 32.2969283647226),"2024-04-05 08:27:08 UTC",221.643952917661
"1.2",3398,"E I10","Interstate highway","10",147455.311549455,"id",2.040521108e-06,c(-111.021465571677, 32.2845138430068),"2024-04-11 19:41:13 UTC",550.292024508011
"1.3",3398,"E I10","Interstate highway","10",147455.311549455,"id",2.040521108e-06,c(-111.019266772188, 32.28187725647),"2024-04-11 19:07:09 UTC",64.1086961025709
"2",3416,"E I10 EB EXIT 252 OFF RAMP","Interstate ramp","0",1906.96435368514,"id",2.040521108e-06,c(-111.033363815303, 32.2973767104147),"2024-04-05 08:02:08 UTC",315.599542663354
"2.1",3416,"E I10 EB EXIT 252 OFF RAMP","Interstate ramp","0",1906.96435368514,"id",2.040521108e-06,c(-111.032262206992, 32.2961121567427),"2024-04-05 08:47:08 UTC",97.0055660710507
"3",7806,"N BUSINESS CENTER DR","Frontage road","0",7603.19345042488,"id",2.040521108e-06,c(-111.022241343312, 32.284870152589),"2024-04-11 19:47:14 UTC",656.254410587842
"3.1",7806,"N BUSINESS CENTER DR","Frontage road","0",7603.19345042488,"id",2.040521108e-06,c(-111.024160888313, 32.2872440291389),"2024-03-21 08:50:12 UTC",519.972024253502
"3.2",7806,"N BUSINESS CENTER DR","Frontage road","0",7603.19345042488,"id",2.040521108e-06,c(-111.025666477951, 32.2891001188384),"2024-03-21 08:04:14 UTC",183.245105312533
"3.3",7806,"N BUSINESS CENTER DR","Frontage road","0",7603.19345042488,"id",2.040521108e-06,c(-111.019294454546, 32.2813276727575),"2023-12-16 18:43:07 UTC",77.3702656440286
"3.4",7806,"N BUSINESS CENTER DR","Frontage road","0",7603.19345042488,"id",2.040521108e-06,c(-111.019393890931, 32.2814374785408),"2024-04-11 19:02:09 UTC",79.3801162742661
"3.5",7806,"N BUSINESS CENTER DR","Frontage road","0",7603.19345042488,"id",2.040521108e-06,c(-111.019650850706, 32.281721232933),"2023-12-16 18:07:07 UTC",105.171204885872
"4",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.061445967093, 32.2567709800694),"2024-02-28 14:57:07 UTC",3149.41790771789
"4.1",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062776239409, 32.2491584540502),"2024-02-28 15:59:07 UTC",2011.92320590308
"5",8422,"N CASA GRANDE HY","Frontage road","0",5786.13471000891,"id",2.040521108e-06,c(-111.033619158857, 32.2974287444715),"2024-04-05 07:56:09 UTC",337.321355160779
"5.1",8422,"N CASA GRANDE HY","Frontage road","0",5786.13471000891,"id",2.040521108e-06,c(-111.032249397395, 32.2959432199794),"2024-04-05 08:50:08 UTC",72.0087229959317
"6",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020449510323, 32.2482223998814),"2024-03-12 19:04:13 UTC",373.64150996781
