"","OBJECTID","STREET","ROADCAT_DS","SHIELD_NO","ShapeSTLen","id","area","geometry","Cross_Times","Passage_Distances"
"1",8157,"N CAMINO DE OESTE","Major local road","0",5282.44289910512,"id",2.040521108e-06,c(-111.062796994495, 32.2984410019167),"2023-04-19 12:18:09 UTC",1949.72893912518
"1.1",8157,"N CAMINO DE OESTE","Major local road","0",5282.44289910512,"id",2.040521108e-06,c(-111.062798793812, 32.2957527006639),"2023-02-19 16:20:14 UTC",2198.34135396534
"1.2",8157,"N CAMINO DE OESTE","Major local road","0",5282.44289910512,"id",2.040521108e-06,c(-111.062818373192, 32.2943525015764),"2023-04-15 15:53:17 UTC",2347.31113529005
"1.3",8157,"N CAMINO DE OESTE","Major local road","0",5282.44289910512,"id",2.040521108e-06,c(-111.062809125037, 32.2950138792045),"2023-02-19 10:04:15 UTC",2275.68286012214
"1.4",8157,"N CAMINO DE OESTE","Major local road","0",5282.44289910512,"id",2.040521108e-06,c(-111.0628191425, 32.3038776420463),"2023-04-02 17:23:59 UTC",1657.21041345363
"1.5",8157,"N CAMINO DE OESTE","Major local road","0",5282.44289910512,"id",2.040521108e-06,c(-111.062845714367, 32.3012678014536),"2023-04-01 16:48:12 UTC",1760.20757197544
"1.6",8157,"N CAMINO DE OESTE","Major local road","0",5282.44289910512,"id",2.040521108e-06,c(-111.062846073118, 32.3013695599905),"2023-05-09 16:12:11 UTC",1754.79565508874
"2",12388,"N SILVERBELL RD","Major local road","0",74776.0486567459,"id",2.040521108e-06,c(-111.04366132207, 32.2942570222218),"2023-03-19 11:48:23 UTC",642.525565816036
"2.1",12388,"N SILVERBELL RD","Major local road","0",74776.0486567459,"id",2.040521108e-06,c(-111.044078412642, 32.2948477579107),"2023-03-19 14:29:12 UTC",702.461658392209
"3",14862,"S CARDINAL AV","Major local road","0",14625.6242478808,"id",2.040521108e-06,c(-111.02867346741, 32.1467900007259),"2023-06-29 04:55:08 UTC",3672.17060502408
"3.1",14862,"S CARDINAL AV","Major local road","0",14625.6242478808,"id",2.040521108e-06,c(-111.028716805778, 32.1547326036481),"2023-05-22 14:19:12 UTC",3213.74370390659
"3.2",14862,"S CARDINAL AV","Major local road","0",14625.6242478808,"id",2.040521108e-06,c(-111.028736479238, 32.1554008034123),"2023-05-29 22:53:10 UTC",3195.13525719077
"3.3",14862,"S CARDINAL AV","Major local road","0",14625.6242478808,"id",2.040521108e-06,c(-111.028880009257, 32.1564364131577),"2023-06-05 10:00:18 UTC",3187.01310064067
"3.4",14862,"S CARDINAL AV","Major local road","0",14625.6242478808,"id",2.040521108e-06,c(-111.028873773621, 32.1575400250382),"2023-06-20 15:05:17 UTC",3166.52260333172
"3.5",14862,"S CARDINAL AV","Major local road","0",14625.6242478808,"id",2.040521108e-06,c(-111.028871105086, 32.158592792395),"2023-06-02 03:37:09 UTC",3155.6204239585
"3.6",14862,"S CARDINAL AV","Major local road","0",14625.6242478808,"id",2.040521108e-06,c(-111.028871689866, 32.1583621469978),"2023-05-28 08:17:14 UTC",3157.3166783671
"3.7",14862,"S CARDINAL AV","Major local road","0",14625.6242478808,"id",2.040521108e-06,c(-111.028871988335, 32.1582444264057),"2023-06-23 14:13:14 UTC",3158.33247663804
"3.8",14862,"S CARDINAL AV","Major local road","0",14625.6242478808,"id",2.040521108e-06,c(-111.028872152114, 32.1581798066576),"2023-06-05 00:48:21 UTC",3158.93312699776
"3.9",14862,"S CARDINAL AV","Major local road","0",14625.6242478808,"id",2.040521108e-06,c(-111.028754901487, 32.150851032142),"2023-05-25 06:43:11 UTC",3399.07657223434
"3.10",14862,"S CARDINAL AV","Major local road","0",14625.6242478808,"id",2.040521108e-06,c(-111.028869673813, 32.159157301654),"2023-06-12 02:43:14 UTC",3153.1141159514
"4",16238,"S LA CHOLLA BL","Major local road","0",10559.6256813484,"id",2.040521108e-06,c(-111.011666609916, 32.1796953642014),"2023-05-26 14:45:21 UTC",1087.6396928352
"4.1",16238,"S LA CHOLLA BL","Major local road","0",10559.6256813484,"id",2.040521108e-06,c(-111.011661196127, 32.1829223460605),"2023-05-20 06:55:10 UTC",671.648006132416
"5",18808,"W AJO HY","State route","86",132094.139028572,"id",2.040521108e-06,c(-111.050079345476, 32.1771882561178),"2023-05-27 11:31:16 UTC",441.939784279178
"6",18812,"W AJO WY","State route","86",10549.8297106555,"id",2.040521108e-06,c(-111.008479603971, 32.1779148233212),"2023-05-20 13:43:09 UTC",737.44807964454
"6.1",18812,"W AJO WY","State route","86",10549.8297106555,"id",2.040521108e-06,c(-111.010199016918, 32.177913814117),"2023-05-26 13:42:23 UTC",945.430657204331
"7",18890,"W ANKLAM RD","Major local road","0",20600.6078653105,"id",2.040521108e-06,c(-111.022695739489, 32.2249510783668),"2023-05-18 19:00:12 UTC",1002.70942245968
"8",20857,"W DREXEL RD","Major local road","0",9249.87236021617,"id",2.040521108e-06,c(-111.026895335138, 32.148328516316),"2023-06-28 23:45:06 UTC",3354.29511219897
"9",20948,"W EL CAMINO DEL CERRO","Major local road","0",17286.9452756773,"id",2.040521108e-06,c(-111.043690004275, 32.2942406282525),"2023-03-19 11:47:23 UTC",646.221785856959
"9.1",20948,"W EL CAMINO DEL CERRO","Major local road","0",17286.9452756773,"id",2.040521108e-06,c(-111.045779545451, 32.2942229645901),"2023-03-19 15:06:11 UTC",915.906191417119
"9.2",20948,"W EL CAMINO DEL CERRO","Major local road","0",17286.9452756773,"id",2.040521108e-06,c(-111.061171713136, 32.2942093859583),"2023-05-06 01:47:11 UTC",2220.63460436277
"9.3",20948,"W EL CAMINO DEL CERRO","Major local road","0",17286.9452756773,"id",2.040521108e-06,c(-111.061360128174, 32.2942116547168),"2023-02-19 09:34:14 UTC",2236.08803807556
"9.4",20948,"W EL CAMINO DEL CERRO","Major local road","0",17286.9452756773,"id",2.040521108e-06,c(-111.063101583541, 32.2942306790895),"2023-04-15 16:00:18 UTC",2386.12659953513
"9.5",20948,"W EL CAMINO DEL CERRO","Major local road","0",17286.9452756773,"id",2.040521108e-06,c(-111.063897426298, 32.2942349063723),"2023-05-09 12:00:08 UTC",2458.95312987296
"9.6",20948,"W EL CAMINO DEL CERRO","Major local road","0",17286.9452756773,"id",2.040521108e-06,c(-111.074473859057, 32.2942504116038),"2023-04-19 01:06:20 UTC",3571.8775857663
"9.7",20948,"W EL CAMINO DEL CERRO","Major local road","0",17286.9452756773,"id",2.040521108e-06,c(-111.06012324549, 32.2941967559515),"2023-03-31 22:19:10 UTC",2137.65361283237
"9.8",20948,"W EL CAMINO DEL CERRO","Major local road","0",17286.9452756773,"id",2.040521108e-06,c(-111.059433736866, 32.2941884452968),"2023-02-19 17:41:11 UTC",2086.06802404833
"9.9",20948,"W EL CAMINO DEL CERRO","Major local road","0",17286.9452756773,"id",2.040521108e-06,c(-111.058910654226, 32.2941821380755),"2023-04-24 17:24:11 UTC",2048.64556145931
"9.10",20948,"W EL CAMINO DEL CERRO","Major local road","0",17286.9452756773,"id",2.040521108e-06,c(-111.058474374581, 32.2941768758563),"2023-04-24 09:40:00 UTC",2018.629224449
"9.11",20948,"W EL CAMINO DEL CERRO","Major local road","0",17286.9452756773,"id",2.040521108e-06,c(-111.058442453758, 32.2941764907821),"2023-02-15 23:18:15 UTC",2016.47721791553
"9.12",20948,"W EL CAMINO DEL CERRO","Major local road","0",17286.9452756773,"id",2.040521108e-06,c(-111.058288368823, 32.2941746318778),"2023-05-16 13:59:10 UTC",2006.17575530429
"9.13",20948,"W EL CAMINO DEL CERRO","Major local road","0",17286.9452756773,"id",2.040521108e-06,c(-111.058219111279, 32.2941737962832),"2023-04-02 22:35:01 UTC",2001.59256378014
"9.14",20948,"W EL CAMINO DEL CERRO","Major local road","0",17286.9452756773,"id",2.040521108e-06,c(-111.05806558007, 32.2941719437891),"2023-02-15 10:21:09 UTC",1991.53787060498
"9.15",20948,"W EL CAMINO DEL CERRO","Major local road","0",17286.9452756773,"id",2.040521108e-06,c(-111.058149311465, 32.2941729541078),"2023-05-08 18:02:12 UTC",1997.00331263767
"9.16",20948,"W EL CAMINO DEL CERRO","Major local road","0",17286.9452756773,"id",2.040521108e-06,c(-111.057574507989, 32.2941668221912),"2023-04-10 01:27:12 UTC",1960.26973410932
