"","OBJECTID","STREET","ROADCAT_DS","SHIELD_NO","ShapeSTLen","id","area","geometry","Cross_Times","Passage_Distances"
"1",7508,"N BANNER MINE DR","Minor local road","0",2384.38912622077,"id",2.040521108e-06,c(-111.054956007324, 32.2752958558474),"2022-05-25 14:29:11 UTC",1259.8538853671
"1.1",7508,"N BANNER MINE DR","Minor local road","0",2384.38912622077,"id",2.040521108e-06,c(-111.054853056262, 32.2754174672781),"2022-05-29 15:21:52 UTC",1238.54710107186
"1.2",7508,"N BANNER MINE DR","Minor local road","0",2384.38912622077,"id",2.040521108e-06,c(-111.054852340676, 32.2754183016422),"2022-05-29 15:21:52 UTC",1238.40010064331
"1.3",7508,"N BANNER MINE DR","Minor local road","0",2384.38912622077,"id",2.040521108e-06,c(-111.054886229925, 32.2753787871662),"2023-03-17 02:21:13 UTC",1245.36450848079
"1.4",7508,"N BANNER MINE DR","Minor local road","0",2384.38912622077,"id",2.040521108e-06,c(-111.054897586836, 32.2753653949092),"2022-11-14 17:51:08 UTC",1247.71225842788
"1.5",7508,"N BANNER MINE DR","Minor local road","0",2384.38912622077,"id",2.040521108e-06,c(-111.054896116602, 32.275367144956),"2023-02-09 02:34:24 UTC",1247.40691604479
"1.6",7508,"N BANNER MINE DR","Minor local road","0",2384.38912622077,"id",2.040521108e-06,c(-111.054924730939, 32.2753330847635),"2022-06-05 17:36:54 UTC",1253.35156296789
"1.7",7508,"N BANNER MINE DR","Minor local road","0",2384.38912622077,"id",2.040521108e-06,c(-111.054821045782, 32.2754547910923),"2022-05-29 15:20:52 UTC",1231.97367715709
"1.8",7508,"N BANNER MINE DR","Minor local road","0",2384.38912622077,"id",2.040521108e-06,c(-111.054809352404, 32.2754684254138),"2022-11-25 15:48:07 UTC",1229.5736414862
"1.9",7508,"N BANNER MINE DR","Minor local road","0",2384.38912622077,"id",2.040521108e-06,c(-111.054807146872, 32.2754709970338),"2022-11-25 15:48:07 UTC",1229.12103583584
"1.10",7508,"N BANNER MINE DR","Minor local road","0",2384.38912622077,"id",2.040521108e-06,c(-111.05477344479, 32.2755102931745),"2023-03-08 11:30:12 UTC",1222.20785134386
