"","OBJECTID","STREET","ROADCAT_DS","SHIELD_NO","ShapeSTLen","id","area","geometry","Cross_Times","Passage_Distances"
"1",7209,"N AMBERBROOKE AV","Minor local road","0",754.617714599808,"id",2.040521108e-06,c(-111.021104226626, 32.2415561370322),"2022-03-09 17:06:12 UTC",745.174756328999
"2",7316,"N ATWOOD AV","Minor local road","0",1537.95644890826,"id",2.040521108e-06,c(-111.02844977964, 32.2429080858799),"2024-03-07 09:26:18 UTC",1300.54002498596
"2.1",7316,"N ATWOOD AV","Minor local road","0",1537.95644890826,"id",2.040521108e-06,c(-111.028451212381, 32.2427518871417),"2022-03-09 20:01:11 UTC",1281.40882036335
"3",7317,"N ATWOOD AV","Minor local road","0",319.613042942781,"id",2.040521108e-06,c(-111.028537628403, 32.247708485008),"2024-03-12 18:08:10 UTC",1067.76044009952
"4",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.034830721062, 32.2715459825608),"2023-02-24 14:06:11 UTC",1914.8464490304
"4.1",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.034844810737, 32.2715388800787),"2023-02-24 14:06:11 UTC",1914.18419151005
"4.2",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.034845379759, 32.2715385926324),"2023-02-24 14:06:11 UTC",1914.15755077128
"4.3",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.034890046821, 32.2715168539347),"2022-05-10 15:11:21 UTC",1911.99428346574
"4.4",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.034895672486, 32.2715142357335),"2022-05-10 15:11:21 UTC",1911.71127770778
"4.5",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.034999328393, 32.2714700494764),"2022-06-23 06:37:08 UTC",1906.14319022649
"4.6",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.034999313231, 32.271470055356),"2022-06-23 06:37:08 UTC",1906.14405629025
"4.7",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.035000126971, 32.2714697397926),"2022-06-23 06:37:08 UTC",1906.09757648354
"4.8",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.035001379449, 32.2714692540895),"2022-06-23 06:37:08 UTC",1906.0260480153
"4.9",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.034989010075, 32.2714740964964),"2023-03-12 17:52:12 UTC",1906.72845231885
"4.10",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.034986002007, 32.2714752903085),"2023-03-12 17:52:12 UTC",1906.89783595129
"4.11",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.034959470211, 32.2714859958058),"2023-04-11 19:11:22 UTC",1908.37761807286
"4.12",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.03497265749, 32.2714805863458),"2023-03-12 17:50:12 UTC",1907.65024302011
"4.13",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.035039213386, 32.2714548748873),"2024-01-31 18:01:08 UTC",1903.84222967655
"4.14",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.035015679489, 32.2714637086192),"2023-03-29 20:01:10 UTC",1905.2103639961
