"","OBJECTID","STREET","ROADCAT_DS","SHIELD_NO","ShapeSTLen","id","area","geometry","Cross_Times","Passage_Distances"
"1",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.074453783329, 32.2723117894428),"2021-01-20 01:26:28 UTC",3745.72260401693
"1.1",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.074442605706, 32.2722674678006),"2020-12-11 04:29:09 UTC",3746.43493750611
"1.2",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.074413617433, 32.2722053490268),"2021-08-12 10:13:09 UTC",3745.82109696878
"1.3",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.074372784779, 32.2721269227375),"2021-07-27 00:02:10 UTC",3744.56675874405
"1.4",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.07436728934, 32.2702097586518),"2021-04-01 18:13:52 UTC",3845.97018087043
"1.5",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.074002133544, 32.2713809697134),"2021-05-09 23:39:06 UTC",3737.03380684663
"1.6",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.074021002239, 32.2714166354719),"2021-03-25 08:32:11 UTC",3737.44107271322
"1.7",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.074037885223, 32.2714485477976),"2021-05-07 20:02:32 UTC",3737.81344643864
"1.8",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.07402938016, 32.2714324714755),"2021-05-07 19:59:32 UTC",3737.62491698725
"1.9",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.073880601965, 32.2712090998845),"2021-12-02 11:59:03 UTC",3731.50916021507
"1.10",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.073887577349, 32.2712176965958),"2021-01-14 02:44:10 UTC",3731.88800003588
"1.11",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.073974940114, 32.2713295684184),"2021-11-22 08:07:11 UTC",3736.46339919283
"1.12",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.073970641146, 32.2713221872482),"2021-11-22 08:07:11 UTC",3736.33544297837
"1.13",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.073849075545, 32.271103259992),"2021-11-18 18:15:22 UTC",3733.44493862873
"1.14",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.073839724698, 32.2710461456722),"2021-08-15 17:57:05 UTC",3735.44202867161
"1.15",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.073853681277, 32.2711515832375),"2021-05-14 22:55:10 UTC",3731.37188116595
"1.16",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.073792566929, 32.270927481313),"2021-07-12 10:59:21 UTC",3736.32183769371
"1.17",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.073781803904, 32.2708966986794),"2021-01-29 01:56:14 UTC",3736.74239752417
"1.18",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.073784328057, 32.2709039178486),"2021-01-29 01:51:14 UTC",3736.64319977154
"1.19",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.073811321885, 32.2709732951358),"2021-01-18 04:02:06 UTC",3736.03662641006
"1.20",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.073832976556, 32.2710202560117),"2021-04-30 08:30:06 UTC",3736.05175631351
