"","OBJECTID","STREET","ROADCAT_DS","SHIELD_NO","ShapeSTLen","id","area","geometry","Cross_Times","Passage_Distances"
"1",7208,"N AMBERBROOKE AV","Minor local road","0",1610.34590214103,"id",2.040521108e-06,c(-111.022857525909, 32.2367497781212),"2023-07-27 17:34:13 UTC",125.952232568688
"1.1",7208,"N AMBERBROOKE AV","Minor local road","0",1610.34590214103,"id",2.040521108e-06,c(-111.022770916221, 32.236835489519),"2023-10-08 20:26:09 UTC",136.227802150382
"1.2",7208,"N AMBERBROOKE AV","Minor local road","0",1610.34590214103,"id",2.040521108e-06,c(-111.022370142903, 32.237232103259),"2023-07-31 18:28:17 UTC",138.898257652256
"1.3",7208,"N AMBERBROOKE AV","Minor local road","0",1610.34590214103,"id",2.040521108e-06,c(-111.022009671589, 32.2375908757052),"2023-06-01 16:16:16 UTC",153.613178849179
"2",7228,"N ANDROS PL","Minor local road","0",331.104651268196,"id",2.040521108e-06,c(-111.036288944737, 32.2421636871756),"2023-09-20 16:51:20 UTC",2006.04956249427
"2.1",7228,"N ANDROS PL","Minor local road","0",331.104651268196,"id",2.040521108e-06,c(-111.036288690395, 32.2421478208998),"2023-12-25 04:46:11 UTC",2004.88613873032
"2.2",7228,"N ANDROS PL","Minor local road","0",331.104651268196,"id",2.040521108e-06,c(-111.036288868864, 32.2421589541166),"2023-12-25 04:46:11 UTC",2005.70226916008
"2.3",7228,"N ANDROS PL","Minor local road","0",331.104651268196,"id",2.040521108e-06,c(-111.036288363864, 32.2421272875669),"2023-05-22 20:48:15 UTC",2003.38410418865
"2.4",7228,"N ANDROS PL","Minor local road","0",331.104651268196,"id",2.040521108e-06,c(-111.036289249891, 32.2421019746186),"2022-12-06 13:18:16 UTC",2001.68480925561
"2.5",7228,"N ANDROS PL","Minor local road","0",331.104651268196,"id",2.040521108e-06,c(-111.036301011451, 32.2420099837038),"2022-12-29 17:47:11 UTC",1996.53890351594
"2.6",7228,"N ANDROS PL","Minor local road","0",331.104651268196,"id",2.040521108e-06,c(-111.036303663599, 32.2419980300792),"2023-06-15 05:47:23 UTC",1996.00543288527
"2.7",7228,"N ANDROS PL","Minor local road","0",331.104651268196,"id",2.040521108e-06,c(-111.036305575147, 32.2419894144485),"2023-03-21 10:40:25 UTC",1995.62190604034
"2.8",7228,"N ANDROS PL","Minor local road","0",331.104651268196,"id",2.040521108e-06,c(-111.036307427723, 32.2419810646125),"2023-03-21 10:39:25 UTC",1995.25099065574
"2.9",7228,"N ANDROS PL","Minor local road","0",331.104651268196,"id",2.040521108e-06,c(-111.036307272535, 32.241981764066),"2023-06-15 05:46:23 UTC",1995.28203223484
