"","OBJECTID","STREET","ROADCAT_DS","SHIELD_NO","ShapeSTLen","id","area","geometry","Cross_Times","Passage_Distances"
"1",7116,"N ACACIA CLIFFS CT","Minor local road","0",1272.33560954824,"id",2.040521108e-06,c(-111.065997573415, 32.2382351560774),"2022-04-02 16:39:10 UTC",785.062210299544
"1.1",7116,"N ACACIA CLIFFS CT","Minor local road","0",1272.33560954824,"id",2.040521108e-06,c(-111.066187313085, 32.238173852394),"2022-09-14 05:10:52 UTC",803.61261703705
"1.2",7116,"N ACACIA CLIFFS CT","Minor local road","0",1272.33560954824,"id",2.040521108e-06,c(-111.065282732569, 32.2384661129098),"2022-06-10 03:37:19 UTC",719.474616135845
"1.3",7116,"N ACACIA CLIFFS CT","Minor local road","0",1272.33560954824,"id",2.040521108e-06,c(-111.065119439435, 32.2385188703085),"2023-01-30 01:27:20 UTC",705.578543807634
"1.4",7116,"N ACACIA CLIFFS CT","Minor local road","0",1272.33560954824,"id",2.040521108e-06,c(-111.065066730297, 32.2385358997299),"2023-02-01 15:56:09 UTC",701.189333548282
"1.5",7116,"N ACACIA CLIFFS CT","Minor local road","0",1272.33560954824,"id",2.040521108e-06,c(-111.064807417194, 32.2386196789477),"2022-03-29 01:11:08 UTC",680.31959593765
"1.6",7116,"N ACACIA CLIFFS CT","Minor local road","0",1272.33560954824,"id",2.040521108e-06,c(-111.064713863515, 32.2386942339328),"2022-06-26 12:49:20 UTC",677.053588635464
"1.7",7116,"N ACACIA CLIFFS CT","Minor local road","0",1272.33560954824,"id",2.040521108e-06,c(-111.064726245704, 32.2388382499032),"2022-06-30 15:10:15 UTC",691.463257641991
"1.8",7116,"N ACACIA CLIFFS CT","Minor local road","0",1272.33560954824,"id",2.040521108e-06,c(-111.064727417135, 32.2388518746765),"2022-03-19 23:45:08 UTC",692.84698186586
"1.9",7116,"N ACACIA CLIFFS CT","Minor local road","0",1272.33560954824,"id",2.040521108e-06,c(-111.064736673818, 32.2389595378682),"2022-05-04 12:18:15 UTC",703.900968300777
"1.10",7116,"N ACACIA CLIFFS CT","Minor local road","0",1272.33560954824,"id",2.040521108e-06,c(-111.064742565595, 32.239028064186),"2022-04-15 11:48:10 UTC",711.044396358611
"1.11",7116,"N ACACIA CLIFFS CT","Minor local road","0",1272.33560954824,"id",2.040521108e-06,c(-111.064752264638, 32.2391408719697),"2022-07-11 12:19:16 UTC",722.978747934691
"1.12",7116,"N ACACIA CLIFFS CT","Minor local road","0",1272.33560954824,"id",2.040521108e-06,c(-111.064780781562, 32.2394725454294),"2022-10-03 06:35:22 UTC",759.236885583818
"1.13",7116,"N ACACIA CLIFFS CT","Minor local road","0",1272.33560954824,"id",2.040521108e-06,c(-111.064780303402, 32.2394669840893),"2022-10-03 06:35:22 UTC",758.615449194847
"1.14",7116,"N ACACIA CLIFFS CT","Minor local road","0",1272.33560954824,"id",2.040521108e-06,c(-111.064780365012, 32.2394677006546),"2022-10-03 06:35:22 UTC",758.695495212315
"1.15",7116,"N ACACIA CLIFFS CT","Minor local road","0",1272.33560954824,"id",2.040521108e-06,c(-111.064881285944, 32.2399170300026),"2022-05-15 13:34:14 UTC",815.815403230745
"1.16",7116,"N ACACIA CLIFFS CT","Minor local road","0",1272.33560954824,"id",2.040521108e-06,c(-111.064808699097, 32.239727169691),"2022-12-19 22:24:11 UTC",788.691983820247
"1.17",7116,"N ACACIA CLIFFS CT","Minor local road","0",1272.33560954824,"id",2.040521108e-06,c(-111.064805860885, 32.2397171617266),"2022-08-28 13:42:15 UTC",787.35929429533
"1.18",7116,"N ACACIA CLIFFS CT","Minor local road","0",1272.33560954824,"id",2.040521108e-06,c(-111.064992699432, 32.2401600376912),"2023-01-29 19:40:25 UTC",852.480876856512
"1.19",7116,"N ACACIA CLIFFS CT","Minor local road","0",1272.33560954824,"id",2.040521108e-06,c(-111.064994957064, 32.2401649618733),"2023-01-29 19:40:25 UTC",853.226596372397
