"","OBJECTID","STREET","ROADCAT_DS","SHIELD_NO","ShapeSTLen","id","area","geometry","Cross_Times","Passage_Distances"
"1",7208,"N AMBERBROOKE AV","Minor local road","0",1610.34590214103,"id",2.040521108e-06,c(-111.02300364079, 32.2365065074082),"2023-03-26 00:49:10 UTC",99.5144632860117
"1.1",7208,"N AMBERBROOKE AV","Minor local road","0",1610.34590214103,"id",2.040521108e-06,c(-111.022745702309, 32.236860441878),"2023-04-02 09:38:19 UTC",139.474958583261
"1.2",7208,"N AMBERBROOKE AV","Minor local road","0",1610.34590214103,"id",2.040521108e-06,c(-111.02244235471, 32.2371606412796),"2023-03-11 03:26:08 UTC",140.276455109371
"1.3",7208,"N AMBERBROOKE AV","Minor local road","0",1610.34590214103,"id",2.040521108e-06,c(-111.021130742184, 32.2401069152571),"2023-02-23 16:40:16 UTC",525.285982956857
"1.4",7208,"N AMBERBROOKE AV","Minor local road","0",1610.34590214103,"id",2.040521108e-06,c(-111.021131306647, 32.2400936566918),"2023-02-23 16:39:16 UTC",523.272220472223
"1.5",7208,"N AMBERBROOKE AV","Minor local road","0",1610.34590214103,"id",2.040521108e-06,c(-111.021135001476, 32.2403094946111),"2024-01-01 03:20:11 UTC",555.904705006807
"1.6",7208,"N AMBERBROOKE AV","Minor local road","0",1610.34590214103,"id",2.040521108e-06,c(-111.02114810785, 32.2403348693646),"2023-02-23 16:54:16 UTC",559.597931145043
"1.7",7208,"N AMBERBROOKE AV","Minor local road","0",1610.34590214103,"id",2.040521108e-06,c(-111.021162153458, 32.2390288674091),"2023-03-09 08:58:10 UTC",361.92045469782
"1.8",7208,"N AMBERBROOKE AV","Minor local road","0",1610.34590214103,"id",2.040521108e-06,c(-111.021150937345, 32.2396325517337),"2023-02-25 20:54:22 UTC",453.258346381897
"1.9",7208,"N AMBERBROOKE AV","Minor local road","0",1610.34590214103,"id",2.040521108e-06,c(-111.021287296472, 32.2386310081162),"2023-12-22 08:23:10 UTC",299.94795750086
"1.10",7208,"N AMBERBROOKE AV","Minor local road","0",1610.34590214103,"id",2.040521108e-06,c(-111.021562475551, 32.2381093672355),"2023-03-19 22:13:24 UTC",219.112509548945
