"","OBJECTID","STREET","ROADCAT_DS","SHIELD_NO","ShapeSTLen","id","area","geometry","Cross_Times","Passage_Distances"
"1",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.035696222914, 32.2707983296736),"2022-11-24 16:36:08 UTC",1911.80754263363
"2",12387,"N SILVERBELL LN","Minor local road","0",827.12269745374,"id",2.040521108e-06,c(-111.028753678372, 32.2681058423228),"2022-11-30 08:58:10 UTC",1362.98894622239
"3",19301,"W BOYER LN","Minor local road","0",1339.72323739339,"id",2.040521108e-06,c(-111.035960501936, 32.2760875082669),"2022-11-24 15:31:04 UTC",1416.70662217508
"4",22199,"W MAJESTIC PARK WY","Minor local road","0",549.376041565436,"id",2.040521108e-06,c(-111.020143575183, 32.2768335492781),"2022-11-27 19:01:10 UTC",659.735894602135
"4.1",22199,"W MAJESTIC PARK WY","Minor local road","0",549.376041565436,"id",2.040521108e-06,c(-111.020183552828, 32.2768410203949),"2022-11-27 05:02:25 UTC",660.724224059827
"5",22565,"W NEOSHA ST","Minor local road","0",2757.83443760715,"id",2.040521108e-06,c(-111.028576621393, 32.2688840028304),"2022-11-30 08:42:11 UTC",1424.09244328696
"5.1",22565,"W NEOSHA ST","Minor local road","0",2757.83443760715,"id",2.040521108e-06,c(-111.027081285638, 32.2689806290206),"2022-11-30 09:22:09 UTC",1302.1371638473
"6",23463,"W RIVER PARK DR","Minor local road","0",1789.13332976413,"id",2.040521108e-06,c(-111.018862485527, 32.2753742616967),"2022-11-28 07:39:17 UTC",834.39531569811
"6.1",23463,"W RIVER PARK DR","Minor local road","0",1789.13332976413,"id",2.040521108e-06,c(-111.018900844074, 32.2753811860922),"2022-11-27 05:58:18 UTC",833.909751727203
"6.2",23463,"W RIVER PARK DR","Minor local road","0",1789.13332976413,"id",2.040521108e-06,c(-111.020084073713, 32.275594773731),"2022-11-26 09:57:11 UTC",834.03481310798
"6.3",23463,"W RIVER PARK DR","Minor local road","0",1789.13332976413,"id",2.040521108e-06,c(-111.020197067374, 32.2756151698598),"2022-11-25 06:28:15 UTC",835.575908739241
"6.4",23463,"W RIVER PARK DR","Minor local road","0",1789.13332976413,"id",2.040521108e-06,c(-111.020292796583, 32.2756324495511),"2022-11-27 19:43:10 UTC",837.087379880484
"6.5",23463,"W RIVER PARK DR","Minor local road","0",1789.13332976413,"id",2.040521108e-06,c(-111.020363419212, 32.275645197305),"2022-11-28 09:43:18 UTC",838.322843164727
"7",24210,"W SWEETWATER DR","Minor local road","0",2747.77673953119,"id",2.040521108e-06,c(-111.022692306247, 32.2798196059033),"2022-12-06 04:43:12 UTC",571.008202499889
"7.1",24210,"W SWEETWATER DR","Minor local road","0",2747.77673953119,"id",2.040521108e-06,c(-111.022653282672, 32.2798202729181),"2022-12-06 04:51:12 UTC",566.572671713512
"7.2",24210,"W SWEETWATER DR","Minor local road","0",2747.77673953119,"id",2.040521108e-06,c(-111.022600926269, 32.2798211678069),"2022-12-05 16:49:26 UTC",560.637744760188
"7.3",24210,"W SWEETWATER DR","Minor local road","0",2747.77673953119,"id",2.040521108e-06,c(-111.024878205202, 32.2797822240037),"2022-11-22 12:47:23 UTC",830.550366395855
"7.4",24210,"W SWEETWATER DR","Minor local road","0",2747.77673953119,"id",2.040521108e-06,c(-111.024814745734, 32.2797833097796),"2022-12-03 19:58:17 UTC",822.80419745027
"7.5",24210,"W SWEETWATER DR","Minor local road","0",2747.77673953119,"id",2.040521108e-06,c(-111.025099360152, 32.2797784398485),"2022-11-24 11:10:13 UTC",857.610929388001
"7.6",24210,"W SWEETWATER DR","Minor local road","0",2747.77673953119,"id",2.040521108e-06,c(-111.024489636394, 32.2797888718225),"2022-12-01 04:29:13 UTC",783.263342944055
"7.7",24210,"W SWEETWATER DR","Minor local road","0",2747.77673953119,"id",2.040521108e-06,c(-111.024513405895, 32.2797884651969),"2022-12-07 13:58:20 UTC",786.14566725979
"7.8",24210,"W SWEETWATER DR","Minor local road","0",2747.77673953119,"id",2.040521108e-06,c(-111.024709070746, 32.2797851177823),"2022-11-24 00:40:21 UTC",809.924639194234
