"","OBJECTID","STREET","ROADCAT_DS","SHIELD_NO","ShapeSTLen","id","area","geometry","Cross_Times","Passage_Distances"
"1",7646,"N BLUE BONNET RD","Minor local road","0",2136.46248127997,"id",2.040521108e-06,c(-111.079691720458, 32.2689516994569),"2020-12-18 03:55:08 UTC",4554.82382160505
"2",9823,"N HIGHTON HILLS DR","Minor local road","0",1081.40114423667,"id",2.040521108e-06,c(-111.072712449744, 32.2539540407921),"2020-12-31 01:11:06 UTC",3144.27442954741
"2.1",9823,"N HIGHTON HILLS DR","Minor local road","0",1081.40114423667,"id",2.040521108e-06,c(-111.072687296422, 32.2538673035464),"2020-12-31 04:45:06 UTC",3131.2484727487
"2.2",9823,"N HIGHTON HILLS DR","Minor local road","0",1081.40114423667,"id",2.040521108e-06,c(-111.072651296976, 32.2536695242853),"2020-12-29 17:53:54 UTC",3102.95999199591
"2.3",9823,"N HIGHTON HILLS DR","Minor local road","0",1081.40114423667,"id",2.040521108e-06,c(-111.072342991947, 32.2553482978427),"2021-01-01 02:23:06 UTC",3306.80124902661
"2.4",9823,"N HIGHTON HILLS DR","Minor local road","0",1081.40114423667,"id",2.040521108e-06,c(-111.072677739339, 32.2549277948152),"2020-12-31 00:05:06 UTC",3270.90077613575
"2.5",9823,"N HIGHTON HILLS DR","Minor local road","0",1081.40114423667,"id",2.040521108e-06,c(-111.072622987168, 32.2549940918839),"2020-12-31 06:04:06 UTC",3276.34425452599
"2.6",9823,"N HIGHTON HILLS DR","Minor local road","0",1081.40114423667,"id",2.040521108e-06,c(-111.072865824201, 32.2544672364585),"2020-12-29 03:52:07 UTC",3221.72885658689
"3",12412,"N SIX BAR SPUR","Minor local road","0",1193.65633705724,"id",2.040521108e-06,c(-111.071241069962, 32.2671311197313),"2021-01-10 12:54:10 UTC",3699.58600613326
"4",12694,"N SUNDANCE TR","Minor local road","0",1612.86704487726,"id",2.040521108e-06,c(-111.067299109422, 32.2573111983504),"2021-01-05 11:51:11 UTC",3346.833746031
"4.1",12694,"N SUNDANCE TR","Minor local road","0",1612.86704487726,"id",2.040521108e-06,c(-111.065175406186, 32.2554356546832),"2020-12-29 08:40:08 UTC",3005.7141279727
"5",20266,"W CHAOS CANYON LN","Minor local road","0",2112.25624933086,"id",2.040521108e-06,c(-111.07737014655, 32.2590591935749),"2020-12-30 00:15:04 UTC",4119.20544700855
"5.1",20266,"W CHAOS CANYON LN","Minor local road","0",2112.25624933086,"id",2.040521108e-06,c(-111.077495750746, 32.2589251338063),"2021-01-05 00:29:09 UTC",4110.58538321625
"5.2",20266,"W CHAOS CANYON LN","Minor local road","0",2112.25624933086,"id",2.040521108e-06,c(-111.082371294417, 32.2578923505174),"2020-12-22 15:14:17 UTC",4358.20820282097
"6",20562,"W CRESTVIEW CI","Minor local road","0",3790.64883615112,"id",2.040521108e-06,c(-111.063408657352, 32.2524881631159),"2020-12-29 13:28:05 UTC",2524.4908629351
"6.1",20562,"W CRESTVIEW CI","Minor local road","0",3790.64883615112,"id",2.040521108e-06,c(-111.063482980281, 32.255076983615),"2020-12-29 09:46:09 UTC",2915.35283497638
"6.2",20562,"W CRESTVIEW CI","Minor local road","0",3790.64883615112,"id",2.040521108e-06,c(-111.066088454322, 32.2518453490719),"2020-12-29 14:26:55 UTC",2505.2350242301
"6.3",20562,"W CRESTVIEW CI","Minor local road","0",3790.64883615112,"id",2.040521108e-06,c(-111.065701072494, 32.2522737392943),"2021-01-02 17:44:18 UTC",2553.97552607127
"6.4",20562,"W CRESTVIEW CI","Minor local road","0",3790.64883615112,"id",2.040521108e-06,c(-111.065610349044, 32.2524874672131),"2021-01-02 15:52:18 UTC",2582.29021374916
"7",20563,"W CRESTVIEW DR","Minor local road","0",6810.04580852465,"id",2.040521108e-06,c(-111.067278150842, 32.2540190567576),"2021-01-02 19:45:17 UTC",2866.34504300519
"7.1",20563,"W CRESTVIEW DR","Minor local road","0",6810.04580852465,"id",2.040521108e-06,c(-111.066778142555, 32.2544548949637),"2021-01-02 13:46:17 UTC",2910.77715430799
"7.2",20563,"W CRESTVIEW DR","Minor local road","0",6810.04580852465,"id",2.040521108e-06,c(-111.075654916668, 32.2549367657302),"2020-12-28 22:51:09 UTC",3473.53901739809
"7.3",20563,"W CRESTVIEW DR","Minor local road","0",6810.04580852465,"id",2.040521108e-06,c(-111.074058797575, 32.2556426978914),"2021-01-06 19:09:08 UTC",3453.55032015567
"7.4",20563,"W CRESTVIEW DR","Minor local road","0",6810.04580852465,"id",2.040521108e-06,c(-111.074326880782, 32.2555524625461),"2020-12-29 19:41:57 UTC",3459.50859227541
"7.5",20563,"W CRESTVIEW DR","Minor local road","0",6810.04580852465,"id",2.040521108e-06,c(-111.072129934222, 32.2559008660869),"2021-01-06 22:52:08 UTC",3369.06602775429
"7.6",20563,"W CRESTVIEW DR","Minor local road","0",6810.04580852465,"id",2.040521108e-06,c(-111.071525983033, 32.2552453868635),"2021-01-01 04:45:07 UTC",3245.21838007242
"7.7",20563,"W CRESTVIEW DR","Minor local road","0",6810.04580852465,"id",2.040521108e-06,c(-111.071188501215, 32.254986259222),"2020-12-29 05:01:08 UTC",3190.77005964863
"7.8",20563,"W CRESTVIEW DR","Minor local road","0",6810.04580852465,"id",2.040521108e-06,c(-111.072057986246, 32.2571510272215),"2021-01-05 03:36:11 UTC",3536.12760587058
"7.9",20563,"W CRESTVIEW DR","Minor local road","0",6810.04580852465,"id",2.040521108e-06,c(-111.072641020651, 32.2573947080839),"2021-01-05 03:14:11 UTC",3601.89477944398
"7.10",20563,"W CRESTVIEW DR","Minor local road","0",6810.04580852465,"id",2.040521108e-06,c(-111.072614723961, 32.257398945937),"2020-12-30 21:22:06 UTC",3600.9956209278
"7.11",20563,"W CRESTVIEW DR","Minor local road","0",6810.04580852465,"id",2.040521108e-06,c(-111.072535296709, 32.2574117460304),"2020-12-31 23:19:06 UTC",3598.29857192632
"7.12",20563,"W CRESTVIEW DR","Minor local road","0",6810.04580852465,"id",2.040521108e-06,c(-111.072492882326, 32.2574082913074),"2020-12-31 08:51:06 UTC",3595.4592371451
"8",21488,"W HIGHTON HILLS PL","Minor local road","0",1148.81661927419,"id",2.040521108e-06,c(-111.072737343667, 32.2532460888794),"2020-12-31 02:17:06 UTC",3053.39936404081
"8.1",21488,"W HIGHTON HILLS PL","Minor local road","0",1148.81661927419,"id",2.040521108e-06,c(-111.072725476517, 32.2532492439542),"2020-12-31 03:45:06 UTC",3053.01536351919
"9",21781,"W JOJOBA DR","Minor local road","0",2431.76850724225,"id",2.040521108e-06,c(-111.06980003329, 32.2605795300522),"2021-01-02 06:14:14 UTC",3915.11279436116
"9.1",21781,"W JOJOBA DR","Minor local road","0",2431.76850724225,"id",2.040521108e-06,c(-111.067880640246, 32.261432288578),"2021-01-10 19:15:17 UTC",3906.2748782252
"9.2",21781,"W JOJOBA DR","Minor local road","0",2431.76850724225,"id",2.040521108e-06,c(-111.068366389947, 32.2611722490944),"2021-01-05 17:05:06 UTC",3949.20538324225
"9.3",21781,"W JOJOBA DR","Minor local road","0",2431.76850724225,"id",2.040521108e-06,c(-111.067484743955, 32.2615135235851),"2021-01-07 03:15:08 UTC",3861.98229449395
"9.4",21781,"W JOJOBA DR","Minor local road","0",2431.76850724225,"id",2.040521108e-06,c(-111.065766343364, 32.2612374324665),"2021-01-01 10:38:07 UTC",3744.16794462208
"10",21829,"W KAY T DR","Minor local road","0",2972.21816387904,"id",2.040521108e-06,c(-111.069322768493, 32.2685638005704),"2020-12-18 19:46:17 UTC",3374.96343230492
"10.1",21829,"W KAY T DR","Minor local road","0",2972.21816387904,"id",2.040521108e-06,c(-111.064126180394, 32.2671348353822),"2021-01-07 12:42:07 UTC",2957.17857182273
"10.2",21829,"W KAY T DR","Minor local road","0",2972.21816387904,"id",2.040521108e-06,c(-111.068347170519, 32.2677091098758),"2020-12-18 18:41:17 UTC",3337.75791593619
