"","OBJECTID","STREET","ROADCAT_DS","SHIELD_NO","ShapeSTLen","id","area","geometry","Cross_Times","Passage_Distances"
"1",7111,"N ABINGTON RD","Minor local road","0",3024.68547339292,"id",2.040521108e-06,c(-111.08265399055, 32.3295683062262),"2023-12-17 17:12:09 UTC",302.026761789678
"2",7568,"N BELLWETHER DR","Minor local road","0",868.573012918822,"id",2.040521108e-06,c(-111.104829808143, 32.34750306344),"2024-02-13 11:18:17 UTC",478.682531331491
"3",7620,"N BLACK PINE DR","Minor local road","0",449.679034752164,"id",2.040521108e-06,c(-111.099668025885, 32.365529114357),"2024-03-23 11:55:12 UTC",1602.29416895074
"3.1",7620,"N BLACK PINE DR","Minor local road","0",449.679034752164,"id",2.040521108e-06,c(-111.099674577181, 32.3655248679897),"2024-03-23 11:55:12 UTC",1602.55209976717
"3.2",7620,"N BLACK PINE DR","Minor local road","0",449.679034752164,"id",2.040521108e-06,c(-111.099412582997, 32.3656946847555),"2024-04-20 14:43:17 UTC",1592.75650684856
"3.3",7620,"N BLACK PINE DR","Minor local road","0",449.679034752164,"id",2.040521108e-06,c(-111.099312824156, 32.3657593451319),"2023-12-26 12:39:16 UTC",1589.3090408903
"3.4",7620,"N BLACK PINE DR","Minor local road","0",449.679034752164,"id",2.040521108e-06,c(-111.099986135771, 32.365322923527),"2024-02-25 10:16:13 UTC",1615.57680291604
"3.5",7620,"N BLACK PINE DR","Minor local road","0",449.679034752164,"id",2.040521108e-06,c(-111.100138243153, 32.365175610966),"2023-12-30 15:52:18 UTC",1618.13653430058
"4",7721,"N BRADSTREET DR","Minor local road","0",998.058353989142,"id",2.040521108e-06,c(-111.095439264862, 32.342411416415),"2023-12-26 19:07:24 UTC",1319.37003867789
"5",7807,"N BUSINESS PARK DR","Minor local road","0",4148.24859453544,"id",2.040521108e-06,c(-111.082522425051, 32.3480222891568),"2024-01-15 15:19:14 UTC",649.306825038298
"5.1",7807,"N BUSINESS PARK DR","Minor local road","0",4148.24859453544,"id",2.040521108e-06,c(-111.082025912254, 32.3476145352288),"2024-01-18 15:58:15 UTC",699.920419864904
"5.2",7807,"N BUSINESS PARK DR","Minor local road","0",4148.24859453544,"id",2.040521108e-06,c(-111.07914118802, 32.3454819862832),"2023-12-29 13:31:13 UTC",1061.02066973744
"5.3",7807,"N BUSINESS PARK DR","Minor local road","0",4148.24859453544,"id",2.040521108e-06,c(-111.079995227436, 32.3454825929983),"2024-02-15 16:42:21 UTC",1035.80685922682
"5.4",7807,"N BUSINESS PARK DR","Minor local road","0",4148.24859453544,"id",2.040521108e-06,c(-111.07991384832, 32.3454825354341),"2024-02-15 19:07:15 UTC",1037.73277184616
"5.5",7807,"N BUSINESS PARK DR","Minor local road","0",4148.24859453544,"id",2.040521108e-06,c(-111.079776425963, 32.3454824381086),"2024-02-05 13:30:17 UTC",1041.21674085155
"5.6",7807,"N BUSINESS PARK DR","Minor local road","0",4148.24859453544,"id",2.040521108e-06,c(-111.081283753194, 32.346305401993),"2024-02-05 13:45:18 UTC",894.552500688264
"5.7",7807,"N BUSINESS PARK DR","Minor local road","0",4148.24859453544,"id",2.040521108e-06,c(-111.081313044294, 32.3464194867037),"2024-02-15 19:16:16 UTC",877.166542450821
"5.8",7807,"N BUSINESS PARK DR","Minor local road","0",4148.24859453544,"id",2.040521108e-06,c(-111.081307017607, 32.3463960136303),"2024-02-15 16:20:21 UTC",880.742616011317
"5.9",7807,"N BUSINESS PARK DR","Minor local road","0",4148.24859453544,"id",2.040521108e-06,c(-111.081477828492, 32.3469138367722),"2023-12-31 17:04:13 UTC",802.028558748504
"5.10",7807,"N BUSINESS PARK DR","Minor local road","0",4148.24859453544,"id",2.040521108e-06,c(-111.081504390504, 32.3469950306693),"2023-12-29 12:58:14 UTC",789.739776007722
"6",8388,"N CAREFREE WY","Minor local road","0",253.486558094031,"id",2.040521108e-06,c(-111.106235697865, 32.351581529673),"2024-02-13 11:51:17 UTC",126.850392282185
"7",8389,"N CAREFREE WY","Minor local road","0",860.902894976944,"id",2.040521108e-06,c(-111.104485238895, 32.3552979411173),"2024-03-11 05:07:19 UTC",613.026492451786
"8",8605,"N CLEMENS WY","Minor local road","0",823.378709950652,"id",2.040521108e-06,c(-111.094654347153, 32.3420792727657),"2023-12-26 19:15:22 UTC",1417.64763076448
"9",8678,"N CONTINENTAL LINKS DR","Minor local road","0",2735.30272158834,"id",2.040521108e-06,c(-111.099706533184, 32.3628047227383),"2024-03-15 11:33:16 UTC",1387.21886580056
"9.1",8678,"N CONTINENTAL LINKS DR","Minor local road","0",2735.30272158834,"id",2.040521108e-06,c(-111.099194124303, 32.3619395425901),"2024-03-26 16:30:11 UTC",1275.20156301536
"9.2",8678,"N CONTINENTAL LINKS DR","Minor local road","0",2735.30272158834,"id",2.040521108e-06,c(-111.099311697678, 32.3623896002108),"2024-04-25 12:46:09 UTC",1314.99713786294
"9.3",8678,"N CONTINENTAL LINKS DR","Minor local road","0",2735.30272158834,"id",2.040521108e-06,c(-111.098890270444, 32.3606717289359),"2024-02-21 15:10:18 UTC",1181.73497357331
"9.4",8678,"N CONTINENTAL LINKS DR","Minor local road","0",2735.30272158834,"id",2.040521108e-06,c(-111.099234663868, 32.3617496660954),"2023-12-08 15:56:20 UTC",1270.13376150767
"9.5",8678,"N CONTINENTAL LINKS DR","Minor local road","0",2735.30272158834,"id",2.040521108e-06,c(-111.099228637334, 32.3617701438125),"2024-03-19 11:37:13 UTC",1270.44822104965
"9.6",8678,"N CONTINENTAL LINKS DR","Minor local road","0",2735.30272158834,"id",2.040521108e-06,c(-111.099241936821, 32.3617292384929),"2023-12-08 15:56:20 UTC",1269.98122648606
"9.7",8678,"N CONTINENTAL LINKS DR","Minor local road","0",2735.30272158834,"id",2.040521108e-06,c(-111.099281495992, 32.3616387446228),"2024-04-25 12:37:09 UTC",1270.29974065156
"9.8",8678,"N CONTINENTAL LINKS DR","Minor local road","0",2735.30272158834,"id",2.040521108e-06,c(-111.09930861324, 32.3615767122508),"2024-04-07 18:01:17 UTC",1270.61559988714
"9.9",8678,"N CONTINENTAL LINKS DR","Minor local road","0",2735.30272158834,"id",2.040521108e-06,c(-111.099338584399, 32.361439060336),"2024-04-01 16:46:17 UTC",1267.88621349671
"9.10",8678,"N CONTINENTAL LINKS DR","Minor local road","0",2735.30272158834,"id",2.040521108e-06,c(-111.099287978615, 32.361134039751),"2024-04-01 16:54:18 UTC",1248.55585315724
"9.11",8678,"N CONTINENTAL LINKS DR","Minor local road","0",2735.30272158834,"id",2.040521108e-06,c(-111.099250890148, 32.3610686510094),"2024-04-01 16:56:18 UTC",1241.33723858581
"9.12",8678,"N CONTINENTAL LINKS DR","Minor local road","0",2735.30272158834,"id",2.040521108e-06,c(-111.099226433875, 32.3610271066743),"2024-04-01 16:58:18 UTC",1236.6688719092
"9.13",8678,"N CONTINENTAL LINKS DR","Minor local road","0",2735.30272158834,"id",2.040521108e-06,c(-111.099013348383, 32.3607849543859),"2024-02-21 15:09:18 UTC",1201.07852761717
"9.14",8678,"N CONTINENTAL LINKS DR","Minor local road","0",2735.30272158834,"id",2.040521108e-06,c(-111.098974522625, 32.3607446447892),"2024-04-14 19:48:17 UTC",1194.80133521123
"9.15",8678,"N CONTINENTAL LINKS DR","Minor local road","0",2735.30272158834,"id",2.040521108e-06,c(-111.098731342191, 32.3605446638858),"2024-02-21 15:11:18 UTC",1157.58343372655
"9.16",8678,"N CONTINENTAL LINKS DR","Minor local road","0",2735.30272158834,"id",2.040521108e-06,c(-111.098232340433, 32.3602496291795),"2024-03-23 13:49:11 UTC",1085.76562730965
"9.17",8678,"N CONTINENTAL LINKS DR","Minor local road","0",2735.30272158834,"id",2.040521108e-06,c(-111.097331746671, 32.3594780960815),"2024-02-22 14:48:11 UTC",954.972094076909
"9.18",8678,"N CONTINENTAL LINKS DR","Minor local road","0",2735.30272158834,"id",2.040521108e-06,c(-111.097457414141, 32.3595933368521),"2023-12-08 16:49:20 UTC",972.718163053376
"9.19",8678,"N CONTINENTAL LINKS DR","Minor local road","0",2735.30272158834,"id",2.040521108e-06,c(-111.09789316708, 32.3599929318889),"2024-03-05 18:32:14 UTC",1036.1450585956
"9.20",8678,"N CONTINENTAL LINKS DR","Minor local road","0",2735.30272158834,"id",2.040521108e-06,c(-111.097782848806, 32.3598917680788),"2024-04-18 17:19:11 UTC",1019.82754649455
"9.21",8678,"N CONTINENTAL LINKS DR","Minor local road","0",2735.30272158834,"id",2.040521108e-06,c(-111.097617788588, 32.3597404043354),"2024-03-05 16:29:10 UTC",995.734328897004
"9.22",8678,"N CONTINENTAL LINKS DR","Minor local road","0",2735.30272158834,"id",2.040521108e-06,c(-111.096660843446, 32.3589569597226),"2024-05-01 15:27:10 UTC",865.106188484877
"9.23",8678,"N CONTINENTAL LINKS DR","Minor local road","0",2735.30272158834,"id",2.040521108e-06,c(-111.09668090979, 32.3589691802992),"2024-03-19 14:08:11 UTC",867.697225380661
