"","OBJECTID","STREET","ROADCAT_DS","SHIELD_NO","ShapeSTLen","id","area","geometry","Cross_Times","Passage_Distances"
"1",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.034894815409, 32.2715146346197),"2023-07-16 09:39:13 UTC",1911.7543735163
"1.1",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.034927138782, 32.2714998754174),"2023-02-13 11:53:08 UTC",1910.1055819362
"1.2",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.034954511709, 32.2714880758363),"2023-03-04 08:06:05 UTC",1908.64688625003
"1.3",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.034985444033, 32.2714755117514),"2023-07-23 02:05:12 UTC",1906.92926425905
"1.4",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.034978925866, 32.2714780986164),"2023-07-23 02:05:12 UTC",1907.2966124972
"1.5",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.035094914537, 32.2714356029944),"2023-03-10 17:25:07 UTC",1900.4565224541
"1.6",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.035173711059, 32.2714113479001),"2022-12-23 17:28:05 UTC",1895.40277576363
"1.7",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.035231520998, 32.2713926969041),"2023-06-19 16:53:10 UTC",1891.81389718397
"1.8",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.035262594458, 32.2713800255746),"2023-05-08 20:19:12 UTC",1890.16887434274
"1.9",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.03535739745, 32.2713281547861),"2023-03-10 17:30:07 UTC",1886.57914714583
"1.10",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.035522671415, 32.2711503506456),"2023-03-05 16:33:08 UTC",1889.80921167363
"1.11",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.03555866147, 32.2710784652501),"2023-03-01 10:11:08 UTC",1894.12730124789
"1.12",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.036050290716, 32.2701233383143),"2023-03-06 03:10:07 UTC",1956.29859034935
"1.13",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.036057038917, 32.2701108288453),"2023-03-06 03:09:07 UTC",1957.15860563241
"1.14",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.03607609712, 32.2700754997047),"2022-10-05 17:07:53 UTC",1959.59746917996
"1.15",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.035917071809, 32.2703702919126),"2023-06-08 01:44:04 UTC",1939.70437873797
"1.16",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.035897433574, 32.2704066960248),"2023-05-14 08:04:10 UTC",1937.32057432402
"1.17",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.035873451865, 32.2704511517502),"2023-05-14 08:05:10 UTC",1934.43152280309
"1.18",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.035869763058, 32.2704579898147),"2023-06-30 09:21:08 UTC",1933.98928804514
"1.19",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.035837399937, 32.2705179823682),"2023-02-17 14:50:09 UTC",1930.13410602818
"1.20",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.035833816978, 32.2705246242076),"2023-02-17 14:50:09 UTC",1929.7100264645
