"","OBJECTID","STREET","ROADCAT_DS","SHIELD_NO","ShapeSTLen","id","area","geometry","Cross_Times","Passage_Distances"
"1",13914,"S ANTELOPE MEADOWS LP","Minor local road","0",121.923608641382,"id",2.040521108e-06,c(-111.035386183694, 32.2078178024717),"2023-03-04 21:11:04 UTC",1190.48027264378
"1.1",13914,"S ANTELOPE MEADOWS LP","Minor local road","0",121.923608641382,"id",2.040521108e-06,c(-111.03550798898, 32.2077801508795),"2023-04-19 17:29:09 UTC",1180.61542052849
"1.2",13914,"S ANTELOPE MEADOWS LP","Minor local road","0",121.923608641382,"id",2.040521108e-06,c(-111.035512106631, 32.2077789302269),"2023-04-19 17:29:09 UTC",1180.28018197101
"1.3",13914,"S ANTELOPE MEADOWS LP","Minor local road","0",121.923608641382,"id",2.040521108e-06,c(-111.03552844656, 32.207775857805),"2023-11-06 21:22:09 UTC",1178.79940301256
"1.4",13914,"S ANTELOPE MEADOWS LP","Minor local road","0",121.923608641382,"id",2.040521108e-06,c(-111.035585416931, 32.2077669016047),"2023-04-29 10:16:10 UTC",1173.50130028537
"2",13915,"S ANTELOPE MEADOWS LP","Minor local road","0",101.082129912111,"id",2.040521108e-06,c(-111.035042873956, 32.2079699940767),"2023-12-13 05:22:11 UTC",1215.41227114662
"3",13916,"S ANTELOPE MEADOWS LP","Minor local road","0",229.088841006824,"id",2.040521108e-06,c(-111.035962814769, 32.2080361899525),"2023-10-04 08:47:16 UTC",1110.08712644883
"3.1",13916,"S ANTELOPE MEADOWS LP","Minor local road","0",229.088841006824,"id",2.040521108e-06,c(-111.035748595591, 32.2080545912784),"2023-10-02 08:34:10 UTC",1131.52323529433
"3.2",13916,"S ANTELOPE MEADOWS LP","Minor local road","0",229.088841006824,"id",2.040521108e-06,c(-111.035744064697, 32.2080528275569),"2023-10-02 08:34:10 UTC",1132.15996511916
"3.3",13916,"S ANTELOPE MEADOWS LP","Minor local road","0",229.088841006824,"id",2.040521108e-06,c(-111.035732624876, 32.2080483744269),"2023-10-04 08:39:16 UTC",1133.76764994151
"3.4",13916,"S ANTELOPE MEADOWS LP","Minor local road","0",229.088841006824,"id",2.040521108e-06,c(-111.035925795469, 32.2080461175283),"2023-10-02 08:40:10 UTC",1113.19507886842
"3.5",13916,"S ANTELOPE MEADOWS LP","Minor local road","0",229.088841006824,"id",2.040521108e-06,c(-111.03540399723, 32.2079095778754),"2023-12-13 05:04:12 UTC",1180.87669686381
"4",14043,"S AVENIDA DEL CARDENAL ROJO","Minor local road","0",946.942567222709,"id",2.040521108e-06,c(-111.04498567319, 32.209492615829),"2024-01-22 20:00:14 UTC",475.58321766887
"4.1",14043,"S AVENIDA DEL CARDENAL ROJO","Minor local road","0",946.942567222709,"id",2.040521108e-06,c(-111.044981514856, 32.2094873060977),"2024-01-22 20:00:14 UTC",475.988478017876
"4.2",14043,"S AVENIDA DEL CARDENAL ROJO","Minor local road","0",946.942567222709,"id",2.040521108e-06,c(-111.044979152702, 32.2094842898887),"2024-01-22 20:00:14 UTC",476.219413884303
"4.3",14043,"S AVENIDA DEL CARDENAL ROJO","Minor local road","0",946.942567222709,"id",2.040521108e-06,c(-111.044944000089, 32.2094394038664),"2023-06-12 13:46:14 UTC",479.717779611243
"4.4",14043,"S AVENIDA DEL CARDENAL ROJO","Minor local road","0",946.942567222709,"id",2.040521108e-06,c(-111.044830783903, 32.2092066636771),"2023-04-07 09:23:09 UTC",503.638285950914
"4.5",14043,"S AVENIDA DEL CARDENAL ROJO","Minor local road","0",946.942567222709,"id",2.040521108e-06,c(-111.044822978278, 32.2091565619703),"2023-07-04 09:50:10 UTC",509.975335508436
"4.6",14043,"S AVENIDA DEL CARDENAL ROJO","Minor local road","0",946.942567222709,"id",2.040521108e-06,c(-111.044824472662, 32.2091661539271),"2024-01-22 17:25:12 UTC",508.759231959562
"4.7",14043,"S AVENIDA DEL CARDENAL ROJO","Minor local road","0",946.942567222709,"id",2.040521108e-06,c(-111.044822117822, 32.2091405943744),"2023-07-04 09:50:10 UTC",512.09669257265
"4.8",14043,"S AVENIDA DEL CARDENAL ROJO","Minor local road","0",946.942567222709,"id",2.040521108e-06,c(-111.044820886857, 32.2091069369351),"2023-06-15 13:16:15 UTC",516.610484843641
"4.9",14043,"S AVENIDA DEL CARDENAL ROJO","Minor local road","0",946.942567222709,"id",2.040521108e-06,c(-111.044820333031, 32.2090917940088),"2023-02-06 19:51:13 UTC",518.644978464962
"4.10",14043,"S AVENIDA DEL CARDENAL ROJO","Minor local road","0",946.942567222709,"id",2.040521108e-06,c(-111.044823629401, 32.2090457852814),"2023-11-12 12:12:09 UTC",525.120421088111
"4.11",14043,"S AVENIDA DEL CARDENAL ROJO","Minor local road","0",946.942567222709,"id",2.040521108e-06,c(-111.04483070503, 32.2089920778989),"2023-02-12 16:01:09 UTC",532.876409759982
"4.12",14043,"S AVENIDA DEL CARDENAL ROJO","Minor local road","0",946.942567222709,"id",2.040521108e-06,c(-111.044830990597, 32.2089899103107),"2023-02-12 16:01:09 UTC",533.189726444841
"4.13",14043,"S AVENIDA DEL CARDENAL ROJO","Minor local road","0",946.942567222709,"id",2.040521108e-06,c(-111.044834630869, 32.208962278887),"2023-02-14 01:59:20 UTC",537.185678139729
"4.14",14043,"S AVENIDA DEL CARDENAL ROJO","Minor local road","0",946.942567222709,"id",2.040521108e-06,c(-111.044846475005, 32.2088723760757),"2023-12-02 09:00:53 UTC",550.211118957118
"4.15",14043,"S AVENIDA DEL CARDENAL ROJO","Minor local road","0",946.942567222709,"id",2.040521108e-06,c(-111.044828889993, 32.2090058548933),"2023-02-22 00:11:24 UTC",530.885519410553
"4.16",14043,"S AVENIDA DEL CARDENAL ROJO","Minor local road","0",946.942567222709,"id",2.040521108e-06,c(-111.044828746837, 32.2090069415173),"2023-02-22 00:07:24 UTC",530.728531766972
"4.17",14043,"S AVENIDA DEL CARDENAL ROJO","Minor local road","0",946.942567222709,"id",2.040521108e-06,c(-111.044828703994, 32.2090072667141),"2023-02-22 00:07:24 UTC",530.681550761263
"4.18",14043,"S AVENIDA DEL CARDENAL ROJO","Minor local road","0",946.942567222709,"id",2.040521108e-06,c(-111.04482802684, 32.2090124066415),"2023-02-14 00:12:22 UTC",529.939055740396
"4.19",14043,"S AVENIDA DEL CARDENAL ROJO","Minor local road","0",946.942567222709,"id",2.040521108e-06,c(-111.044825215959, 32.2090337425562),"2023-07-04 14:22:09 UTC",526.858314655135
"4.20",14043,"S AVENIDA DEL CARDENAL ROJO","Minor local road","0",946.942567222709,"id",2.040521108e-06,c(-111.044824911275, 32.2090360552521),"2023-07-04 14:22:09 UTC",526.524512617489
"4.21",14043,"S AVENIDA DEL CARDENAL ROJO","Minor local road","0",946.942567222709,"id",2.040521108e-06,c(-111.044836229641, 32.209241618024),"2023-11-28 22:15:12 UTC",499.239566315867
"4.22",14043,"S AVENIDA DEL CARDENAL ROJO","Minor local road","0",946.942567222709,"id",2.040521108e-06,c(-111.044840093825, 32.2092664208905),"2023-09-20 17:43:11 UTC",496.129824308523
"4.23",14043,"S AVENIDA DEL CARDENAL ROJO","Minor local road","0",946.942567222709,"id",2.040521108e-06,c(-111.044842776591, 32.2092836406398),"2023-09-20 17:43:11 UTC",493.976563488419
"4.24",14043,"S AVENIDA DEL CARDENAL ROJO","Minor local road","0",946.942567222709,"id",2.040521108e-06,c(-111.044867848046, 32.2093254589033),"2023-07-25 15:51:09 UTC",489.912064408166
"4.25",14043,"S AVENIDA DEL CARDENAL ROJO","Minor local road","0",946.942567222709,"id",2.040521108e-06,c(-111.045068676269, 32.2096509394464),"2023-12-04 14:10:13 UTC",461.25342686859
"4.26",14043,"S AVENIDA DEL CARDENAL ROJO","Minor local road","0",946.942567222709,"id",2.040521108e-06,c(-111.045051729122, 32.2095902184016),"2023-07-24 16:33:09 UTC",467.686162484585
"4.27",14043,"S AVENIDA DEL CARDENAL ROJO","Minor local road","0",946.942567222709,"id",2.040521108e-06,c(-111.045031588293, 32.2095560238607),"2024-01-19 12:26:12 UTC",470.607870794531
"4.28",14043,"S AVENIDA DEL CARDENAL ROJO","Minor local road","0",946.942567222709,"id",2.040521108e-06,c(-111.045034803003, 32.2095614817076),"2024-01-19 12:26:12 UTC",470.137925005531
"4.29",14043,"S AVENIDA DEL CARDENAL ROJO","Minor local road","0",946.942567222709,"id",2.040521108e-06,c(-111.045029003383, 32.2095516352699),"2024-01-19 12:26:12 UTC",470.986735513096
"4.30",14043,"S AVENIDA DEL CARDENAL ROJO","Minor local road","0",946.942567222709,"id",2.040521108e-06,c(-111.045293053686, 32.2076806271152),"2023-12-12 20:31:13 UTC",739.285283371509
"4.31",14043,"S AVENIDA DEL CARDENAL ROJO","Minor local road","0",946.942567222709,"id",2.040521108e-06,c(-111.045279602704, 32.2076883756254),"2024-01-19 14:15:09 UTC",737.520644283365
"4.32",14043,"S AVENIDA DEL CARDENAL ROJO","Minor local road","0",946.942567222709,"id",2.040521108e-06,c(-111.045209854856, 32.2077333590904),"2023-12-14 23:37:08 UTC",727.724041075243
"4.33",14043,"S AVENIDA DEL CARDENAL ROJO","Minor local road","0",946.942567222709,"id",2.040521108e-06,c(-111.045242092541, 32.2077099835413),"2024-01-21 23:43:22 UTC",732.609039655784
"4.34",14043,"S AVENIDA DEL CARDENAL ROJO","Minor local road","0",946.942567222709,"id",2.040521108e-06,c(-111.045231084635, 32.2077164783612),"2023-09-05 09:46:11 UTC",731.148738473554
"4.35",14043,"S AVENIDA DEL CARDENAL ROJO","Minor local road","0",946.942567222709,"id",2.040521108e-06,c(-111.045200746686, 32.2077406013934),"2023-12-14 23:37:08 UTC",726.255761248701
"4.36",14043,"S AVENIDA DEL CARDENAL ROJO","Minor local road","0",946.942567222709,"id",2.040521108e-06,c(-111.04499720283, 32.2079635445242),"2023-04-19 14:04:09 UTC",684.959405487073
"4.37",14043,"S AVENIDA DEL CARDENAL ROJO","Minor local road","0",946.942567222709,"id",2.040521108e-06,c(-111.045031467425, 32.2079152964728),"2024-01-05 16:09:10 UTC",693.412054629123
"4.38",14043,"S AVENIDA DEL CARDENAL ROJO","Minor local road","0",946.942567222709,"id",2.040521108e-06,c(-111.045076549214, 32.2078562145677),"2023-06-03 09:04:07 UTC",703.916608469487
"4.39",14043,"S AVENIDA DEL CARDENAL ROJO","Minor local road","0",946.942567222709,"id",2.040521108e-06,c(-111.045068831936, 32.2078644992567),"2023-06-03 09:04:07 UTC",702.37625478088
"4.40",14043,"S AVENIDA DEL CARDENAL ROJO","Minor local road","0",946.942567222709,"id",2.040521108e-06,c(-111.045046720922, 32.2078938179696),"2023-09-05 18:08:07 UTC",697.175834720279
"4.41",14043,"S AVENIDA DEL CARDENAL ROJO","Minor local road","0",946.942567222709,"id",2.040521108e-06,c(-111.045045750099, 32.2078951849903),"2023-09-05 18:09:07 UTC",696.936268438363
"4.42",14043,"S AVENIDA DEL CARDENAL ROJO","Minor local road","0",946.942567222709,"id",2.040521108e-06,c(-111.045060439831, 32.207874500316),"2023-04-16 16:24:09 UTC",700.561436662309
"4.43",14043,"S AVENIDA DEL CARDENAL ROJO","Minor local road","0",946.942567222709,"id",2.040521108e-06,c(-111.045095619595, 32.2078357420309),"2024-01-02 05:31:09 UTC",707.724294444171
