"","OBJECTID","STREET","ROADCAT_DS","SHIELD_NO","ShapeSTLen","id","area","geometry","Cross_Times","Passage_Distances"
"1",7345,"N AVENIDA CARINA","Minor local road","0",384.46763071539,"id",2.040521108e-06,c(-111.010165401913, 32.2279855345505),"2021-01-04 21:23:11 UTC",578.619567242578
"2",7565,"N BELLA VISTA DR","Minor local road","0",851.678110734581,"id",2.040521108e-06,c(-110.994838729042, 32.2214110689691),"2020-12-03 13:50:13 UTC",1251.37327524569
"2.1",7565,"N BELLA VISTA DR","Minor local road","0",851.678110734581,"id",2.040521108e-06,c(-110.994837594912, 32.2217637932168),"2020-12-04 18:49:13 UTC",1227.79637556961
"3",7702,"N BOULDER TE","Minor local road","0",946.151049226773,"id",2.040521108e-06,c(-110.996449205482, 32.2240115002621),"2021-01-27 18:26:14 UTC",1332.76392170844
"4",8036,"N CALLE ZAPATA","Minor local road","0",789.977646969962,"id",2.040521108e-06,c(-111.010882159794, 32.2307801831067),"2021-01-04 20:02:11 UTC",977.335191650572
"5",8047,"N CAMERON VIEW PL","Minor local road","0",286.193422256489,"id",2.040521108e-06,c(-111.030645738089, 32.225608190625),"2021-01-12 02:50:21 UTC",99.5425390837759
"5.1",8047,"N CAMERON VIEW PL","Minor local road","0",286.193422256489,"id",2.040521108e-06,c(-111.03075163601, 32.224974028928),"2020-12-18 11:47:11 UTC",8.96279131251914
"6",8298,"N CAMINO SANTIAGO","Minor local road","0",3697.56093126557,"id",2.040521108e-06,c(-111.00764504669, 32.2286517618883),"2020-12-23 18:47:10 UTC",507.523183690175
"6.1",8298,"N CAMINO SANTIAGO","Minor local road","0",3697.56093126557,"id",2.040521108e-06,c(-111.007636743308, 32.227778906985),"2020-12-23 21:44:10 UTC",380.153106080089
"7",8370,"N CARAPAN AV","Minor local road","0",527.516910655565,"id",2.040521108e-06,c(-111.027633543576, 32.223617570609),"2021-01-12 04:08:20 UTC",416.202263435266
"7.1",8370,"N CARAPAN AV","Minor local road","0",527.516910655565,"id",2.040521108e-06,c(-111.02765163737, 32.2245369197232),"2021-01-11 23:54:20 UTC",367.18853626688
"8",8510,"N CHAMPAGNE PL","Minor local road","0",466.453449887215,"id",2.040521108e-06,c(-111.033644486575, 32.2234810094693),"2020-11-25 04:47:23 UTC",443.225384241122
"9",8672,"N CONGRESS TE","Minor local road","0",521.650753270295,"id",2.040521108e-06,c(-110.994584060051, 32.2200635347784),"2020-11-23 19:44:29 UTC",1329.9157508878
"9.1",8672,"N CONGRESS TE","Minor local road","0",521.650753270295,"id",2.040521108e-06,c(-110.994597764715, 32.2197458017887),"2020-12-21 17:35:14 UTC",1360.00986878645
"9.2",8672,"N CONGRESS TE","Minor local road","0",521.650753270295,"id",2.040521108e-06,c(-110.994599386643, 32.2196830314747),"2020-12-21 18:44:13 UTC",1365.96799694803
"9.3",8672,"N CONGRESS TE","Minor local road","0",521.650753270295,"id",2.040521108e-06,c(-110.994603642867, 32.2195183106969),"2020-12-08 16:04:14 UTC",1381.79511786138
"10",8890,"N DAYSTAR MOUNTAIN DR","Minor local road","0",2151.03848832777,"id",2.040521108e-06,c(-111.0331455701, 32.2258366504681),"2020-12-18 17:52:12 UTC",345.052676783905
"10.1",8890,"N DAYSTAR MOUNTAIN DR","Minor local road","0",2151.03848832777,"id",2.040521108e-06,c(-111.032666119962, 32.2259328785047),"2020-12-18 12:14:11 UTC",296.035896208046
"10.2",8890,"N DAYSTAR MOUNTAIN DR","Minor local road","0",2151.03848832777,"id",2.040521108e-06,c(-111.031335142472, 32.2280440493033),"2020-11-28 06:36:13 UTC",477.253605354425
"11",8979,"N DESERT PARK PL","Minor local road","0",738.244098556043,"id",2.040521108e-06,c(-111.031957759851, 32.2247031307292),"2020-11-25 00:18:16 UTC",168.757223659951
"11.1",8979,"N DESERT PARK PL","Minor local road","0",738.244098556043,"id",2.040521108e-06,c(-111.03269868652, 32.2233898743971),"2020-11-25 04:58:22 UTC",352.552283276962
"12",9000,"N DESERT STREAM DR","Minor local road","0",1264.31203753758,"id",2.040521108e-06,c(-111.030527230121, 32.2226686198873),"2021-01-02 06:01:11 UTC",345.582185021678
"12.1",9000,"N DESERT STREAM DR","Minor local road","0",1264.31203753758,"id",2.040521108e-06,c(-111.031053692379, 32.2223264160176),"2021-01-02 04:12:12 UTC",402.480402652451
"12.2",9000,"N DESERT STREAM DR","Minor local road","0",1264.31203753758,"id",2.040521108e-06,c(-111.029627515814, 32.2231270782792),"2020-11-25 05:29:21 UTC",295.619010943012
"12.3",9000,"N DESERT STREAM DR","Minor local road","0",1264.31203753758,"id",2.040521108e-06,c(-111.029601513465, 32.2231572282078),"2020-12-20 18:31:13 UTC",292.593861626383
