"","OBJECTID","STREET","ROADCAT_DS","SHIELD_NO","ShapeSTLen","id","area","geometry","Cross_Times","Passage_Distances"
"1",7379,"N AVENIDA DE SOLAZ","Minor local road","0",421.141274800886,"id",2.040521108e-06,c(-111.008487938305, 32.2277727328116),"2023-05-01 14:18:08 UTC",427.204966835905
"2",7412,"N AVENIDA FELICIDAD","Minor local road","0",797.247011451109,"id",2.040521108e-06,c(-111.009335891015, 32.2281315304286),"2023-05-01 14:07:08 UTC",529.342895324912
"2.1",7412,"N AVENIDA FELICIDAD","Minor local road","0",797.247011451109,"id",2.040521108e-06,c(-111.0093091913, 32.2263213408731),"2022-08-23 16:53:03 UTC",332.055680465782
"3",8298,"N CAMINO SANTIAGO","Minor local road","0",3697.56093126557,"id",2.040521108e-06,c(-111.007646868319, 32.229663294829),"2022-11-05 14:04:09 UTC",657.609000243803
"3.1",8298,"N CAMINO SANTIAGO","Minor local road","0",3697.56093126557,"id",2.040521108e-06,c(-111.00764560974, 32.2293342125381),"2022-07-07 15:26:12 UTC",608.556722992814
"3.2",8298,"N CAMINO SANTIAGO","Minor local road","0",3697.56093126557,"id",2.040521108e-06,c(-111.007630389163, 32.2274168246947),"2023-05-01 14:28:08 UTC",328.429498635157
"3.3",8298,"N CAMINO SANTIAGO","Minor local road","0",3697.56093126557,"id",2.040521108e-06,c(-111.007625211783, 32.2271217966129),"2022-12-15 23:41:04 UTC",287.209341939518
"3.4",8298,"N CAMINO SANTIAGO","Minor local road","0",3697.56093126557,"id",2.040521108e-06,c(-111.007617743289, 32.2265939123688),"2022-08-23 15:48:01 UTC",215.91930600924
"3.5",8298,"N CAMINO SANTIAGO","Minor local road","0",3697.56093126557,"id",2.040521108e-06,c(-111.007613681791, 32.2263054580023),"2022-07-05 18:47:08 UTC",177.142284259967
"3.6",8298,"N CAMINO SANTIAGO","Minor local road","0",3697.56093126557,"id",2.040521108e-06,c(-111.00761159, 32.225910794763),"2022-12-22 18:37:08 UTC",124.621809985065
"4",9835,"N HILLSIDE DR","Minor local road","0",557.779919550153,"id",2.040521108e-06,c(-110.997935927665, 32.2235419196054),"2023-05-06 08:51:11 UTC",1163.33221463849
"4.1",9835,"N HILLSIDE DR","Minor local road","0",557.779919550153,"id",2.040521108e-06,c(-110.997933287411, 32.2243280031855),"2023-05-06 09:27:10 UTC",1140.15777417152
"5",10209,"N LA CHOLLA BL","Minor local road","0",918.183890866179,"id",2.040521108e-06,c(-111.01172694453, 32.2250852879408),"2023-02-15 11:01:08 UTC",599.787383911843
"5.1",10209,"N LA CHOLLA BL","Minor local road","0",918.183890866179,"id",2.040521108e-06,c(-111.011729013662, 32.2267031787547),"2023-02-08 12:07:07 UTC",640.647175459652
"5.2",10209,"N LA CHOLLA BL","Minor local road","0",918.183890866179,"id",2.040521108e-06,c(-111.011728884624, 32.2266022830389),"2023-01-02 16:38:09 UTC",635.395011367521
"5.3",10209,"N LA CHOLLA BL","Minor local road","0",918.183890866179,"id",2.040521108e-06,c(-111.011728870419, 32.2265911764659),"2023-01-02 16:38:09 UTC",634.836867467189
"5.4",10209,"N LA CHOLLA BL","Minor local road","0",918.183890866179,"id",2.040521108e-06,c(-111.01172865785, 32.2264249667177),"2023-02-08 09:49:07 UTC",626.968855973723
"5.5",10209,"N LA CHOLLA BL","Minor local road","0",918.183890866179,"id",2.040521108e-06,c(-111.011728339721, 32.226176218822),"2022-03-21 15:14:09 UTC",616.944126453495
"5.6",10209,"N LA CHOLLA BL","Minor local road","0",918.183890866179,"id",2.040521108e-06,c(-111.011728218892, 32.2260817409248),"2022-08-23 18:27:05 UTC",613.705192568513
"5.7",10209,"N LA CHOLLA BL","Minor local road","0",918.183890866179,"id",2.040521108e-06,c(-111.011728040518, 32.2259422675226),"2022-08-24 15:54:10 UTC",609.511825575792
"5.8",10209,"N LA CHOLLA BL","Minor local road","0",918.183890866179,"id",2.040521108e-06,c(-111.011727520379, 32.2255355598949),"2022-02-25 15:35:05 UTC",601.403922695358
"5.9",10209,"N LA CHOLLA BL","Minor local road","0",918.183890866179,"id",2.040521108e-06,c(-111.011727432068, 32.2254665073832),"2022-01-22 17:49:08 UTC",600.649510989704
"6",10210,"N LA CHOLLA BL","Minor local road","0",1451.15247095465,"id",2.040521108e-06,c(-111.0117455443, 32.2282313405956),"2022-07-26 17:31:08 UTC",756.172453782495
"6.1",10210,"N LA CHOLLA BL","Minor local road","0",1451.15247095465,"id",2.040521108e-06,c(-111.011748824606, 32.2284221336925),"2022-05-24 12:28:09 UTC",774.416781932929
"6.2",10210,"N LA CHOLLA BL","Minor local road","0",1451.15247095465,"id",2.040521108e-06,c(-111.011762955237, 32.2291919679762),"2023-05-01 13:35:08 UTC",854.19356814945
"6.3",10210,"N LA CHOLLA BL","Minor local road","0",1451.15247095465,"id",2.040521108e-06,c(-111.011769457309, 32.2301146199256),"2022-07-07 16:25:11 UTC",959.095333018824
"7",13002,"N TUMAMOC HILL RD","Minor local road","0",1751.16869154153,"id",2.040521108e-06,c(-111.00107500426, 32.2245906464171),"2022-07-30 12:19:11 UTC",732.680084921055
"7.1",13002,"N TUMAMOC HILL RD","Minor local road","0",1751.16869154153,"id",2.040521108e-06,c(-111.001052999926, 32.2248109856085),"2021-11-26 12:22:09 UTC",730.458694474067
"7.2",13002,"N TUMAMOC HILL RD","Minor local road","0",1751.16869154153,"id",2.040521108e-06,c(-111.001050025039, 32.2248487812254),"2023-05-01 15:50:08 UTC",730.130028649291
"7.3",13002,"N TUMAMOC HILL RD","Minor local road","0",1751.16869154153,"id",2.040521108e-06,c(-111.001103217006, 32.2243384359107),"2022-06-15 17:29:10 UTC",736.719881605887
"7.4",13002,"N TUMAMOC HILL RD","Minor local road","0",1751.16869154153,"id",2.040521108e-06,c(-111.001078186035, 32.2245622027104),"2022-06-15 16:52:10 UTC",733.035436424827
"7.5",13002,"N TUMAMOC HILL RD","Minor local road","0",1751.16869154153,"id",2.040521108e-06,c(-111.001087478602, 32.2244791310398),"2022-02-15 19:50:09 UTC",734.219593990188
"7.6",13002,"N TUMAMOC HILL RD","Minor local road","0",1751.16869154153,"id",2.040521108e-06,c(-111.001150219855, 32.2239182463917),"2022-09-07 11:45:14 UTC",747.825438628871
"7.7",13002,"N TUMAMOC HILL RD","Minor local road","0",1751.16869154153,"id",2.040521108e-06,c(-111.001155709006, 32.2238691749842),"2021-12-23 14:04:07 UTC",749.470444140422
"7.8",13002,"N TUMAMOC HILL RD","Minor local road","0",1751.16869154153,"id",2.040521108e-06,c(-111.001180260174, 32.2236496940851),"2022-04-19 11:59:11 UTC",757.693021868261
"7.9",13002,"N TUMAMOC HILL RD","Minor local road","0",1751.16869154153,"id",2.040521108e-06,c(-111.00117397056, 32.2237059216578),"2022-02-15 18:21:08 UTC",755.453206254366
"7.10",13002,"N TUMAMOC HILL RD","Minor local road","0",1751.16869154153,"id",2.040521108e-06,c(-111.001198089527, 32.2234903037465),"2022-05-20 09:52:10 UTC",764.531612607545
"7.11",13002,"N TUMAMOC HILL RD","Minor local road","0",1751.16869154153,"id",2.040521108e-06,c(-111.001213403184, 32.2233534027132),"2021-12-23 12:15:07 UTC",770.971335631513
"7.12",13002,"N TUMAMOC HILL RD","Minor local road","0",1751.16869154153,"id",2.040521108e-06,c(-111.001341764983, 32.221690570978),"2022-11-03 07:30:54 UTC",891.385936496936
"7.13",13002,"N TUMAMOC HILL RD","Minor local road","0",1751.16869154153,"id",2.040521108e-06,c(-111.001355958507, 32.221828986912),"2022-12-23 05:18:08 UTC",876.688235906811
"7.14",13002,"N TUMAMOC HILL RD","Minor local road","0",1751.16869154153,"id",2.040521108e-06,c(-111.001358266519, 32.2219004420851),"2023-06-01 05:40:17 UTC",869.715817889731
"7.15",13002,"N TUMAMOC HILL RD","Minor local road","0",1751.16869154153,"id",2.040521108e-06,c(-111.001353609281, 32.2220162112376),"2021-12-30 12:17:10 UTC",859.457497651873
"7.16",13002,"N TUMAMOC HILL RD","Minor local road","0",1751.16869154153,"id",2.040521108e-06,c(-111.001339473318, 32.2221617819054),"2022-10-24 21:10:08 UTC",847.770591717518
