"","OBJECTID","STREET","ROADCAT_DS","SHIELD_NO","ShapeSTLen","id","area","geometry","Cross_Times","Passage_Distances"
"1",7208,"N AMBERBROOKE AV","Minor local road","0",1610.34590214103,"id",2.040521108e-06,c(-111.021131697704, 32.2400844712102),"2024-01-27 09:50:13 UTC",521.877110584645
"1.1",7208,"N AMBERBROOKE AV","Minor local road","0",1610.34590214103,"id",2.040521108e-06,c(-111.021150029122, 32.2394298648339),"2023-06-23 21:04:10 UTC",422.6374972701
"1.2",7208,"N AMBERBROOKE AV","Minor local road","0",1610.34590214103,"id",2.040521108e-06,c(-111.021141338713, 32.2398580143227),"2023-10-22 16:53:12 UTC",487.487058907287
"1.3",7208,"N AMBERBROOKE AV","Minor local road","0",1610.34590214103,"id",2.040521108e-06,c(-111.021140420179, 32.2398795897562),"2023-06-05 22:14:18 UTC",490.763119441709
"1.4",7208,"N AMBERBROOKE AV","Minor local road","0",1610.34590214103,"id",2.040521108e-06,c(-111.021285464845, 32.2386362522935),"2023-11-19 20:03:17 UTC",300.765468236965
"1.5",7208,"N AMBERBROOKE AV","Minor local road","0",1610.34590214103,"id",2.040521108e-06,c(-111.021402920448, 32.2383294869157),"2023-05-27 10:16:13 UTC",253.015405086479
"1.6",7208,"N AMBERBROOKE AV","Minor local road","0",1610.34590214103,"id",2.040521108e-06,c(-111.021710727522, 32.2379048400391),"2023-11-19 19:37:17 UTC",189.495104947282
"1.7",7208,"N AMBERBROOKE AV","Minor local road","0",1610.34590214103,"id",2.040521108e-06,c(-111.021693722557, 32.2379283000046),"2023-08-11 20:34:21 UTC",192.771908278864
"2",7209,"N AMBERBROOKE AV","Minor local road","0",754.617714599808,"id",2.040521108e-06,c(-111.021159716053, 32.2428787261276),"2023-07-28 23:33:16 UTC",945.486600610363
"2.1",7209,"N AMBERBROOKE AV","Minor local road","0",754.617714599808,"id",2.040521108e-06,c(-111.02115778601, 32.2428948432229),"2023-07-28 23:33:16 UTC",947.946802879355
"2.2",7209,"N AMBERBROOKE AV","Minor local road","0",754.617714599808,"id",2.040521108e-06,c(-111.02110521607, 32.2415879787378),"2024-02-01 06:06:13 UTC",749.994716680414
"2.3",7209,"N AMBERBROOKE AV","Minor local road","0",754.617714599808,"id",2.040521108e-06,c(-111.021106925922, 32.2416390798019),"2024-02-01 17:56:12 UTC",757.729521895309
"2.4",7209,"N AMBERBROOKE AV","Minor local road","0",754.617714599808,"id",2.040521108e-06,c(-111.021108888776, 32.2416914250642),"2023-12-20 21:57:09 UTC",765.651550656298
"2.5",7209,"N AMBERBROOKE AV","Minor local road","0",754.617714599808,"id",2.040521108e-06,c(-111.021116966789, 32.2419068482604),"2023-06-14 15:04:12 UTC",798.262815433609
"2.6",7209,"N AMBERBROOKE AV","Minor local road","0",754.617714599808,"id",2.040521108e-06,c(-111.02111645212, 32.2418931231925),"2022-12-15 08:31:13 UTC",796.184684538401
"2.7",7209,"N AMBERBROOKE AV","Minor local road","0",754.617714599808,"id",2.040521108e-06,c(-111.021118393433, 32.2419448937046),"2023-05-27 06:01:14 UTC",804.023596732624
"2.8",7209,"N AMBERBROOKE AV","Minor local road","0",754.617714599808,"id",2.040521108e-06,c(-111.021119801214, 32.2419824360418),"2023-05-27 05:58:14 UTC",809.708580416484
"2.9",7209,"N AMBERBROOKE AV","Minor local road","0",754.617714599808,"id",2.040521108e-06,c(-111.021123509947, 32.2422593701171),"2022-12-15 01:02:13 UTC",851.70735410901
"2.10",7209,"N AMBERBROOKE AV","Minor local road","0",754.617714599808,"id",2.040521108e-06,c(-111.0210986611, 32.2413770299908),"2023-11-01 17:12:13 UTC",718.06878179379
"2.11",7209,"N AMBERBROOKE AV","Minor local road","0",754.617714599808,"id",2.040521108e-06,c(-111.021100054158, 32.2414218607722),"2023-02-04 21:25:10 UTC",724.852475510112
"3",7316,"N ATWOOD AV","Minor local road","0",1537.95644890826,"id",2.040521108e-06,c(-111.028457118397, 32.245055536455),"2022-12-21 21:18:09 UTC",1284.35494670738
"3.1",7316,"N ATWOOD AV","Minor local road","0",1537.95644890826,"id",2.040521108e-06,c(-111.028452290522, 32.2440318576924),"2023-12-21 00:33:09 UTC",1392.72804524087
"3.2",7316,"N ATWOOD AV","Minor local road","0",1537.95644890826,"id",2.040521108e-06,c(-111.028450591298, 32.2438985371683),"2023-11-30 12:11:09 UTC",1407.40137651992
"4",7317,"N ATWOOD AV","Minor local road","0",319.613042942781,"id",2.040521108e-06,c(-111.028525391656, 32.2475302049041),"2023-06-08 08:40:23 UTC",1078.1645051255
"4.1",7317,"N ATWOOD AV","Minor local road","0",319.613042942781,"id",2.040521108e-06,c(-111.02852005103, 32.2474523958285),"2023-01-11 17:50:11 UTC",1082.88740146305
"4.2",7317,"N ATWOOD AV","Minor local road","0",319.613042942781,"id",2.040521108e-06,c(-111.028515722458, 32.2473893315459),"2023-01-05 23:32:12 UTC",1086.79507318672
