"","OBJECTID","STREET","ROADCAT_DS","SHIELD_NO","ShapeSTLen","id","area","geometry","Cross_Times","Passage_Distances"
"1",15040,"S CLEARWELL RD","Minor local road","0",2633.64543175022,"id",2.040521108e-06,c(-111.044930965171, 32.2105908712706),"2021-02-15 13:45:12 UTC",339.757120192985
"2",15936,"S HOTEL SERVICE RD","Minor local road","0",1806.65828065573,"id",2.040521108e-06,c(-111.047909370296, 32.2168245290936),"2021-05-07 20:00:24 UTC",907.940936330859
"2.1",15936,"S HOTEL SERVICE RD","Minor local road","0",1806.65828065573,"id",2.040521108e-06,c(-111.048097695656, 32.2169126597253),"2021-05-07 20:17:23 UTC",934.304154223225
"2.2",15936,"S HOTEL SERVICE RD","Minor local road","0",1806.65828065573,"id",2.040521108e-06,c(-111.047796784461, 32.2163857968913),"2021-05-07 19:02:24 UTC",849.594149090669
"3",17249,"S PLACITA ESTRELLITA","Minor local road","0",418.177928494749,"id",2.040521108e-06,c(-111.043532066512, 32.2096686400824),"2021-02-15 13:18:12 UTC",382.899725494061
"4",17819,"S SINGING BIRD CT","Minor local road","0",248.23232111869,"id",2.040521108e-06,c(-111.039885198458, 32.2072688904785),"2021-02-15 11:57:12 UTC",848.205198304287
"5",18116,"S TOHONO RIDGE PL","Minor local road","0",1486.50150931747,"id",2.040521108e-06,c(-111.046163658665, 32.2119712365474),"2022-02-16 03:16:17 UTC",393.257572302354
"5.1",18116,"S TOHONO RIDGE PL","Minor local road","0",1486.50150931747,"id",2.040521108e-06,c(-111.046146979941, 32.2119793737617),"2021-02-17 18:05:02 UTC",390.920316976594
"5.2",18116,"S TOHONO RIDGE PL","Minor local road","0",1486.50150931747,"id",2.040521108e-06,c(-111.046893021865, 32.2118482991756),"2021-02-15 14:21:12 UTC",489.367393425383
"5.3",18116,"S TOHONO RIDGE PL","Minor local road","0",1486.50150931747,"id",2.040521108e-06,c(-111.045748414064, 32.2124054925123),"2022-02-15 20:56:14 UTC",333.622070588543
"6",21025,"W ESTATE HILLS PL","Minor local road","0",1187.19956803605,"id",2.040521108e-06,c(-111.042220613835, 32.2290039477819),"2021-02-13 10:04:14 UTC",1613.02553972439
"7",23070,"W PLACITA DEL CORRECAMINOS","Minor local road","0",344.26003167099,"id",2.040521108e-06,c(-111.044507234137, 32.2103131063972),"2021-02-15 13:37:12 UTC",337.170721223078
"8",24069,"W STARR PASS BL","Minor local road","0",5043.06337677916,"id",2.040521108e-06,c(-111.052526096214, 32.2151369967905),"2022-02-11 06:29:53 UTC",1278.38264250136
