"","OBJECTID","STREET","ROADCAT_DS","SHIELD_NO","ShapeSTLen","id","area","geometry","Cross_Times","Passage_Distances"
"1",7186,"N ALTA VISTA RD","Minor local road","0",336.469450749963,"id",2.040521108e-06,c(-111.040491732192, 32.228571121868),"2021-12-11 17:12:12 UTC",1381.59462371671
"1.1",7186,"N ALTA VISTA RD","Minor local road","0",336.469450749963,"id",2.040521108e-06,c(-111.041412911187, 32.2286400003182),"2022-01-03 14:07:15 UTC",1495.461113746
"1.2",7186,"N ALTA VISTA RD","Minor local road","0",336.469450749963,"id",2.040521108e-06,c(-111.041331400014, 32.2286413716781),"2021-12-01 19:13:21 UTC",1485.77769539608
"1.3",7186,"N ALTA VISTA RD","Minor local road","0",336.469450749963,"id",2.040521108e-06,c(-111.041196933805, 32.2286347161632),"2022-01-18 09:52:07 UTC",1469.31205598836
"1.4",7186,"N ALTA VISTA RD","Minor local road","0",336.469450749963,"id",2.040521108e-06,c(-111.041160663083, 32.2286314454076),"2022-05-29 10:21:11 UTC",1464.78873238936
"1.5",7186,"N ALTA VISTA RD","Minor local road","0",336.469450749963,"id",2.040521108e-06,c(-111.041097755275, 32.228625772596),"2022-01-13 12:33:12 UTC",1456.94635909269
"1.6",7186,"N ALTA VISTA RD","Minor local road","0",336.469450749963,"id",2.040521108e-06,c(-111.040972626319, 32.2286144887985),"2021-12-24 10:55:12 UTC",1441.35822056203
"1.7",7186,"N ALTA VISTA RD","Minor local road","0",336.469450749963,"id",2.040521108e-06,c(-111.040655814281, 32.2285859189654),"2021-12-28 19:36:10 UTC",1401.95929214467
"2",7208,"N AMBERBROOKE AV","Minor local road","0",1610.34590214103,"id",2.040521108e-06,c(-111.022140471567, 32.2374604938264),"2022-07-19 17:35:11 UTC",144.353322576554
"3",7920,"N CALLE DEL SUERTE","Minor local road","0",1071.34561233081,"id",2.040521108e-06,c(-111.065647147142, 32.2432701348587),"2022-09-28 12:28:13 UTC",1282.24458293569
"4",7921,"N CALLE DEL SUERTE","Minor local road","0",4251.12800173247,"id",2.040521108e-06,c(-111.06090340112, 32.244845569234),"2022-09-28 08:48:21 UTC",1335.60161432606
"5",8047,"N CAMERON VIEW PL","Minor local road","0",286.193422256489,"id",2.040521108e-06,c(-111.030734762453, 32.2250750755504),"2021-11-11 07:11:15 UTC",19.3776411501898
"5.1",8047,"N CAMERON VIEW PL","Minor local road","0",286.193422256489,"id",2.040521108e-06,c(-111.030736183299, 32.2250665668769),"2021-11-11 07:11:15 UTC",18.2225971636968
"5.2",8047,"N CAMERON VIEW PL","Minor local road","0",286.193422256489,"id",2.040521108e-06,c(-111.03075130805, 32.2249759929079),"2022-04-09 10:48:34 UTC",9.02649311038132
"5.3",8047,"N CAMERON VIEW PL","Minor local road","0",286.193422256489,"id",2.040521108e-06,c(-111.030691559753, 32.2253337921498),"2021-12-07 21:10:11 UTC",57.680801783136
"5.4",8047,"N CAMERON VIEW PL","Minor local road","0",286.193422256489,"id",2.040521108e-06,c(-111.030686165436, 32.2253660955709),"2021-12-07 21:09:11 UTC",62.5891041291797
"6",8122,"N CAMINO DE JUAN","Minor local road","0",1454.95876964001,"id",2.040521108e-06,c(-111.029043872893, 32.2364315502451),"2022-04-20 18:24:21 UTC",836.778493736284
"6.1",8122,"N CAMINO DE JUAN","Minor local road","0",1454.95876964001,"id",2.040521108e-06,c(-111.029089187073, 32.239400621684),"2021-12-27 22:58:12 UTC",989.740769131746
"6.2",8122,"N CAMINO DE JUAN","Minor local road","0",1454.95876964001,"id",2.040521108e-06,c(-111.029089223531, 32.2394439993134),"2021-12-27 23:40:13 UTC",993.254647177019
"7",8160,"N CAMINO DE OESTE","Minor local road","0",4168.35072535922,"id",2.040521108e-06,c(-111.062761467236, 32.2321804598222),"2022-09-27 17:51:10 UTC",659.93829968883
"8",8217,"N CAMINO EMILIANO","Minor local road","0",257.194126387602,"id",2.040521108e-06,c(-111.019762572941, 32.2404201513397),"2022-09-13 15:57:17 UTC",614.211656519244
"9",8257,"N CAMINO MATEO","Minor local road","0",996.739300399842,"id",2.040521108e-06,c(-111.01685923408, 32.2386931985407),"2022-06-20 17:43:11 UTC",676.982518161646
"10",8259,"N CAMINO MIRAFLORES","Minor local road","0",1498.50101334693,"id",2.040521108e-06,c(-111.032238345277, 32.2344963533218),"2022-05-13 16:03:13 UTC",1265.9826077848
"10.1",8259,"N CAMINO MIRAFLORES","Minor local road","0",1498.50101334693,"id",2.040521108e-06,c(-111.030566469362, 32.2348115224413),"2022-04-20 18:06:20 UTC",1044.89788046263
"10.2",8259,"N CAMINO MIRAFLORES","Minor local road","0",1498.50101334693,"id",2.040521108e-06,c(-111.030684439145, 32.2347623059549),"2022-05-13 16:21:15 UTC",1061.18685518679
"10.3",8259,"N CAMINO MIRAFLORES","Minor local road","0",1498.50101334693,"id",2.040521108e-06,c(-111.030284071919, 32.2351148941444),"2022-04-20 18:09:20 UTC",1002.02120618888
"10.4",8259,"N CAMINO MIRAFLORES","Minor local road","0",1498.50101334693,"id",2.040521108e-06,c(-111.030264402099, 32.2352328542094),"2022-03-29 18:09:10 UTC",997.371767313995
"10.5",8259,"N CAMINO MIRAFLORES","Minor local road","0",1498.50101334693,"id",2.040521108e-06,c(-111.030256180569, 32.2357511394814),"2022-03-20 18:32:11 UTC",990.757196139574
"11",8350,"N CANYON MOONLIGHT PL","Minor local road","0",1727.40084297021,"id",2.040521108e-06,c(-111.03245977549, 32.2345834300398),"2022-03-29 17:53:10 UTC",1291.96786388953
"11.1",8350,"N CANYON MOONLIGHT PL","Minor local road","0",1727.40084297021,"id",2.040521108e-06,c(-111.032459650939, 32.2344376885517),"2022-05-13 16:00:13 UTC",1295.70931021312
"11.2",8350,"N CANYON MOONLIGHT PL","Minor local road","0",1727.40084297021,"id",2.040521108e-06,c(-111.032459764491, 32.2344453641611),"2022-05-13 16:00:13 UTC",1295.51668473952
"11.3",8350,"N CANYON MOONLIGHT PL","Minor local road","0",1727.40084297021,"id",2.040521108e-06,c(-111.032453811248, 32.2354765848345),"2022-03-20 18:15:11 UTC",1276.35732256965
"11.4",8350,"N CANYON MOONLIGHT PL","Minor local road","0",1727.40084297021,"id",2.040521108e-06,c(-111.032451516356, 32.2338878248321),"2021-11-18 22:57:22 UTC",1312.13942143814
"11.5",8350,"N CANYON MOONLIGHT PL","Minor local road","0",1727.40084297021,"id",2.040521108e-06,c(-111.032449335621, 32.2336235052547),"2021-11-11 17:12:15 UTC",1322.06395803309
"11.6",8350,"N CANYON MOONLIGHT PL","Minor local road","0",1727.40084297021,"id",2.040521108e-06,c(-111.033511717167, 32.2332965141311),"2021-11-11 17:27:14 UTC",1320.04413484856
"11.7",8350,"N CANYON MOONLIGHT PL","Minor local road","0",1727.40084297021,"id",2.040521108e-06,c(-111.034473760212, 32.233033697742),"2021-11-11 17:40:14 UTC",1322.49652567657
"12",8370,"N CARAPAN AV","Minor local road","0",527.516910655565,"id",2.040521108e-06,c(-111.027632334919, 32.2235561578234),"2022-07-30 02:15:12 UTC",420.930691759725
"12.1",8370,"N CARAPAN AV","Minor local road","0",527.516910655565,"id",2.040521108e-06,c(-111.027645431379, 32.2242215942008),"2022-03-21 02:11:10 UTC",378.93389836797
"12.2",8370,"N CARAPAN AV","Minor local road","0",527.516910655565,"id",2.040521108e-06,c(-111.027647271475, 32.22431508944),"2022-05-02 02:42:13 UTC",374.850232747531
"12.3",8370,"N CARAPAN AV","Minor local road","0",527.516910655565,"id",2.040521108e-06,c(-111.027643609737, 32.2241290364348),"2022-05-13 20:39:11 UTC",383.453540371234
"12.4",8370,"N CARAPAN AV","Minor local road","0",527.516910655565,"id",2.040521108e-06,c(-111.027652579289, 32.2245847782994),"2022-07-03 21:34:10 UTC",365.922726521031
"12.5",8370,"N CARAPAN AV","Minor local road","0",527.516910655565,"id",2.040521108e-06,c(-111.027648861093, 32.2243958577746),"2022-07-16 14:42:15 UTC",371.724520226839
"12.6",8370,"N CARAPAN AV","Minor local road","0",527.516910655565,"id",2.040521108e-06,c(-111.027649271542, 32.2244167126087),"2022-09-03 16:41:08 UTC",370.979250559556
"12.7",8370,"N CARAPAN AV","Minor local road","0",527.516910655565,"id",2.040521108e-06,c(-111.02765798912, 32.2248596489214),"2022-08-01 03:34:12 UTC",361.416443380868
"12.8",8370,"N CARAPAN AV","Minor local road","0",527.516910655565,"id",2.040521108e-06,c(-111.027658316365, 32.2248762760362),"2022-05-14 12:37:11 UTC",361.297252000148
"12.9",8370,"N CARAPAN AV","Minor local road","0",527.516910655565,"id",2.040521108e-06,c(-111.027657648171, 32.2248423255512),"2022-03-30 02:46:11 UTC",361.559399789514
"12.10",8370,"N CARAPAN AV","Minor local road","0",527.516910655565,"id",2.040521108e-06,c(-111.027655698864, 32.2247432824416),"2022-06-22 12:47:11 UTC",362.743335333664
"12.11",8370,"N CARAPAN AV","Minor local road","0",527.516910655565,"id",2.040521108e-06,c(-111.027655813218, 32.2247490927206),"2021-12-12 13:09:12 UTC",362.656710350432
"13",8472,"N CAVIAR PL","Minor local road","0",256.626387401866,"id",2.040521108e-06,c(-111.034139305926, 32.2229792905779),"2022-04-09 06:37:31 UTC",538.030201045264
"13.1",8472,"N CAVIAR PL","Minor local road","0",256.626387401866,"id",2.040521108e-06,c(-111.03413881248, 32.2230507532323),"2022-07-04 05:35:10 UTC",531.985618275211
"13.2",8472,"N CAVIAR PL","Minor local road","0",256.626387401866,"id",2.040521108e-06,c(-111.034138510325, 32.2230945123973),"2022-05-18 04:34:18 UTC",528.36051979364
"13.3",8472,"N CAVIAR PL","Minor local road","0",256.626387401866,"id",2.040521108e-06,c(-111.034137194275, 32.2232851070614),"2022-06-12 00:12:23 UTC",513.279437563337
"13.4",8472,"N CAVIAR PL","Minor local road","0",256.626387401866,"id",2.040521108e-06,c(-111.034136531251, 32.223381127887),"2022-05-06 18:25:18 UTC",506.140399283482
"14",8509,"N CHAMBERLAIN PL","Minor local road","0",673.35341276235,"id",2.040521108e-06,c(-111.024182759363, 32.2362723749115),"2022-06-04 11:09:11 UTC",211.019608890387
"14.1",8509,"N CHAMBERLAIN PL","Minor local road","0",673.35341276235,"id",2.040521108e-06,c(-111.024127982765, 32.2365071097777),"2022-06-27 16:49:18 UTC",215.453564786017
"14.2",8509,"N CHAMBERLAIN PL","Minor local road","0",673.35341276235,"id",2.040521108e-06,c(-111.02408675494, 32.236575492901),"2022-04-27 11:25:12 UTC",214.938199584551
"15",8510,"N CHAMPAGNE PL","Minor local road","0",466.453449887215,"id",2.040521108e-06,c(-111.033650996816, 32.2229372145873),"2022-06-21 23:16:13 UTC",490.911792189762
"15.1",8510,"N CHAMPAGNE PL","Minor local road","0",466.453449887215,"id",2.040521108e-06,c(-111.033651718246, 32.2228769537347),"2022-06-21 09:33:13 UTC",496.762163210142
"15.2",8510,"N CHAMPAGNE PL","Minor local road","0",466.453449887215,"id",2.040521108e-06,c(-111.033671877462, 32.2239759075017),"2022-06-16 03:02:13 UTC",413.646546011241
"15.3",8510,"N CHAMPAGNE PL","Minor local road","0",466.453449887215,"id",2.040521108e-06,c(-111.03363993236, 32.2238614152958),"2022-05-18 03:18:17 UTC",416.435729973907
"15.4",8510,"N CHAMPAGNE PL","Minor local road","0",466.453449887215,"id",2.040521108e-06,c(-111.033640330599, 32.2238281512069),"2022-08-20 01:55:18 UTC",418.527745807661
"15.5",8510,"N CHAMPAGNE PL","Minor local road","0",466.453449887215,"id",2.040521108e-06,c(-111.033649817273, 32.2230357413091),"2022-07-04 04:50:10 UTC",481.569062629751
"15.6",8510,"N CHAMPAGNE PL","Minor local road","0",466.453449887215,"id",2.040521108e-06,c(-111.033650239581, 32.223000466123),"2022-04-17 12:21:16 UTC",484.881482355017
"15.7",8510,"N CHAMPAGNE PL","Minor local road","0",466.453449887215,"id",2.040521108e-06,c(-111.033648356048, 32.2231577964672),"2022-05-04 20:50:10 UTC",470.400011604537
"15.8",8510,"N CHAMPAGNE PL","Minor local road","0",466.453449887215,"id",2.040521108e-06,c(-111.033648465401, 32.2231486622851),"2022-04-09 07:27:32 UTC",471.219716054833
"15.9",8510,"N CHAMPAGNE PL","Minor local road","0",466.453449887215,"id",2.040521108e-06,c(-111.033648120043, 32.2231775097957),"2022-05-04 20:51:10 UTC",468.640078109577
"15.10",8510,"N CHAMPAGNE PL","Minor local road","0",466.453449887215,"id",2.040521108e-06,c(-111.033646935294, 32.2232764708083),"2022-06-11 23:37:23 UTC",459.998749227413
"15.11",8510,"N CHAMPAGNE PL","Minor local road","0",466.453449887215,"id",2.040521108e-06,c(-111.033642421607, 32.2236534931298),"2022-05-04 23:03:11 UTC",430.321972855133
