"","OBJECTID","STREET","ROADCAT_DS","SHIELD_NO","ShapeSTLen","id","area","geometry","Cross_Times","Passage_Distances"
"1",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.074446672437, 32.2723583428335),"2022-10-16 05:26:08 UTC",3742.67203933687
"1.1",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.07445206401, 32.2723449165262),"2022-10-16 05:26:08 UTC",3743.96103073324
"1.2",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.07444288331, 32.2722681943535),"2022-12-26 12:27:07 UTC",3746.43473930272
"1.3",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.074432652097, 32.2722419083942),"2022-12-26 12:26:07 UTC",3746.42116537213
"1.4",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.074422778304, 32.2722229440699),"2022-11-04 09:50:13 UTC",3746.10867641622
"1.5",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.074380923419, 32.2721425544384),"2022-09-22 14:40:11 UTC",3744.81318559649
"1.6",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.074381782228, 32.2721442039342),"2022-09-22 14:40:11 UTC",3744.83929327934
"1.7",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.074367899189, 32.2721175390943),"2022-06-08 15:03:11 UTC",3744.41968720536
"1.8",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.074659063419, 32.2700557724083),"2022-11-20 17:10:14 UTC",3889.73400996992
"1.9",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.074652912996, 32.2700595083396),"2022-11-16 08:38:11 UTC",3888.78267354695
"1.10",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.074653463659, 32.2700591738522),"2022-11-16 08:38:11 UTC",3888.86784862114
"1.11",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.074625878758, 32.2700748058605),"2023-01-20 14:54:11 UTC",3884.66696628873
"1.12",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.074570085488, 32.270103923362),"2022-09-20 13:54:09 UTC",3876.31692745668
"1.13",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.074526213615, 32.2701268192714),"2022-12-12 15:01:11 UTC",3869.75136278223
"1.14",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.074520960799, 32.2701295606158),"2022-12-09 16:12:09 UTC",3868.96528092942
"1.15",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.074362513222, 32.2702122512066),"2022-12-12 09:40:12 UTC",3845.25554707164
"1.16",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.074372779723, 32.2702068933375),"2022-12-12 09:40:12 UTC",3846.791691613
"1.17",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.073879956759, 32.2712083047091),"2023-01-15 18:16:09 UTC",3731.47415056351
"1.18",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.073883640549, 32.2712128447437),"2022-05-12 16:02:07 UTC",3731.67411046545
"1.19",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.073883460392, 32.2712126227121),"2022-05-12 16:02:07 UTC",3731.66432724903
"1.20",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.073979726966, 32.271338616579),"2022-04-22 14:07:06 UTC",3736.56239117485
"1.21",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.073975054055, 32.2713297837902),"2022-12-15 16:13:12 UTC",3736.46574844316
"1.22",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.0738436767, 32.2710676231898),"2023-01-15 18:21:09 UTC",3734.74121037296
"1.23",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.073842777587, 32.2710627368803),"2022-01-23 18:09:11 UTC",3734.90040704419
"1.24",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.073840308149, 32.2710493164935),"2023-01-15 18:22:09 UTC",3735.33838822363
"1.25",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.073839178484, 32.2710431772196),"2023-01-15 18:22:09 UTC",3735.53910965615
"1.26",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.073790242114, 32.2709208322602),"2023-01-15 18:27:09 UTC",3736.41214312204
"1.27",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.073816509815, 32.2709845458183),"2023-01-15 18:24:09 UTC",3736.03881919997
"1.28",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.073833424165, 32.2710212267078),"2023-01-15 18:23:09 UTC",3736.05223488013
"1.29",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.073834162308, 32.2710228274638),"2022-04-07 14:07:12 UTC",3736.05303875702
"1.30",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.073824841301, 32.2710026136957),"2023-01-27 11:04:08 UTC",3736.0442287209
"1.31",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.074343474041, 32.270222187347),"2022-05-03 13:47:09 UTC",3842.40681502895
"1.32",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.0743300753, 32.2702291798597),"2023-01-08 11:22:16 UTC",3840.40206424929
"1.33",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.07426497983, 32.2702631517404),"2022-12-02 22:01:16 UTC",3830.66270694452
"1.34",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.07434562161, 32.2702210665771),"2022-05-03 13:47:09 UTC",3842.72814172416
"1.35",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.074248175638, 32.270271921466),"2022-10-13 22:27:10 UTC",3828.1486245026
"1.36",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.073998973059, 32.2704019741581),"2022-04-05 13:45:09 UTC",3790.87031136744
"1.37",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.074111658434, 32.2703431665414),"2022-12-09 23:39:10 UTC",3807.72579631459
"1.38",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.074142985526, 32.2703268177014),"2023-05-12 15:36:11 UTC",3812.41204771983
"1.39",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.074139368581, 32.2703287052971),"2023-05-12 15:36:11 UTC",3811.87097763155
"1.40",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.074130279608, 32.2703334486096),"2022-12-15 15:34:12 UTC",3810.51133868495
"1.41",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.074101483762, 32.2703484764496),"2022-12-09 23:39:10 UTC",3806.20378891097
"1.42",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.073944642563, 32.270447396208),"2022-01-23 18:30:11 UTC",3781.75641476409
"1.43",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.073947812315, 32.2704446870715),"2022-11-13 22:48:11 UTC",3782.29145748937
