"","OBJECTID","STREET","ROADCAT_DS","SHIELD_NO","ShapeSTLen","id","area","geometry","Cross_Times","Passage_Distances"
"1",7118,"N ACACIA LN","Minor local road","0",1556.39010609499,"id",2.040521108e-06,c(-111.066334861332, 32.2953247042645),"2023-03-15 10:04:11 UTC",2594.34459100709
"1.1",7118,"N ACACIA LN","Minor local road","0",1556.39010609499,"id",2.040521108e-06,c(-111.066333485139, 32.2953178519886),"2023-04-05 12:41:18 UTC",2594.81570941491
"1.2",7118,"N ACACIA LN","Minor local road","0",1556.39010609499,"id",2.040521108e-06,c(-111.066327418657, 32.2952876460501),"2024-02-09 10:24:09 UTC",2596.89657618213
"1.3",7118,"N ACACIA LN","Minor local road","0",1556.39010609499,"id",2.040521108e-06,c(-111.066330135819, 32.2953011752174),"2024-02-09 10:25:09 UTC",2595.96373490555
"1.4",7118,"N ACACIA LN","Minor local road","0",1556.39010609499,"id",2.040521108e-06,c(-111.066322928327, 32.295265287995),"2024-02-09 10:22:09 UTC",2598.44110614119
"1.5",7118,"N ACACIA LN","Minor local road","0",1556.39010609499,"id",2.040521108e-06,c(-111.066323372101, 32.2952674976144),"2024-02-09 10:22:09 UTC",2598.28829950194
"1.6",7118,"N ACACIA LN","Minor local road","0",1556.39010609499,"id",2.040521108e-06,c(-111.066324213266, 32.2952716859084),"2024-01-18 06:58:08 UTC",2597.99875508427
"1.7",7118,"N ACACIA LN","Minor local road","0",1556.39010609499,"id",2.040521108e-06,c(-111.066316296361, 32.295232266383),"2024-02-09 10:19:09 UTC",2600.72896525182
"1.8",7118,"N ACACIA LN","Minor local road","0",1556.39010609499,"id",2.040521108e-06,c(-111.066321934752, 32.2952603408264),"2024-01-18 07:01:08 UTC",2598.78335775001
"1.9",7118,"N ACACIA LN","Minor local road","0",1556.39010609499,"id",2.040521108e-06,c(-111.066349793956, 32.2953990559844),"2023-04-16 15:39:10 UTC",2589.25482908334
"1.10",7118,"N ACACIA LN","Minor local road","0",1556.39010609499,"id",2.040521108e-06,c(-111.066350112974, 32.2954006444186),"2022-12-14 11:46:10 UTC",2589.14653667937
"1.11",7118,"N ACACIA LN","Minor local road","0",1556.39010609499,"id",2.040521108e-06,c(-111.066358791637, 32.2954438566956),"2023-01-31 07:08:13 UTC",2586.20766635638
