"","OBJECTID","STREET","ROADCAT_DS","SHIELD_NO","ShapeSTLen","id","area","geometry","Cross_Times","Passage_Distances"
"1",7342,"N AVENIDA CALMA","Minor local road","0",910.47636511403,"id",2.040521108e-06,c(-111.006602849317, 32.2299409220595),"2022-10-13 11:42:10 UTC",687.276197622648
"2",7345,"N AVENIDA CARINA","Minor local road","0",384.46763071539,"id",2.040521108e-06,c(-111.010162264032, 32.227852294467),"2023-02-27 06:20:10 UTC",563.77931866603
"2.1",7345,"N AVENIDA CARINA","Minor local road","0",384.46763071539,"id",2.040521108e-06,c(-111.010158853753, 32.2277074874436),"2021-11-28 19:19:12 UTC",548.045381661086
"2.2",7345,"N AVENIDA CARINA","Minor local road","0",384.46763071539,"id",2.040521108e-06,c(-111.01015128344, 32.2273860356991),"2022-09-30 08:32:09 UTC",514.77158856258
"3",7379,"N AVENIDA DE SOLAZ","Minor local road","0",421.141274800886,"id",2.040521108e-06,c(-111.008480783693, 32.2274715826806),"2022-09-30 07:44:09 UTC",386.541769654777
"4",7412,"N AVENIDA FELICIDAD","Minor local road","0",797.247011451109,"id",2.040521108e-06,c(-111.009315806881, 32.227421026431),"2022-09-30 08:08:09 UTC",441.25397495238
"4.1",7412,"N AVENIDA FELICIDAD","Minor local road","0",797.247011451109,"id",2.040521108e-06,c(-111.009312081244, 32.2264627075809),"2022-05-26 08:35:07 UTC",343.705302261679
"4.2",7412,"N AVENIDA FELICIDAD","Minor local road","0",797.247011451109,"id",2.040521108e-06,c(-111.00931055056, 32.2263758988858),"2022-04-22 12:50:08 UTC",336.463469432568
"4.3",7412,"N AVENIDA FELICIDAD","Minor local road","0",797.247011451109,"id",2.040521108e-06,c(-111.00928734027, 32.226179308398),"2023-05-14 07:52:10 UTC",319.195293079325
"4.4",7412,"N AVENIDA FELICIDAD","Minor local road","0",797.247011451109,"id",2.040521108e-06,c(-111.009308766828, 32.2266218423364),"2022-03-19 21:31:15 UTC",357.231228692788
"4.5",7412,"N AVENIDA FELICIDAD","Minor local road","0",797.247011451109,"id",2.040521108e-06,c(-111.009301329981, 32.226978904927),"2023-02-27 05:23:10 UTC",391.347315085215
"4.6",7412,"N AVENIDA FELICIDAD","Minor local road","0",797.247011451109,"id",2.040521108e-06,c(-111.00930572011, 32.2271612372135),"2021-11-28 18:38:11 UTC",411.187574797906
"5",7565,"N BELLA VISTA DR","Minor local road","0",851.678110734581,"id",2.040521108e-06,c(-110.99483563066, 32.2215123234807),"2023-06-02 14:21:11 UTC",1244.09284091995
