"","OBJECTID","STREET","ROADCAT_DS","SHIELD_NO","ShapeSTLen","id","area","geometry","Cross_Times","Passage_Distances"
"1",14043,"S AVENIDA DEL CARDENAL ROJO","Minor local road","0",946.942567222709,"id",2.040521108e-06,c(-111.044929131672, 32.2094204185167),"2021-07-03 00:02:10 UTC",481.231878588395
"1.1",14043,"S AVENIDA DEL CARDENAL ROJO","Minor local road","0",946.942567222709,"id",2.040521108e-06,c(-111.044822556526, 32.2091525895573),"2021-07-05 21:27:15 UTC",510.490790770178
"1.2",14043,"S AVENIDA DEL CARDENAL ROJO","Minor local road","0",946.942567222709,"id",2.040521108e-06,c(-111.044821938134, 32.2091356812906),"2021-02-17 18:30:17 UTC",512.754874115368
"1.3",14043,"S AVENIDA DEL CARDENAL ROJO","Minor local road","0",946.942567222709,"id",2.040521108e-06,c(-111.044822273004, 32.2091448374056),"2021-02-17 18:29:17 UTC",511.528472245841
"1.4",14043,"S AVENIDA DEL CARDENAL ROJO","Minor local road","0",946.942567222709,"id",2.040521108e-06,c(-111.044821410895, 32.2091212653522),"2020-12-26 14:54:15 UTC",514.687514414878
"1.5",14043,"S AVENIDA DEL CARDENAL ROJO","Minor local road","0",946.942567222709,"id",2.040521108e-06,c(-111.044820592536, 32.2090688365068),"2021-06-04 12:57:12 UTC",521.795892448354
"1.6",14043,"S AVENIDA DEL CARDENAL ROJO","Minor local road","0",946.942567222709,"id",2.040521108e-06,c(-111.044820909499, 32.2090664306051),"2021-06-04 12:57:12 UTC",522.14275557728
"1.7",14043,"S AVENIDA DEL CARDENAL ROJO","Minor local road","0",946.942567222709,"id",2.040521108e-06,c(-111.044831227863, 32.2089881093484),"2021-02-04 18:00:11 UTC",533.450065639645
"1.8",14043,"S AVENIDA DEL CARDENAL ROJO","Minor local road","0",946.942567222709,"id",2.040521108e-06,c(-111.044831718494, 32.20898438522),"2021-02-04 18:00:11 UTC",533.988457832005
"1.9",14043,"S AVENIDA DEL CARDENAL ROJO","Minor local road","0",946.942567222709,"id",2.040521108e-06,c(-111.044833346685, 32.208972026466),"2021-04-08 10:25:08 UTC",535.775613002352
