"","OBJECTID","STREET","ROADCAT_DS","SHIELD_NO","ShapeSTLen","id","area","geometry","Cross_Times","Passage_Distances"
"1",7116,"N ACACIA CLIFFS CT","Minor local road","0",1272.33560954824,"id",2.040521108e-06,c(-111.06599802873, 32.2382350089685),"2022-01-28 14:56:09 UTC",785.106201731796
"1.1",7116,"N ACACIA CLIFFS CT","Minor local road","0",1272.33560954824,"id",2.040521108e-06,c(-111.065988531366, 32.2382380774916),"2022-08-29 09:44:11 UTC",784.189125115873
"1.2",7116,"N ACACIA CLIFFS CT","Minor local road","0",1272.33560954824,"id",2.040521108e-06,c(-111.065993386653, 32.2382365087868),"2022-08-29 09:44:11 UTC",784.657816945568
"1.3",7116,"N ACACIA CLIFFS CT","Minor local road","0",1272.33560954824,"id",2.040521108e-06,c(-111.06606287956, 32.238214056156),"2021-04-01 11:06:07 UTC",791.398055065727
"1.4",7116,"N ACACIA CLIFFS CT","Minor local road","0",1272.33560954824,"id",2.040521108e-06,c(-111.066071658324, 32.2382112198004),"2021-04-01 11:06:07 UTC",792.253726130397
"1.5",7116,"N ACACIA CLIFFS CT","Minor local road","0",1272.33560954824,"id",2.040521108e-06,c(-111.066114750121, 32.2381972971391),"2022-10-21 01:48:09 UTC",796.467378342672
"1.6",7116,"N ACACIA CLIFFS CT","Minor local road","0",1272.33560954824,"id",2.040521108e-06,c(-111.065813926142, 32.2382944908892),"2021-04-01 10:44:07 UTC",767.533790686483
"1.7",7116,"N ACACIA CLIFFS CT","Minor local road","0",1272.33560954824,"id",2.040521108e-06,c(-111.065818113749, 32.2382931379141),"2022-01-05 13:47:08 UTC",767.928593138771
"1.8",7116,"N ACACIA CLIFFS CT","Minor local road","0",1272.33560954824,"id",2.040521108e-06,c(-111.065854541113, 32.2382813685803),"2021-04-01 10:47:07 UTC",771.37271369729
"1.9",7116,"N ACACIA CLIFFS CT","Minor local road","0",1272.33560954824,"id",2.040521108e-06,c(-111.065837460213, 32.2382868872578),"2021-04-01 10:46:07 UTC",769.755574191009
"1.10",7116,"N ACACIA CLIFFS CT","Minor local road","0",1272.33560954824,"id",2.040521108e-06,c(-111.065860491757, 32.2382794459829),"2021-04-01 10:48:07 UTC",771.936992590821
"1.11",7116,"N ACACIA CLIFFS CT","Minor local road","0",1272.33560954824,"id",2.040521108e-06,c(-111.065969320503, 32.2382442843659),"2021-04-01 10:57:07 UTC",782.337547706838
"1.12",7116,"N ACACIA CLIFFS CT","Minor local road","0",1272.33560954824,"id",2.040521108e-06,c(-111.065972837937, 32.2382431479117),"2021-04-01 10:57:07 UTC",782.676218319184
