"","OBJECTID","STREET","ROADCAT_DS","SHIELD_NO","ShapeSTLen","id","area","geometry","Cross_Times","Passage_Distances"
"1",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.074451091347, 32.272296141968),"2023-11-04 08:51:16 UTC",3746.12661290653
"1.1",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.074439510732, 32.2722586031476),"2023-07-06 14:51:17 UTC",3746.47347819785
"1.2",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.07450183597, 32.2701395414963),"2023-08-07 15:06:12 UTC",3866.1032912416
"1.3",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.074533577375, 32.2701229762649),"2024-01-01 03:12:13 UTC",3870.85335336744
"1.4",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.074483770227, 32.2701489696556),"2023-12-03 08:20:09 UTC",3863.39984013123
"1.5",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.074034172235, 32.2714415294863),"2023-09-14 04:37:18 UTC",3737.73090681326
"1.6",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.073982808671, 32.2713444416492),"2023-08-26 04:03:11 UTC",3736.62644107152
"1.7",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.073840063955, 32.2710479893962),"2023-04-27 16:55:09 UTC",3735.38175790266
"1.8",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.073850856863, 32.2711219495427),"2023-08-11 23:59:15 UTC",3732.64157283776
"1.9",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.073854215653, 32.2711571898955),"2023-02-07 07:35:22 UTC",3731.13222389872
"1.10",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.073860793088, 32.2711846867074),"2023-05-05 06:34:16 UTC",3730.43678915332
"1.11",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.074070132418, 32.2703648379281),"2023-12-29 14:40:09 UTC",3801.51410707537
"1.12",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.073917737983, 32.2704703911165),"2023-02-07 20:41:19 UTC",3777.21555866653
"1.13",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.073924615052, 32.2704645133994),"2023-02-07 20:41:19 UTC",3778.37615283517
"1.14",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.073761109476, 32.270837511815),"2023-03-03 04:58:10 UTC",3737.56878963852
"1.15",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.073711462381, 32.2707579794175),"2023-12-03 08:30:09 UTC",3736.09988357973
"1.16",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.074127213158, 32.2716508647195),"2023-03-16 16:48:16 UTC",3738.19648044525
"1.17",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.074185808007, 32.2717677990817),"2024-01-01 02:13:14 UTC",3739.39763640109
"1.18",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.074137101949, 32.2716742495284),"2023-12-01 09:00:08 UTC",3738.20629430588
"1.19",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.074209615808, 32.2718135265627),"2024-01-01 02:12:14 UTC",3740.00333566199
"1.20",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.07420893089, 32.2718122110458),"2024-01-01 02:12:14 UTC",3739.98569628939
"1.21",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.074238568243, 32.27186913524),"2023-07-06 10:55:17 UTC",3740.76057945288
"1.22",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.074272243048, 32.2719338140373),"2023-08-21 14:57:11 UTC",3741.66984033911
"1.23",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.075030804076, 32.2699410685302),"2023-08-07 08:05:13 UTC",3940.73011150649
"1.24",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.075150521874, 32.2699174712942),"2023-04-20 11:00:08 UTC",3956.37421198018
"1.25",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.075234168047, 32.2699012235982),"2023-04-17 11:12:09 UTC",3967.29171605367
"1.26",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.075476816261, 32.2698583345999),"2023-10-20 08:21:02 UTC",3998.72045831831
"1.27",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.075509325059, 32.2698547173114),"2023-10-13 08:40:15 UTC",4002.80819170604
