"","OBJECTID","STREET","ROADCAT_DS","SHIELD_NO","ShapeSTLen","id","area","geometry","Cross_Times","Passage_Distances"
"1",7228,"N ANDROS PL","Minor local road","0",331.104651268196,"id",2.040521108e-06,c(-111.036297212172, 32.2420271076121),"2022-05-20 20:52:16 UTC",1997.30585139311
"1.1",7228,"N ANDROS PL","Minor local road","0",331.104651268196,"id",2.040521108e-06,c(-111.036298846726, 32.2420197404373),"2022-05-20 20:52:16 UTC",1996.97549461718
"1.2",7228,"N ANDROS PL","Minor local road","0",331.104651268196,"id",2.040521108e-06,c(-111.036298747691, 32.2420201868027),"2022-05-20 20:52:16 UTC",1996.99549344552
"1.3",7228,"N ANDROS PL","Minor local road","0",331.104651268196,"id",2.040521108e-06,c(-111.036292210894, 32.2420580482208),"2022-05-11 17:26:16 UTC",1998.9130355241
"1.4",7228,"N ANDROS PL","Minor local road","0",331.104651268196,"id",2.040521108e-06,c(-111.036301445238, 32.2420080285637),"2022-08-07 16:14:19 UTC",1996.45154136237
"1.5",7228,"N ANDROS PL","Minor local road","0",331.104651268196,"id",2.040521108e-06,c(-111.036307365567, 32.2419813447578),"2022-08-14 20:34:10 UTC",1995.26342278911
"1.6",7228,"N ANDROS PL","Minor local road","0",331.104651268196,"id",2.040521108e-06,c(-111.036317485024, 32.2419357348246),"2022-01-19 00:06:08 UTC",1993.25076533824
"1.7",7228,"N ANDROS PL","Minor local road","0",331.104651268196,"id",2.040521108e-06,c(-111.036321832105, 32.2419161418508),"2022-07-23 09:47:12 UTC",1992.39322548845
"1.8",7228,"N ANDROS PL","Minor local road","0",331.104651268196,"id",2.040521108e-06,c(-111.036291387931, 32.242316097539),"2022-08-27 21:05:09 UTC",2017.33813414347
"1.9",7228,"N ANDROS PL","Minor local road","0",331.104651268196,"id",2.040521108e-06,c(-111.036293016673, 32.2424319777221),"2022-03-21 02:06:11 UTC",2026.03049962962
"1.10",7228,"N ANDROS PL","Minor local road","0",331.104651268196,"id",2.040521108e-06,c(-111.036292683662, 32.2424047735816),"2022-01-19 03:22:08 UTC",2023.98502450149
"1.11",7228,"N ANDROS PL","Minor local road","0",331.104651268196,"id",2.040521108e-06,c(-111.036293966209, 32.2425095466111),"2022-02-07 03:58:09 UTC",2031.89782353448
"1.12",7228,"N ANDROS PL","Minor local road","0",331.104651268196,"id",2.040521108e-06,c(-111.036293866072, 32.2425013663095),"2022-07-21 00:05:10 UTC",2031.27663322162
"1.13",7228,"N ANDROS PL","Minor local road","0",331.104651268196,"id",2.040521108e-06,c(-111.03629369154, 32.2424871085477),"2022-08-14 22:20:09 UTC",2030.19530405532
"1.14",7228,"N ANDROS PL","Minor local road","0",331.104651268196,"id",2.040521108e-06,c(-111.036294100491, 32.2425205162487),"2022-06-12 21:40:13 UTC",2032.73172525783
"1.15",7228,"N ANDROS PL","Minor local road","0",331.104651268196,"id",2.040521108e-06,c(-111.036295822935, 32.242661224677),"2022-05-29 20:26:10 UTC",2043.51880587722
"2",7316,"N ATWOOD AV","Minor local road","0",1537.95644890826,"id",2.040521108e-06,c(-111.02845150006, 32.2427232041696),"2022-09-14 09:17:14 UTC",1277.91446152322
"2.1",7316,"N ATWOOD AV","Minor local road","0",1537.95644890826,"id",2.040521108e-06,c(-111.028458609677, 32.2424139533558),"2022-06-30 05:09:12 UTC",1240.90442407086
"2.2",7316,"N ATWOOD AV","Minor local road","0",1537.95644890826,"id",2.040521108e-06,c(-111.028460311752, 32.2423399169706),"2022-09-06 20:22:10 UTC",1232.14542106777
"3",7336,"N AVENIDA AZAHAR","Minor local road","0",1038.62000799327,"id",2.040521108e-06,c(-111.029639049855, 32.2450068920784),"2022-08-22 18:16:09 UTC",1406.25944995118
"4",7625,"N BLACKLAWN AV","Minor local road","0",362.664228567131,"id",2.040521108e-06,c(-111.02189346889, 32.2413541299501),"2022-09-13 23:17:25 UTC",714.072095100494
"4.1",7625,"N BLACKLAWN AV","Minor local road","0",362.664228567131,"id",2.040521108e-06,c(-111.021891713859, 32.2415754300106),"2022-09-14 01:31:28 UTC",747.637455264611
"5",7654,"N BLUE RIDGE RD","Minor local road","0",1531.9499973692,"id",2.040521108e-06,c(-111.039031668198, 32.2395230192842),"2022-08-16 11:06:38 UTC",2192.56993229862
"5.1",7654,"N BLUE RIDGE RD","Minor local road","0",1531.9499973692,"id",2.040521108e-06,c(-111.039022951676, 32.2395049473663),"2022-08-06 05:20:20 UTC",2190.79990111281
"5.2",7654,"N BLUE RIDGE RD","Minor local road","0",1531.9499973692,"id",2.040521108e-06,c(-111.038982718906, 32.2394300199603),"2022-07-26 19:21:11 UTC",2182.97578709147
"5.3",7654,"N BLUE RIDGE RD","Minor local road","0",1531.9499973692,"id",2.040521108e-06,c(-111.038974540602, 32.2394147890999),"2022-03-16 05:13:08 UTC",2181.39069974376
"5.4",7654,"N BLUE RIDGE RD","Minor local road","0",1531.9499973692,"id",2.040521108e-06,c(-111.03896712388, 32.239400976564),"2022-04-06 00:56:08 UTC",2179.95479175565
"5.5",7654,"N BLUE RIDGE RD","Minor local road","0",1531.9499973692,"id",2.040521108e-06,c(-111.038933430568, 32.2393407626572),"2022-09-05 21:43:14 UTC",2173.54182329711
"5.6",7654,"N BLUE RIDGE RD","Minor local road","0",1531.9499973692,"id",2.040521108e-06,c(-111.038951467685, 32.2393723975135),"2022-07-27 10:37:14 UTC",2176.9496041779
"5.7",7654,"N BLUE RIDGE RD","Minor local road","0",1531.9499973692,"id",2.040521108e-06,c(-111.039145372319, 32.2400382693009),"2022-02-26 03:19:09 UTC",2227.36678463177
"5.8",7654,"N BLUE RIDGE RD","Minor local road","0",1531.9499973692,"id",2.040521108e-06,c(-111.039149279648, 32.2402796910901),"2022-09-23 17:18:08 UTC",2238.36088321993
"5.9",7654,"N BLUE RIDGE RD","Minor local road","0",1531.9499973692,"id",2.040521108e-06,c(-111.039143448174, 32.2399730595686),"2022-07-29 19:46:11 UTC",2224.38386683018
"5.10",7654,"N BLUE RIDGE RD","Minor local road","0",1531.9499973692,"id",2.040521108e-06,c(-111.039139702368, 32.2398996652435),"2022-09-27 03:12:12 UTC",2220.87815014945
"5.11",7654,"N BLUE RIDGE RD","Minor local road","0",1531.9499973692,"id",2.040521108e-06,c(-111.039140086774, 32.2399071971847),"2022-09-27 03:12:12 UTC",2221.23558551872
"5.12",7654,"N BLUE RIDGE RD","Minor local road","0",1531.9499973692,"id",2.040521108e-06,c(-111.039139345979, 32.2398926822406),"2022-09-27 03:12:12 UTC",2220.54724238384
"5.13",7654,"N BLUE RIDGE RD","Minor local road","0",1531.9499973692,"id",2.040521108e-06,c(-111.03913817759, 32.2398697891003),"2022-03-01 20:36:08 UTC",2219.46561413273
"5.14",7654,"N BLUE RIDGE RD","Minor local road","0",1531.9499973692,"id",2.040521108e-06,c(-111.039132845098, 32.2398322522596),"2022-04-17 05:27:19 UTC",2217.27722108812
"5.15",7654,"N BLUE RIDGE RD","Minor local road","0",1531.9499973692,"id",2.040521108e-06,c(-111.03913433104, 32.2398403650894),"2022-04-17 05:27:19 UTC",2217.79064582765
"5.16",7654,"N BLUE RIDGE RD","Minor local road","0",1531.9499973692,"id",2.040521108e-06,c(-111.039128966651, 32.2398110770075),"2022-09-18 02:21:20 UTC",2215.93988688762
"5.17",7654,"N BLUE RIDGE RD","Minor local road","0",1531.9499973692,"id",2.040521108e-06,c(-111.039127424816, 32.2398026590109),"2022-09-18 02:21:20 UTC",2215.40935084149
"5.18",7654,"N BLUE RIDGE RD","Minor local road","0",1531.9499973692,"id",2.040521108e-06,c(-111.039116901429, 32.2397542328807),"2022-09-15 18:46:08 UTC",2212.16333402992
"5.19",7654,"N BLUE RIDGE RD","Minor local road","0",1531.9499973692,"id",2.040521108e-06,c(-111.039116580492, 32.2397530922464),"2022-09-15 18:46:08 UTC",2212.07801118238
"5.20",7654,"N BLUE RIDGE RD","Minor local road","0",1531.9499973692,"id",2.040521108e-06,c(-111.039121648814, 32.2397711236089),"2022-09-06 00:29:16 UTC",2213.4274712121
"5.21",7654,"N BLUE RIDGE RD","Minor local road","0",1531.9499973692,"id",2.040521108e-06,c(-111.039122095314, 32.2397735613789),"2022-09-06 00:29:16 UTC",2213.5803596625
