"","OBJECTID","STREET","ROADCAT_DS","SHIELD_NO","ShapeSTLen","id","area","geometry","Cross_Times","Passage_Distances"
"1",7116,"N ACACIA CLIFFS CT","Minor local road","0",1272.33560954824,"id",2.040521108e-06,c(-111.065672866901, 32.2383400656512),"2021-11-28 22:11:08 UTC",754.373586444845
"1.1",7116,"N ACACIA CLIFFS CT","Minor local road","0",1272.33560954824,"id",2.040521108e-06,c(-111.064858290359, 32.2398668733882),"2020-12-08 17:29:12 UTC",808.282631384889
"1.2",7116,"N ACACIA CLIFFS CT","Minor local road","0",1272.33560954824,"id",2.040521108e-06,c(-111.064793339051, 32.2396185977801),"2021-08-11 19:00:08 UTC",775.710393366717
"1.3",7116,"N ACACIA CLIFFS CT","Minor local road","0",1272.33560954824,"id",2.040521108e-06,c(-111.065002530871, 32.2401814813048),"2021-12-20 07:43:08 UTC",855.729064132155
"1.4",7116,"N ACACIA CLIFFS CT","Minor local road","0",1272.33560954824,"id",2.040521108e-06,c(-111.06492305791, 32.2400081404009),"2021-02-13 09:15:10 UTC",829.530261867018
"1.5",7116,"N ACACIA CLIFFS CT","Minor local road","0",1272.33560954824,"id",2.040521108e-06,c(-111.065050118339, 32.2402852754454),"2021-02-13 07:58:09 UTC",871.478678917189
"1.6",7116,"N ACACIA CLIFFS CT","Minor local road","0",1272.33560954824,"id",2.040521108e-06,c(-111.065053232528, 32.2402920678675),"2021-02-13 07:58:09 UTC",872.510896434981
"1.7",7116,"N ACACIA CLIFFS CT","Minor local road","0",1272.33560954824,"id",2.040521108e-06,c(-111.065073948809, 32.2403372525451),"2020-12-08 14:19:10 UTC",879.382125914721
"1.8",7116,"N ACACIA CLIFFS CT","Minor local road","0",1272.33560954824,"id",2.040521108e-06,c(-111.065118081998, 32.2404335121311),"2021-08-11 20:27:08 UTC",894.046830763382
"1.9",7116,"N ACACIA CLIFFS CT","Minor local road","0",1272.33560954824,"id",2.040521108e-06,c(-111.065201899247, 32.2406163266334),"2021-02-15 11:17:06 UTC",921.991817527451
"1.10",7116,"N ACACIA CLIFFS CT","Minor local road","0",1272.33560954824,"id",2.040521108e-06,c(-111.065215990637, 32.2406470614043),"2021-02-15 10:53:06 UTC",926.701407602835
"1.11",7116,"N ACACIA CLIFFS CT","Minor local road","0",1272.33560954824,"id",2.040521108e-06,c(-111.065215240268, 32.2406454247726),"2021-12-20 06:11:08 UTC",926.450540777787
"2",7627,"N BLACKTAIL CLIFFS CT","Minor local road","0",554.744328665893,"id",2.040521108e-06,c(-111.068260822836, 32.2386287866245),"2021-11-27 04:42:09 UTC",1077.70105272938
"2.1",7627,"N BLACKTAIL CLIFFS CT","Minor local road","0",554.744328665893,"id",2.040521108e-06,c(-111.068262269677, 32.2386366352891),"2021-11-01 19:07:06 UTC",1078.30695577275
"2.2",7627,"N BLACKTAIL CLIFFS CT","Minor local road","0",554.744328665893,"id",2.040521108e-06,c(-111.068250613589, 32.2385734045806),"2021-01-31 21:22:09 UTC",1073.45454234674
"2.3",7627,"N BLACKTAIL CLIFFS CT","Minor local road","0",554.744328665893,"id",2.040521108e-06,c(-111.068238145565, 32.2385057692693),"2021-11-24 07:50:34 UTC",1068.33776649759
"2.4",7627,"N BLACKTAIL CLIFFS CT","Minor local road","0",554.744328665893,"id",2.040521108e-06,c(-111.068393545248, 32.2393487589047),"2021-02-08 16:27:06 UTC",1137.28039096821
"2.5",7627,"N BLACKTAIL CLIFFS CT","Minor local road","0",554.744328665893,"id",2.040521108e-06,c(-111.068390798346, 32.2393338580467),"2021-02-08 17:43:06 UTC",1135.96953220845
"2.6",7627,"N BLACKTAIL CLIFFS CT","Minor local road","0",554.744328665893,"id",2.040521108e-06,c(-111.068375300361, 32.2392497875088),"2021-10-05 03:00:28 UTC",1128.63239341255
"2.7",7627,"N BLACKTAIL CLIFFS CT","Minor local road","0",554.744328665893,"id",2.040521108e-06,c(-111.068338534414, 32.2390503459305),"2021-12-15 17:36:06 UTC",1111.6347137234
"2.8",7627,"N BLACKTAIL CLIFFS CT","Minor local road","0",554.744328665893,"id",2.040521108e-06,c(-111.068321409981, 32.2389574519516),"2021-11-22 14:26:13 UTC",1103.91949098386
"2.9",7627,"N BLACKTAIL CLIFFS CT","Minor local road","0",554.744328665893,"id",2.040521108e-06,c(-111.068279351088, 32.2387292965505),"2021-01-31 20:00:08 UTC",1085.53621083725
"2.10",7627,"N BLACKTAIL CLIFFS CT","Minor local road","0",554.744328665893,"id",2.040521108e-06,c(-111.068278309592, 32.238723646772),"2021-12-10 16:39:06 UTC",1085.09144326708
"2.11",7627,"N BLACKTAIL CLIFFS CT","Minor local road","0",554.744328665893,"id",2.040521108e-06,c(-111.068268536694, 32.2386706319005),"2021-11-01 19:06:06 UTC",1080.94308724173
"2.12",7627,"N BLACKTAIL CLIFFS CT","Minor local road","0",554.744328665893,"id",2.040521108e-06,c(-111.068405917364, 32.2394158726809),"2021-08-14 14:37:13 UTC",1143.22287332079
"2.13",7627,"N BLACKTAIL CLIFFS CT","Minor local road","0",554.744328665893,"id",2.040521108e-06,c(-111.068412631681, 32.239452295122),"2021-03-03 17:12:04 UTC",1146.47387157828
"2.14",7627,"N BLACKTAIL CLIFFS CT","Minor local road","0",554.744328665893,"id",2.040521108e-06,c(-111.06841797049, 32.2394812559688),"2022-03-19 08:54:06 UTC",1149.07179876195
"2.15",7627,"N BLACKTAIL CLIFFS CT","Minor local road","0",554.744328665893,"id",2.040521108e-06,c(-111.068425908461, 32.239524316168),"2021-06-17 13:21:09 UTC",1152.95551439445
"2.16",7627,"N BLACKTAIL CLIFFS CT","Minor local road","0",554.744328665893,"id",2.040521108e-06,c(-111.068436600515, 32.2395823160612),"2021-06-17 14:08:09 UTC",1158.2259862476
"2.17",7627,"N BLACKTAIL CLIFFS CT","Minor local road","0",554.744328665893,"id",2.040521108e-06,c(-111.06845301056, 32.2396713335036),"2020-12-15 08:25:28 UTC",1166.40148958763
"3",7714,"N BOX CANYON PL","Minor local road","0",693.048947509557,"id",2.040521108e-06,c(-111.102795691472, 32.2444823868441),"2022-02-09 18:18:14 UTC",5612.56272532911
"3.1",7714,"N BOX CANYON PL","Minor local road","0",693.048947509557,"id",2.040521108e-06,c(-111.102794234113, 32.2445850793553),"2021-12-24 14:21:07 UTC",5615.95058806003
"3.2",7714,"N BOX CANYON PL","Minor local road","0",693.048947509557,"id",2.040521108e-06,c(-111.10279294096, 32.2445450577799),"2021-10-14 19:30:06 UTC",5614.39145034109
"3.3",7714,"N BOX CANYON PL","Minor local road","0",693.048947509557,"id",2.040521108e-06,c(-111.102742599606, 32.244893273715),"2021-09-28 08:52:26 UTC",5620.43947147924
"3.4",7714,"N BOX CANYON PL","Minor local road","0",693.048947509557,"id",2.040521108e-06,c(-111.102699696577, 32.2450146315519),"2022-02-18 23:51:18 UTC",5619.48751644892
"3.5",7714,"N BOX CANYON PL","Minor local road","0",693.048947509557,"id",2.040521108e-06,c(-111.102730317542, 32.2449483114437),"2022-05-10 19:04:04 UTC",5620.89893492496
"3.6",7714,"N BOX CANYON PL","Minor local road","0",693.048947509557,"id",2.040521108e-06,c(-111.102730856282, 32.2449458972765),"2022-05-10 19:04:04 UTC",5620.87851152154
"3.7",7714,"N BOX CANYON PL","Minor local road","0",693.048947509557,"id",2.040521108e-06,c(-111.101763388009, 32.2460123533595),"2022-01-14 09:55:09 UTC",5541.62624890833
"3.8",7714,"N BOX CANYON PL","Minor local road","0",693.048947509557,"id",2.040521108e-06,c(-111.102087084174, 32.2455230388481),"2020-11-25 06:51:07 UTC",5562.20149583091
