"","OBJECTID","STREET","ROADCAT_DS","SHIELD_NO","ShapeSTLen","id","area","geometry","Cross_Times","Passage_Distances"
"1",10299,"N LAZY PL","Minor local road","0",324.121035881379,"id",2.040521108e-06,c(-110.996045779663, 32.2206461690926),"2022-02-22 21:31:11 UTC",1443.6774599469
"2",11078,"N PANORAMA CI","Minor local road","0",213.713328798731,"id",2.040521108e-06,c(-110.996300489379, 32.2204930620588),"2022-02-22 21:21:10 UTC",1483.73425203898
"3",13002,"N TUMAMOC HILL RD","Minor local road","0",1751.16869154153,"id",2.040521108e-06,c(-111.001341303551, 32.2221429343919),"2022-02-23 09:45:08 UTC",849.260034875163
"4",14486,"S CACTUS WREN AV","Minor local road","0",2693.24323095567,"id",2.040521108e-06,c(-111.025545167829, 32.1621824800162),"2022-06-25 14:20:15 UTC",2754.42921978158
"4.1",14486,"S CACTUS WREN AV","Minor local road","0",2693.24323095567,"id",2.040521108e-06,c(-111.025540274507, 32.1608224643536),"2022-04-01 12:21:18 UTC",2730.03725043567
"4.2",14486,"S CACTUS WREN AV","Minor local road","0",2693.24323095567,"id",2.040521108e-06,c(-111.025541784097, 32.1612420335924),"2022-06-28 16:32:10 UTC",2735.91568099829
"4.3",14486,"S CACTUS WREN AV","Minor local road","0",2693.24323095567,"id",2.040521108e-06,c(-111.025541143086, 32.1610638740947),"2022-06-30 18:13:13 UTC",2733.23886541204
"5",14669,"S CAMINO DE LA PENA","Minor local road","0",1171.72985224737,"id",2.040521108e-06,c(-111.01761464263, 32.1641145617842),"2022-05-26 17:03:13 UTC",1839.49649799189
"5.1",14669,"S CAMINO DE LA PENA","Minor local road","0",1171.72985224737,"id",2.040521108e-06,c(-111.017637896532, 32.1641810382929),"2022-06-22 09:57:09 UTC",1846.20951201622
"5.2",14669,"S CAMINO DE LA PENA","Minor local road","0",1171.72985224737,"id",2.040521108e-06,c(-111.017675020295, 32.1642871647089),"2022-09-02 19:30:11 UTC",1857.00054776453
