"","OBJECTID","STREET","ROADCAT_DS","SHIELD_NO","ShapeSTLen","id","area","geometry","Cross_Times","Passage_Distances"
"1",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.074446900941, 32.2722797151268),"2021-06-24 17:17:10 UTC",3746.38491811775
"1.1",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.074451289294, 32.2722969179394),"2021-09-19 00:30:09 UTC",3746.11445370429
"1.2",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.07445462158, 32.2723191247877),"2021-05-17 08:47:09 UTC",3745.48169805943
"1.3",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.074438671962, 32.2722548942937),"2022-01-08 17:29:08 UTC",3746.545717831
"1.4",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.074426609012, 32.2722303016085),"2021-10-30 06:59:13 UTC",3746.22960039957
"1.5",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.0744001908, 32.2721795608347),"2021-06-24 13:08:13 UTC",3745.40368867896
"1.6",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.074391057456, 32.2721620186453),"2021-10-20 23:05:06 UTC",3745.12252502388
"1.7",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.074673856839, 32.2700467864865),"2022-02-10 07:43:06 UTC",3892.02228003758
"1.8",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.074601694616, 32.2700874271335),"2022-02-25 02:43:01 UTC",3881.04750499911
"1.9",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.074421777715, 32.2701813223053),"2021-03-11 11:14:07 UTC",3854.12332142344
"1.10",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.074448050594, 32.2701676110229),"2021-12-13 18:12:07 UTC",3858.05470930654
"1.11",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.074033271899, 32.271439827665),"2022-01-24 00:10:13 UTC",3737.71094717537
"1.12",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.073976684715, 32.2713328660821),"2021-04-26 12:37:07 UTC",3736.4994073756
"1.13",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.073924788819, 32.2712637467988),"2021-07-01 15:25:08 UTC",3733.90958667284
"1.14",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.073894487995, 32.2712262135206),"2021-09-17 21:32:11 UTC",3732.26395088118
"1.15",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.073845374911, 32.2710768522718),"2021-04-28 15:07:08 UTC",3734.44091963259
"1.16",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.073839041893, 32.2710424349046),"2022-01-15 17:29:08 UTC",3735.56339482988
"1.17",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.073804219799, 32.2709578933582),"2021-09-26 17:07:10 UTC",3736.03508765293
"1.18",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.073826755349, 32.271006764548),"2021-12-13 17:31:07 UTC",3736.0458002024
"1.19",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.074344911877, 32.2702214369715),"2021-05-13 03:12:07 UTC",3842.62194892795
"1.20",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.074308015163, 32.2702406925622),"2022-01-01 15:24:15 UTC",3837.10143300766
"1.21",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.074225218933, 32.2702839020413),"2022-02-01 16:51:14 UTC",3824.71413020354
"1.22",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.074050623028, 32.2703750193817),"2021-12-05 16:48:08 UTC",3798.59587604498
"1.23",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.073902709261, 32.2704832359147),"2021-04-06 00:19:17 UTC",3774.67948809086
"1.24",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.073893745825, 32.2704908968116),"2021-02-13 23:17:20 UTC",3773.16706821458
"1.25",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.07368343747, 32.2706940920094),"2021-07-24 11:20:14 UTC",3736.37434460148
"1.26",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.073738922769, 32.270623221143),"2021-12-23 19:04:20 UTC",3747.06059620441
"1.27",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.07370941579, 32.2706499528463),"2021-10-17 05:59:08 UTC",3742.00227646877
"1.28",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.073765620715, 32.2706004029561),"2021-11-17 08:23:53 UTC",3751.5601113952
"1.29",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.073746232739, 32.2706169734637),"2021-12-23 19:04:20 UTC",3748.29247848635
"1.30",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.073767184405, 32.270854886357),"2021-12-08 13:54:34 UTC",3737.32377571229
"1.31",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.073739949753, 32.2707986671002),"2021-09-06 08:46:36 UTC",3737.21542435651
"1.32",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.073717500815, 32.2707666039409),"2022-05-09 12:50:12 UTC",3736.33521474347
"1.33",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.073731741037, 32.2707869428347),"2022-01-01 14:09:14 UTC",3736.89259233541
"1.34",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.073696101337, 32.2707360396692),"2021-03-15 00:09:06 UTC",3735.50396798652
"1.35",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.074101613243, 32.2715870086988),"2021-12-19 02:45:06 UTC",3738.35950148944
"1.36",7291,"N ARROYO LN","Minor local road","0",1332.16820635545,"id",2.040521108e-06,c(-111.074115393806, 32.2716213827266),"2021-10-17 04:03:08 UTC",3738.26825469088
