"","OBJECTID","STREET","ROADCAT_DS","SHIELD_NO","ShapeSTLen","id","area","geometry","Cross_Times","Passage_Distances"
"1",7627,"N BLACKTAIL CLIFFS CT","Minor local road","0",554.744328665893,"id",2.040521108e-06,c(-111.06837650742, 32.2392563353391),"2022-06-08 14:39:12 UTC",1129.20023843374
"1.1",7627,"N BLACKTAIL CLIFFS CT","Minor local road","0",554.744328665893,"id",2.040521108e-06,c(-111.068313893678, 32.2389166786115),"2022-06-13 16:02:14 UTC",1100.57462319325
"1.2",7627,"N BLACKTAIL CLIFFS CT","Minor local road","0",554.744328665893,"id",2.040521108e-06,c(-111.068403719024, 32.2394039475723),"2022-08-23 15:51:09 UTC",1142.16242345303
"1.3",7627,"N BLACKTAIL CLIFFS CT","Minor local road","0",554.744328665893,"id",2.040521108e-06,c(-111.068424588559, 32.2395171562521),"2022-05-12 16:27:19 UTC",1152.3080097905
"2",7714,"N BOX CANYON PL","Minor local road","0",693.048947509557,"id",2.040521108e-06,c(-111.102792994863, 32.2445485664882),"2022-02-07 08:36:08 UTC",5614.52042079316
"2.1",7714,"N BOX CANYON PL","Minor local road","0",693.048947509557,"id",2.040521108e-06,c(-111.102792913265, 32.2445461623068),"2022-02-07 08:36:08 UTC",5614.4264315212
"2.2",7714,"N BOX CANYON PL","Minor local road","0",693.048947509557,"id",2.040521108e-06,c(-111.102783353553, 32.2447186519167),"2023-02-01 21:41:14 UTC",5619.29102450016
"2.3",7714,"N BOX CANYON PL","Minor local road","0",693.048947509557,"id",2.040521108e-06,c(-111.102777407193, 32.2447473520745),"2022-07-19 00:47:27 UTC",5619.56521048946
"2.4",7714,"N BOX CANYON PL","Minor local road","0",693.048947509557,"id",2.040521108e-06,c(-111.102773544205, 32.2447623503251),"2023-01-28 10:15:12 UTC",5619.61506168643
"2.5",7714,"N BOX CANYON PL","Minor local road","0",693.048947509557,"id",2.040521108e-06,c(-111.102741836121, 32.2448966950052),"2022-06-26 05:35:20 UTC",5620.46765820178
"2.6",7714,"N BOX CANYON PL","Minor local road","0",693.048947509557,"id",2.040521108e-06,c(-111.102731391614, 32.2449434983722),"2022-02-07 06:24:08 UTC",5620.8582417363
"2.7",7714,"N BOX CANYON PL","Minor local road","0",693.048947509557,"id",2.040521108e-06,c(-111.102679337726, 32.2450532458796),"2022-02-22 16:57:11 UTC",5618.35829466441
"2.8",7714,"N BOX CANYON PL","Minor local road","0",693.048947509557,"id",2.040521108e-06,c(-111.101753165209, 32.2460375356497),"2023-04-10 06:40:13 UTC",5541.40018163895
"2.9",7714,"N BOX CANYON PL","Minor local road","0",693.048947509557,"id",2.040521108e-06,c(-111.101758577746, 32.2460242027024),"2022-09-21 08:53:16 UTC",5541.51950737996
"2.10",7714,"N BOX CANYON PL","Minor local road","0",693.048947509557,"id",2.040521108e-06,c(-111.101916099228, 32.2456732797885),"2022-06-29 18:14:11 UTC",5546.83360367997
"2.11",7714,"N BOX CANYON PL","Minor local road","0",693.048947509557,"id",2.040521108e-06,c(-111.102600409758, 32.2451291526135),"2023-04-09 17:12:11 UTC",5611.28912140529
"3",7920,"N CALLE DEL SUERTE","Minor local road","0",1071.34561233081,"id",2.040521108e-06,c(-111.065553108235, 32.2441538479436),"2022-05-03 16:52:13 UTC",1392.93888863574
"3.1",7920,"N CALLE DEL SUERTE","Minor local road","0",1071.34561233081,"id",2.040521108e-06,c(-111.065625813723, 32.2439057564384),"2022-05-27 16:44:14 UTC",1364.32545120758
"3.2",7920,"N CALLE DEL SUERTE","Minor local road","0",1071.34561233081,"id",2.040521108e-06,c(-111.065629727448, 32.2438033737217),"2022-08-09 14:34:17 UTC",1351.00445711582
"3.3",7920,"N CALLE DEL SUERTE","Minor local road","0",1071.34561233081,"id",2.040521108e-06,c(-111.065643068308, 32.2433949937051),"2022-06-23 14:14:19 UTC",1298.21738383035
"3.4",7920,"N CALLE DEL SUERTE","Minor local road","0",1071.34561233081,"id",2.040521108e-06,c(-111.065649319849, 32.243203625124),"2022-08-09 13:53:15 UTC",1273.76993738841
"3.5",7920,"N CALLE DEL SUERTE","Minor local road","0",1071.34561233081,"id",2.040521108e-06,c(-111.065646727006, 32.2432829958373),"2022-08-25 13:24:11 UTC",1283.88605985995
"3.6",7920,"N CALLE DEL SUERTE","Minor local road","0",1071.34561233081,"id",2.040521108e-06,c(-111.065664225249, 32.2427473463552),"2022-05-01 18:17:16 UTC",1216.30609542695
"3.7",7920,"N CALLE DEL SUERTE","Minor local road","0",1071.34561233081,"id",2.040521108e-06,c(-111.065668562195, 32.2426145844385),"2022-09-02 15:27:09 UTC",1199.82255504077
"3.8",7920,"N CALLE DEL SUERTE","Minor local road","0",1071.34561233081,"id",2.040521108e-06,c(-111.065655375049, 32.2430182660541),"2022-05-22 17:28:15 UTC",1250.28004938315
