"","OBJECTID","STREET","ROADCAT_DS","SHIELD_NO","ShapeSTLen","id","area","geometry","Cross_Times","Passage_Distances"
"1",7316,"N ATWOOD AV","Minor local road","0",1537.95644890826,"id",2.040521108e-06,c(-111.028449789903, 32.2429069670437),"2024-03-07 09:26:18 UTC",1300.40244837612
"2",7317,"N ATWOOD AV","Minor local road","0",319.613042942781,"id",2.040521108e-06,c(-111.028537694524, 32.2477094483449),"2024-03-12 18:08:10 UTC",1067.70582217168
"3",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.034961079351, 32.2714853207917),"2024-04-20 10:44:22 UTC",1908.29028408033
"3.1",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.035072780346, 32.2714429915381),"2024-01-31 18:01:08 UTC",1901.8262707137
"3.2",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.035111424836, 32.2714302439452),"2023-12-27 10:28:09 UTC",1899.4218622531
"3.3",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.035107448785, 32.2714315071564),"2023-12-27 10:28:09 UTC",1899.67362422702
"3.4",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.035129663232, 32.271424449515),"2023-12-27 10:28:09 UTC",1898.26861479146
"3.5",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.035301698035, 32.2713612991351),"2024-04-24 10:55:25 UTC",1888.39928013422
"3.6",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.035476745328, 32.2712194247935),"2024-04-18 17:22:06 UTC",1886.77727334
"3.7",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.035556812244, 32.2710822310737),"2024-04-24 10:51:25 UTC",1893.89615859086
"3.8",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.035575405457, 32.2710443672326),"2024-04-24 10:51:25 UTC",1896.22815490934
"3.9",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.035934155284, 32.2703386236253),"2024-04-25 16:50:11 UTC",1941.79120845922
