"","OBJECTID","STREET","ROADCAT_DS","SHIELD_NO","ShapeSTLen","id","area","geometry","Cross_Times","Passage_Distances"
"1",7118,"N ACACIA LN","Minor local road","0",1556.39010609499,"id",2.040521108e-06,c(-111.067238837594, 32.2974661600163),"2023-02-19 11:37:17 UTC",2518.43680590331
"1.1",7118,"N ACACIA LN","Minor local road","0",1556.39010609499,"id",2.040521108e-06,c(-111.066681867172, 32.2975575793279),"2023-02-19 14:48:16 UTC",2448.79831714547
"2",7336,"N AVENIDA AZAHAR","Minor local road","0",1038.62000799327,"id",2.040521108e-06,c(-111.029640645985, 32.2447119116201),"2023-05-18 15:25:09 UTC",1434.45531630843
"3",7421,"N AVENIDA LARGO","Minor local road","0",3888.99397317673,"id",2.040521108e-06,c(-111.079053220533, 32.3001941873574),"2023-04-19 08:58:18 UTC",3818.0712089631
"3.1",7421,"N AVENIDA LARGO","Minor local road","0",3888.99397317673,"id",2.040521108e-06,c(-111.07762659019, 32.2958031455282),"2023-04-19 02:25:21 UTC",3838.99039491293
"4",7508,"N BANNER MINE DR","Minor local road","0",2384.38912622077,"id",2.040521108e-06,c(-111.054968016838, 32.2752815606687),"2023-01-19 08:16:14 UTC",1262.35191935917
"4.1",7508,"N BANNER MINE DR","Minor local road","0",2384.38912622077,"id",2.040521108e-06,c(-111.054957916045, 32.2752935838562),"2023-03-01 08:48:22 UTC",1260.25086131421
"4.2",7508,"N BANNER MINE DR","Minor local road","0",2384.38912622077,"id",2.040521108e-06,c(-111.054922070196, 32.2753362518977),"2023-03-13 08:11:19 UTC",1252.79862020766
"4.3",7508,"N BANNER MINE DR","Minor local road","0",2384.38912622077,"id",2.040521108e-06,c(-111.054789014892, 32.2754921386661),"2023-01-20 21:47:15 UTC",1225.40099906851
"4.4",7508,"N BANNER MINE DR","Minor local road","0",2384.38912622077,"id",2.040521108e-06,c(-111.054564222098, 32.275754242854),"2023-01-13 08:18:19 UTC",1179.4198611993
"4.5",7508,"N BANNER MINE DR","Minor local road","0",2384.38912622077,"id",2.040521108e-06,c(-111.054601815898, 32.2757104093207),"2023-01-13 22:09:24 UTC",1187.0911759832
