"","OBJECTID","STREET","ROADCAT_DS","SHIELD_NO","ShapeSTLen","id","area","geometry","Cross_Times","Passage_Distances"
"1",7209,"N AMBERBROOKE AV","Minor local road","0",754.617714599808,"id",2.040521108e-06,c(-111.021104295868, 32.2415583653151),"2022-03-09 17:05:12 UTC",745.512047249765
"2",7316,"N ATWOOD AV","Minor local road","0",1537.95644890826,"id",2.040521108e-06,c(-111.028451263813, 32.2427462800471),"2022-03-09 20:01:11 UTC",1280.72493989979
"3",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.034906414634, 32.2715092363047),"2023-02-08 08:32:18 UTC",1911.17176187018
"3.1",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.034899321499, 32.2715125374717),"2023-02-08 08:32:18 UTC",1911.52787925102
"3.2",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.03492160414, 32.2715023232028),"2023-02-24 14:16:11 UTC",1910.39515177924
"3.3",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.034942484853, 32.2714931209531),"2022-07-22 07:33:10 UTC",1909.30094839191
"3.4",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.034951303996, 32.2714894214325),"2023-04-11 19:11:22 UTC",1908.82120108172
"3.5",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.034951605386, 32.271489295003),"2023-04-11 19:11:22 UTC",1908.80481872531
"3.6",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.03504246923, 32.2714536652795),"2023-03-15 18:54:10 UTC",1903.6520612336
"3.7",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.035007153545, 32.2714670149297),"2023-03-29 19:57:10 UTC",1905.69647143067
"3.8",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.035089700465, 32.2714373327654),"2023-02-27 21:31:07 UTC",1900.77992359479
"3.9",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.035146185835, 32.2714194881578),"2023-05-24 17:09:17 UTC",1897.19667869383
"3.10",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.035173284761, 32.2714114728347),"2023-03-12 19:05:12 UTC",1895.43063152221
"3.11",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.035172192179, 32.271411793036),"2023-03-12 19:05:12 UTC",1895.5020308009
"3.12",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.035189065821, 32.271406846732),"2023-03-24 19:29:11 UTC",1894.40048418559
"3.13",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.035211727511, 32.2713997443079),"2022-07-31 13:19:08 UTC",1892.97169338927
"3.14",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.035321438799, 32.2713505415465),"2022-06-30 12:20:15 UTC",1887.64718957898
"3.15",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.035314800281, 32.27135419039),"2022-06-30 12:20:15 UTC",1887.89636268664
"3.16",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.035296038201, 32.2713642519479),"2022-06-30 12:20:15 UTC",1888.62934761632
"3.17",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.035254306528, 32.2713834716957),"2022-05-16 15:58:13 UTC",1890.59990516474
"3.18",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.035248381829, 32.2713858811321),"2022-05-16 15:58:13 UTC",1890.91400027528
"3.19",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.035238757062, 32.2713899233983),"2022-07-22 16:23:12 UTC",1891.41176397655
"3.20",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.035353927741, 32.2713305440854),"2022-03-06 11:32:07 UTC",1886.65764566632
"3.21",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.035435751299, 32.2712648496235),"2022-05-16 11:36:16 UTC",1885.83202445823
"3.22",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.035461239275, 32.2712376025345),"2022-07-02 15:46:08 UTC",1886.31041863356
"3.23",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.03552977516, 32.271136563892),"2022-02-05 16:09:09 UTC",1890.61374141925
"3.24",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.035523932215, 32.271147968386),"2022-02-05 16:09:09 UTC",1889.94497161656
"3.25",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.035569985103, 32.271055405427),"2022-02-05 16:08:09 UTC",1895.54650155829
"3.26",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.035962988104, 32.2702851750754),"2023-02-17 14:03:10 UTC",1945.34088758167
"3.27",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.036079043525, 32.2700700378036),"2023-02-17 14:10:10 UTC",1959.97583639354
"3.28",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.036031861561, 32.2701575013163),"2023-02-17 14:07:10 UTC",1953.95938920939
"3.29",7330,"N AVENIDA ALBOR","Minor local road","0",3189.64421097403,"id",2.040521108e-06,c(-111.036022157, 32.2701754911116),"2023-03-29 16:58:12 UTC",1952.73318460919
