"","ID","Road_Crossings"
"1","Ben",2780
"2","Ben",2717
"3","Ben",2671
"4","Ben",2827
"5","Ben",2775
"6","Ben",2655
"7","Ben",2609
"8","Ben",2784
"9","Ben",2672
"10","Ben",2827
"11","Ben",2746
"12","Ben",2720
"13","Ben",2763
"14","Ben",2673
"15","Ben",2785
"16","Ben",2914
"17","Ben",2734
"18","Ben",2732
"19","Ben",2669
"20","Ben",2689
"21","Ben",2707
"22","Ben",2794
"23","Ben",2544
"24","Ben",2746
"25","Ben",2843
"26","Ben",2739
"27","Ben",2732
"28","Ben",2745
"29","Ben",2655
"30","Ben",2715
"31","Ben",2682
"32","Ben",2828
"33","Ben",2618
"34","Ben",2597
"35","Ben",2786
"36","Ben",2846
"37","Ben",2717
"38","Ben",2734
"39","Ben",2773
"40","Ben",2765
"41","Ben",2751
"42","Ben",2769
"43","Ben",2621
"44","Ben",2671
"45","Ben",2777
"46","Ben",2813
"47","Ben",2675
"48","Ben",2802
"49","Ben",2981
"50","Ben",2843
"51","Ben",2794
"52","Ben",2685
"53","Ben",2925
"54","Ben",2773
"55","Ben",2762
"56","Ben",2586
"57","Ben",2820
"58","Ben",2774
"59","Ben",2790
"60","Ben",2885
"61","Ben",2727
"62","Ben",2731
"63","Ben",2692
"64","Ben",2630
"65","Ben",2778
"66","Ben",2608
"67","Ben",2792
"68","Ben",2739
"69","Ben",2851
"70","Ben",2713
"71","Ben",2677
"72","Ben",2750
"73","Ben",2777
"74","Ben",2800
"75","Ben",2666
"76","Ben",2848
"77","Ben",2731
"78","Ben",2752
"79","Ben",2743
"80","Ben",2771
"81","Ben",2846
"82","Ben",2741
"83","Ben",2731
"84","Ben",2783
"85","Ben",2761
"86","Ben",2822
"87","Ben",2835
"88","Ben",2873
"89","Ben",2708
"90","Ben",2730
"91","Ben",2640
"92","Ben",2822
"93","Ben",2654
"94","Ben",2713
"95","Ben",2844
"96","Ben",2887
"97","Ben",2624
"98","Ben",2751
"99","Ben",2769
"100","Ben",2811
"101","Ben",2877
"102","Ben",2768
"103","Ben",2891
"104","Ben",2799
