"","ID","Road_Crossings"
"1","BobbiJo",6530
"2","BobbiJo",6928
"3","BobbiJo",6506
"4","BobbiJo",6838
"5","BobbiJo",6244
"6","BobbiJo",6515
"7","BobbiJo",6312
"8","BobbiJo",6539
"9","BobbiJo",6398
"10","BobbiJo",7051
"11","BobbiJo",6607
"12","BobbiJo",6783
"13","BobbiJo",6972
"14","BobbiJo",6631
"15","BobbiJo",6632
"16","BobbiJo",6595
"17","BobbiJo",6391
"18","BobbiJo",6685
"19","BobbiJo",6637
"20","BobbiJo",6544
"21","BobbiJo",6661
"22","BobbiJo",6686
"23","BobbiJo",6799
"24","BobbiJo",6591
"25","BobbiJo",6814
"26","BobbiJo",6670
"27","BobbiJo",6485
"28","BobbiJo",6591
"29","BobbiJo",6731
"30","BobbiJo",6482
"31","BobbiJo",6570
"32","BobbiJo",6567
"33","BobbiJo",7050
"34","BobbiJo",6678
"35","BobbiJo",6545
"36","BobbiJo",6630
"37","BobbiJo",6561
"38","BobbiJo",6722
"39","BobbiJo",6611
"40","BobbiJo",6566
"41","BobbiJo",6521
"42","BobbiJo",6404
"43","BobbiJo",6689
"44","BobbiJo",6736
"45","BobbiJo",6352
"46","BobbiJo",6645
"47","BobbiJo",6582
"48","BobbiJo",6526
"49","BobbiJo",6515
"50","BobbiJo",6720
"51","BobbiJo",6617
"52","BobbiJo",7027
"53","BobbiJo",6634
"54","BobbiJo",6674
"55","BobbiJo",6755
"56","BobbiJo",6852
"57","BobbiJo",6700
"58","BobbiJo",6649
"59","BobbiJo",6775
"60","BobbiJo",6448
"61","BobbiJo",6724
"62","BobbiJo",6915
"63","BobbiJo",6784
"64","BobbiJo",6828
"65","BobbiJo",6477
"66","BobbiJo",6616
"67","BobbiJo",6530
"68","BobbiJo",6514
"69","BobbiJo",6283
"70","BobbiJo",6923
"71","BobbiJo",6851
"72","BobbiJo",6530
"73","BobbiJo",6702
"74","BobbiJo",6803
"75","BobbiJo",6405
"76","BobbiJo",6397
"77","BobbiJo",6813
"78","BobbiJo",6934
"79","BobbiJo",6370
"80","BobbiJo",6663
"81","BobbiJo",6832
"82","BobbiJo",6479
"83","BobbiJo",6711
"84","BobbiJo",6174
"85","BobbiJo",6487
"86","BobbiJo",6782
"87","BobbiJo",6449
"88","BobbiJo",6116
"89","BobbiJo",6465
"90","BobbiJo",6510
"91","BobbiJo",6525
"92","BobbiJo",6711
"93","BobbiJo",6815
"94","BobbiJo",6686
"95","BobbiJo",6692
"96","BobbiJo",6783
"97","BobbiJo",6788
"98","BobbiJo",6465
"99","BobbiJo",6434
"100","BobbiJo",6522
"101","BobbiJo",6888
"102","BobbiJo",6376
"103","BobbiJo",6736
"104","BobbiJo",6535
"105","BobbiJo",6678
"106","BobbiJo",6415
"107","BobbiJo",6759
"108","BobbiJo",6534
"109","BobbiJo",6641
"110","BobbiJo",6460
"111","BobbiJo",6502
"112","BobbiJo",6784
"113","BobbiJo",6579
"114","BobbiJo",6870
"115","BobbiJo",6450
"116","BobbiJo",6984
"117","BobbiJo",6639
"118","BobbiJo",6509
"119","BobbiJo",6663
"120","BobbiJo",6750
"121","BobbiJo",6710
"122","BobbiJo",6762
"123","BobbiJo",6457
"124","BobbiJo",6370
"125","BobbiJo",6608
"126","BobbiJo",6563
"127","BobbiJo",6684
"128","BobbiJo",6872
"129","BobbiJo",6585
"130","BobbiJo",6606
"131","BobbiJo",6615
"132","BobbiJo",6892
"133","BobbiJo",6654
"134","BobbiJo",6800
"135","BobbiJo",6535
"136","BobbiJo",6411
"137","BobbiJo",6730
"138","BobbiJo",6427
"139","BobbiJo",6676
"140","BobbiJo",6623
"141","BobbiJo",6524
"142","BobbiJo",6757
"143","BobbiJo",6686
"144","BobbiJo",6721
"145","BobbiJo",6484
"146","BobbiJo",6841
"147","BobbiJo",6806
"148","BobbiJo",6686
"149","BobbiJo",6492
"150","BobbiJo",6917
"151","BobbiJo",6834
"152","BobbiJo",6613
"153","BobbiJo",6664
"154","BobbiJo",6523
"155","BobbiJo",6859
"156","BobbiJo",6583
"157","BobbiJo",6493
"158","BobbiJo",6991
"159","BobbiJo",6916
"160","BobbiJo",6584
"161","BobbiJo",6346
"162","BobbiJo",6878
"163","BobbiJo",6955
"164","BobbiJo",6427
"165","BobbiJo",6255
"166","BobbiJo",6462
"167","BobbiJo",6466
"168","BobbiJo",6753
"169","BobbiJo",6838
