"","ID","Road_Crossings"
"1","Carrie",6590
"2","Carrie",6340
"3","Carrie",6593
"4","Carrie",6316
"5","Carrie",6521
"6","Carrie",6216
"7","Carrie",6489
"8","Carrie",6559
"9","Carrie",6369
"10","Carrie",6333
"11","Carrie",6534
"12","Carrie",6541
"13","Carrie",6510
"14","Carrie",6617
"15","Carrie",6282
"16","Carrie",6597
"17","Carrie",6331
"18","Carrie",6676
"19","Carrie",6526
"20","Carrie",6276
"21","Carrie",6457
"22","Carrie",6588
"23","Carrie",6496
"24","Carrie",6376
"25","Carrie",6569
"26","Carrie",6656
"27","Carrie",6730
"28","Carrie",6431
"29","Carrie",6483
"30","Carrie",6715
"31","Carrie",6371
"32","Carrie",6560
"33","Carrie",6681
"34","Carrie",6382
"35","Carrie",6585
"36","Carrie",6603
"37","Carrie",6532
"38","Carrie",6476
"39","Carrie",6624
"40","Carrie",6765
"41","Carrie",6574
"42","Carrie",6254
"43","Carrie",6574
"44","Carrie",6540
"45","Carrie",6334
"46","Carrie",6658
"47","Carrie",6573
"48","Carrie",6638
"49","Carrie",6539
"50","Carrie",6548
"51","Carrie",6391
"52","Carrie",6471
"53","Carrie",6315
"54","Carrie",6367
"55","Carrie",6550
"56","Carrie",6362
"57","Carrie",6460
"58","Carrie",6510
"59","Carrie",6379
"60","Carrie",6318
"61","Carrie",6490
"62","Carrie",6623
"63","Carrie",6654
"64","Carrie",6419
"65","Carrie",6755
"66","Carrie",6692
"67","Carrie",6894
"68","Carrie",6515
"69","Carrie",6554
"70","Carrie",6686
"71","Carrie",6479
"72","Carrie",6479
"73","Carrie",6765
"74","Carrie",6397
"75","Carrie",6282
"76","Carrie",6624
"77","Carrie",6409
"78","Carrie",6482
"79","Carrie",6595
"80","Carrie",6648
"81","Carrie",6599
"82","Carrie",6570
"83","Carrie",6501
"84","Carrie",6513
"85","Carrie",6462
"86","Carrie",6263
"87","Carrie",6923
"88","Carrie",6467
"89","Carrie",6444
