"","ID","Road_Crossings"
"1","Cassidy",91
"2","Cassidy",85
"3","Cassidy",115
"4","Cassidy",95
"5","Cassidy",105
"6","Cassidy",123
"7","Cassidy",94
"8","Cassidy",104
"9","Cassidy",115
"10","Cassidy",80
"11","Cassidy",132
"12","Cassidy",90
"13","Cassidy",74
"14","Cassidy",105
"15","Cassidy",96
"16","Cassidy",82
"17","Cassidy",81
"18","Cassidy",130
"19","Cassidy",98
"20","Cassidy",82
"21","Cassidy",87
"22","Cassidy",65
"23","Cassidy",94
"24","Cassidy",116
"25","Cassidy",112
"26","Cassidy",88
"27","Cassidy",74
"28","Cassidy",91
"29","Cassidy",85
"30","Cassidy",102
"31","Cassidy",103
"32","Cassidy",115
"33","Cassidy",79
"34","Cassidy",119
"35","Cassidy",137
"36","Cassidy",115
"37","Cassidy",94
"38","Cassidy",107
"39","Cassidy",122
"40","Cassidy",98
"41","Cassidy",99
"42","Cassidy",87
"43","Cassidy",85
"44","Cassidy",80
"45","Cassidy",103
"46","Cassidy",95
"47","Cassidy",116
"48","Cassidy",98
"49","Cassidy",149
"50","Cassidy",97
"51","Cassidy",121
"52","Cassidy",105
"53","Cassidy",100
"54","Cassidy",124
"55","Cassidy",104
"56","Cassidy",88
"57","Cassidy",147
"58","Cassidy",86
"59","Cassidy",84
"60","Cassidy",105
"61","Cassidy",93
"62","Cassidy",91
"63","Cassidy",101
"64","Cassidy",84
"65","Cassidy",92
"66","Cassidy",89
"67","Cassidy",85
"68","Cassidy",86
"69","Cassidy",95
"70","Cassidy",107
"71","Cassidy",129
"72","Cassidy",80
"73","Cassidy",89
"74","Cassidy",113
"75","Cassidy",85
"76","Cassidy",113
"77","Cassidy",116
"78","Cassidy",106
"79","Cassidy",87
"80","Cassidy",86
"81","Cassidy",108
"82","Cassidy",114
"83","Cassidy",142
"84","Cassidy",84
"85","Cassidy",79
"86","Cassidy",90
"87","Cassidy",96
"88","Cassidy",97
"89","Cassidy",77
"90","Cassidy",96
"91","Cassidy",74
"92","Cassidy",78
"93","Cassidy",109
"94","Cassidy",132
"95","Cassidy",138
"96","Cassidy",101
"97","Cassidy",73
"98","Cassidy",76
"99","Cassidy",69
"100","Cassidy",89
"101","Cassidy",100
"102","Cassidy",84
"103","Cassidy",96
"104","Cassidy",98
"105","Cassidy",76
"106","Cassidy",108
"107","Cassidy",111
"108","Cassidy",114
"109","Cassidy",95
"110","Cassidy",118
"111","Cassidy",100
"112","Cassidy",94
"113","Cassidy",97
"114","Cassidy",138
"115","Cassidy",121
"116","Cassidy",92
"117","Cassidy",109
"118","Cassidy",88
"119","Cassidy",86
"120","Cassidy",166
"121","Cassidy",76
"122","Cassidy",92
"123","Cassidy",131
"124","Cassidy",122
"125","Cassidy",117
"126","Cassidy",80
"127","Cassidy",99
"128","Cassidy",130
"129","Cassidy",80
"130","Cassidy",122
"131","Cassidy",105
"132","Cassidy",128
"133","Cassidy",97
"134","Cassidy",108
"135","Cassidy",96
"136","Cassidy",129
"137","Cassidy",98
"138","Cassidy",96
"139","Cassidy",73
"140","Cassidy",62
"141","Cassidy",83
"142","Cassidy",114
"143","Cassidy",101
"144","Cassidy",104
"145","Cassidy",129
"146","Cassidy",121
"147","Cassidy",131
"148","Cassidy",74
"149","Cassidy",81
"150","Cassidy",98
"151","Cassidy",101
"152","Cassidy",99
"153","Cassidy",125
"154","Cassidy",94
"155","Cassidy",116
"156","Cassidy",94
"157","Cassidy",116
"158","Cassidy",85
"159","Cassidy",106
"160","Cassidy",90
"161","Cassidy",144
"162","Cassidy",95
"163","Cassidy",86
"164","Cassidy",91
"165","Cassidy",80
"166","Cassidy",135
"167","Cassidy",111
"168","Cassidy",114
"169","Cassidy",100
"170","Cassidy",116
"171","Cassidy",94
"172","Cassidy",78
"173","Cassidy",102
"174","Cassidy",106
"175","Cassidy",120
"176","Cassidy",77
"177","Cassidy",85
"178","Cassidy",77
"179","Cassidy",86
"180","Cassidy",137
"181","Cassidy",136
"182","Cassidy",84
"183","Cassidy",80
"184","Cassidy",113
"185","Cassidy",112
"186","Cassidy",123
"187","Cassidy",83
"188","Cassidy",69
"189","Cassidy",100
"190","Cassidy",124
"191","Cassidy",70
"192","Cassidy",119
"193","Cassidy",87
"194","Cassidy",88
"195","Cassidy",92
"196","Cassidy",83
"197","Cassidy",82
"198","Cassidy",110
"199","Cassidy",96
"200","Cassidy",97
"201","Cassidy",84
"202","Cassidy",102
"203","Cassidy",79
"204","Cassidy",80
"205","Cassidy",111
"206","Cassidy",86
"207","Cassidy",118
"208","Cassidy",101
"209","Cassidy",102
"210","Cassidy",106
"211","Cassidy",125
"212","Cassidy",144
"213","Cassidy",129
"214","Cassidy",92
"215","Cassidy",75
