"","ID","Road_Crossings"
"1","Catherine",101
"2","Catherine",154
"3","Catherine",104
"4","Catherine",125
"5","Catherine",112
"6","Catherine",101
"7","Catherine",127
"8","Catherine",137
"9","Catherine",117
"10","Catherine",130
"11","Catherine",116
"12","Catherine",142
"13","Catherine",108
"14","Catherine",115
"15","Catherine",104
"16","Catherine",118
"17","Catherine",129
"18","Catherine",128
"19","Catherine",116
"20","Catherine",109
"21","Catherine",104
"22","Catherine",102
"23","Catherine",133
"24","Catherine",126
"25","Catherine",143
"26","Catherine",109
"27","Catherine",110
"28","Catherine",133
"29","Catherine",113
"30","Catherine",137
"31","Catherine",128
"32","Catherine",119
"33","Catherine",124
"34","Catherine",113
"35","Catherine",107
"36","Catherine",112
"37","Catherine",135
"38","Catherine",114
"39","Catherine",153
"40","Catherine",102
"41","Catherine",142
"42","Catherine",88
"43","Catherine",117
"44","Catherine",115
"45","Catherine",122
"46","Catherine",109
"47","Catherine",159
"48","Catherine",124
"49","Catherine",89
"50","Catherine",136
"51","Catherine",120
"52","Catherine",119
"53","Catherine",107
"54","Catherine",101
"55","Catherine",137
"56","Catherine",113
"57","Catherine",101
"58","Catherine",137
"59","Catherine",124
"60","Catherine",106
"61","Catherine",108
"62","Catherine",131
"63","Catherine",130
"64","Catherine",101
"65","Catherine",118
"66","Catherine",129
"67","Catherine",125
"68","Catherine",107
"69","Catherine",120
"70","Catherine",127
"71","Catherine",110
"72","Catherine",136
"73","Catherine",97
"74","Catherine",146
"75","Catherine",102
"76","Catherine",109
"77","Catherine",88
"78","Catherine",108
"79","Catherine",102
"80","Catherine",113
"81","Catherine",131
"82","Catherine",111
"83","Catherine",148
"84","Catherine",112
"85","Catherine",124
"86","Catherine",133
"87","Catherine",106
"88","Catherine",88
"89","Catherine",136
"90","Catherine",84
"91","Catherine",135
"92","Catherine",111
"93","Catherine",132
"94","Catherine",113
"95","Catherine",118
"96","Catherine",125
"97","Catherine",143
"98","Catherine",117
"99","Catherine",123
"100","Catherine",122
"101","Catherine",98
"102","Catherine",158
"103","Catherine",116
"104","Catherine",94
"105","Catherine",121
"106","Catherine",114
"107","Catherine",116
"108","Catherine",132
"109","Catherine",107
"110","Catherine",129
"111","Catherine",115
"112","Catherine",121
"113","Catherine",132
"114","Catherine",130
"115","Catherine",93
"116","Catherine",126
"117","Catherine",118
"118","Catherine",124
"119","Catherine",102
"120","Catherine",124
"121","Catherine",90
"122","Catherine",102
"123","Catherine",130
"124","Catherine",131
"125","Catherine",111
"126","Catherine",119
"127","Catherine",115
"128","Catherine",115
"129","Catherine",103
"130","Catherine",115
"131","Catherine",128
"132","Catherine",117
"133","Catherine",126
"134","Catherine",103
"135","Catherine",120
"136","Catherine",103
"137","Catherine",117
"138","Catherine",116
"139","Catherine",115
"140","Catherine",108
"141","Catherine",101
"142","Catherine",120
"143","Catherine",98
"144","Catherine",107
"145","Catherine",135
"146","Catherine",125
"147","Catherine",118
"148","Catherine",98
"149","Catherine",114
"150","Catherine",128
"151","Catherine",123
"152","Catherine",113
"153","Catherine",105
"154","Catherine",113
"155","Catherine",109
"156","Catherine",130
"157","Catherine",137
"158","Catherine",105
"159","Catherine",102
"160","Catherine",129
"161","Catherine",91
"162","Catherine",108
"163","Catherine",112
"164","Catherine",122
"165","Catherine",149
"166","Catherine",138
"167","Catherine",107
"168","Catherine",100
"169","Catherine",125
"170","Catherine",117
"171","Catherine",147
"172","Catherine",122
"173","Catherine",118
"174","Catherine",105
"175","Catherine",117
"176","Catherine",103
"177","Catherine",127
"178","Catherine",126
"179","Catherine",109
"180","Catherine",112
"181","Catherine",123
"182","Catherine",133
"183","Catherine",112
"184","Catherine",107
"185","Catherine",135
"186","Catherine",133
"187","Catherine",100
"188","Catherine",101
"189","Catherine",160
"190","Catherine",127
"191","Catherine",113
"192","Catherine",138
"193","Catherine",120
"194","Catherine",125
"195","Catherine",130
"196","Catherine",130
"197","Catherine",127
"198","Catherine",92
"199","Catherine",113
"200","Catherine",100
"201","Catherine",124
"202","Catherine",109
"203","Catherine",106
"204","Catherine",139
"205","Catherine",152
"206","Catherine",110
"207","Catherine",114
"208","Catherine",111
"209","Catherine",141
"210","Catherine",105
"211","Catherine",98
"212","Catherine",117
"213","Catherine",117
"214","Catherine",131
"215","Catherine",104
"216","Catherine",116
"217","Catherine",146
"218","Catherine",81
"219","Catherine",129
"220","Catherine",109
"221","Catherine",125
"222","Catherine",126
"223","Catherine",112
"224","Catherine",102
"225","Catherine",107
"226","Catherine",114
"227","Catherine",142
"228","Catherine",113
"229","Catherine",94
"230","Catherine",110
"231","Catherine",98
"232","Catherine",134
"233","Catherine",132
"234","Catherine",125
"235","Catherine",144
"236","Catherine",98
"237","Catherine",128
"238","Catherine",95
"239","Catherine",132
"240","Catherine",141
"241","Catherine",125
"242","Catherine",141
"243","Catherine",120
"244","Catherine",113
"245","Catherine",109
"246","Catherine",126
"247","Catherine",106
"248","Catherine",123
"249","Catherine",107
"250","Catherine",137
"251","Catherine",141
"252","Catherine",122
"253","Catherine",124
"254","Catherine",120
"255","Catherine",127
"256","Catherine",81
"257","Catherine",106
"258","Catherine",140
"259","Catherine",129
"260","Catherine",126
"261","Catherine",132
"262","Catherine",114
"263","Catherine",135
"264","Catherine",111
"265","Catherine",121
"266","Catherine",124
"267","Catherine",98
"268","Catherine",153
"269","Catherine",139
"270","Catherine",122
"271","Catherine",122
"272","Catherine",100
"273","Catherine",118
"274","Catherine",133
"275","Catherine",129
"276","Catherine",94
"277","Catherine",129
"278","Catherine",136
"279","Catherine",135
"280","Catherine",113
"281","Catherine",109
"282","Catherine",85
"283","Catherine",109
"284","Catherine",125
"285","Catherine",115
"286","Catherine",110
"287","Catherine",117
"288","Catherine",93
"289","Catherine",126
"290","Catherine",113
"291","Catherine",120
"292","Catherine",133
"293","Catherine",102
"294","Catherine",114
"295","Catherine",158
"296","Catherine",146
"297","Catherine",126
"298","Catherine",101
"299","Catherine",137
"300","Catherine",141
"301","Catherine",132
"302","Catherine",139
"303","Catherine",138
