"","ID","Road_Crossings"
"1","Charlie",3140
"2","Charlie",3272
"3","Charlie",3511
"4","Charlie",3416
"5","Charlie",3387
"6","Charlie",3282
"7","Charlie",3222
"8","Charlie",3050
"9","Charlie",3215
"10","Charlie",3294
"11","Charlie",3088
"12","Charlie",3229
"13","Charlie",3120
"14","Charlie",3102
"15","Charlie",3283
"16","Charlie",3551
"17","Charlie",3272
"18","Charlie",3196
"19","Charlie",3232
"20","Charlie",3282
"21","Charlie",3377
"22","Charlie",3394
"23","Charlie",3433
"24","Charlie",3491
"25","Charlie",3551
"26","Charlie",3258
"27","Charlie",3422
"28","Charlie",3431
"29","Charlie",3368
"30","Charlie",3244
"31","Charlie",3093
"32","Charlie",3064
"33","Charlie",3467
"34","Charlie",3333
"35","Charlie",3128
"36","Charlie",3115
"37","Charlie",3515
"38","Charlie",3581
"39","Charlie",3003
"40","Charlie",3259
"41","Charlie",3306
"42","Charlie",3329
"43","Charlie",3599
"44","Charlie",3208
"45","Charlie",2997
"46","Charlie",3222
"47","Charlie",3346
"48","Charlie",3347
"49","Charlie",3208
"50","Charlie",3265
"51","Charlie",3311
"52","Charlie",3318
"53","Charlie",3088
"54","Charlie",3288
"55","Charlie",3153
"56","Charlie",3234
"57","Charlie",3355
"58","Charlie",3462
"59","Charlie",3283
"60","Charlie",3244
"61","Charlie",3146
"62","Charlie",3179
"63","Charlie",3226
"64","Charlie",3377
"65","Charlie",3303
"66","Charlie",3719
"67","Charlie",3127
"68","Charlie",3328
"69","Charlie",3221
"70","Charlie",3264
"71","Charlie",3452
"72","Charlie",3344
"73","Charlie",3139
"74","Charlie",3232
"75","Charlie",3218
"76","Charlie",3500
"77","Charlie",3235
"78","Charlie",3095
"79","Charlie",3122
"80","Charlie",3142
"81","Charlie",3384
"82","Charlie",2954
"83","Charlie",3268
"84","Charlie",3344
"85","Charlie",3171
"86","Charlie",3167
"87","Charlie",3239
"88","Charlie",3407
"89","Charlie",3316
"90","Charlie",3067
"91","Charlie",3315
"92","Charlie",3296
"93","Charlie",3443
"94","Charlie",2877
"95","Charlie",3211
"96","Charlie",3251
"97","Charlie",3436
"98","Charlie",3311
"99","Charlie",3375
"100","Charlie",3357
"101","Charlie",3138
"102","Charlie",3503
"103","Charlie",3231
"104","Charlie",3053
"105","Charlie",3383
"106","Charlie",3249
"107","Charlie",3517
"108","Charlie",3186
"109","Charlie",3392
"110","Charlie",3101
"111","Charlie",3515
"112","Charlie",3202
"113","Charlie",3378
"114","Charlie",3038
"115","Charlie",3271
"116","Charlie",3535
"117","Charlie",3265
"118","Charlie",3369
"119","Charlie",3034
"120","Charlie",3288
"121","Charlie",2908
"122","Charlie",3226
"123","Charlie",3246
"124","Charlie",3095
"125","Charlie",3526
"126","Charlie",3195
"127","Charlie",3144
"128","Charlie",3416
"129","Charlie",3078
"130","Charlie",2987
"131","Charlie",3001
"132","Charlie",3188
"133","Charlie",3199
"134","Charlie",3430
"135","Charlie",3060
"136","Charlie",3379
"137","Charlie",3316
"138","Charlie",3223
"139","Charlie",3200
"140","Charlie",3309
"141","Charlie",3389
"142","Charlie",3383
"143","Charlie",3235
"144","Charlie",3157
"145","Charlie",3126
"146","Charlie",3235
"147","Charlie",3281
"148","Charlie",3210
"149","Charlie",3094
"150","Charlie",3265
"151","Charlie",2991
"152","Charlie",3223
"153","Charlie",3300
"154","Charlie",3053
"155","Charlie",3339
"156","Charlie",3203
"157","Charlie",2830
"158","Charlie",3296
"159","Charlie",3149
"160","Charlie",3271
"161","Charlie",3232
"162","Charlie",3339
"163","Charlie",3591
"164","Charlie",3218
"165","Charlie",3572
"166","Charlie",3280
"167","Charlie",3164
"168","Charlie",3048
"169","Charlie",3048
"170","Charlie",3266
"171","Charlie",3573
"172","Charlie",3096
"173","Charlie",3585
"174","Charlie",3152
"175","Charlie",3288
"176","Charlie",3337
"177","Charlie",3251
"178","Charlie",3539
"179","Charlie",3262
"180","Charlie",3460
"181","Charlie",3484
"182","Charlie",3372
"183","Charlie",3451
"184","Charlie",3324
"185","Charlie",3267
"186","Charlie",3292
"187","Charlie",3196
"188","Charlie",3401
"189","Charlie",3290
"190","Charlie",3276
"191","Charlie",3193
"192","Charlie",3005
