"","ID","Road_Crossings"
"1","Cynthia",4980
"2","Cynthia",5115
"3","Cynthia",4936
"4","Cynthia",4970
"5","Cynthia",5004
"6","Cynthia",4903
"7","Cynthia",5127
"8","Cynthia",4856
"9","Cynthia",5170
"10","Cynthia",4857
"11","Cynthia",4902
"12","Cynthia",5073
"13","Cynthia",4838
"14","Cynthia",4886
"15","Cynthia",4727
"16","Cynthia",4971
"17","Cynthia",5104
"18","Cynthia",5022
"19","Cynthia",4916
"20","Cynthia",5007
"21","Cynthia",4912
"22","Cynthia",4834
"23","Cynthia",4921
"24","Cynthia",4848
"25","Cynthia",4991
"26","Cynthia",5235
"27","Cynthia",5073
"28","Cynthia",4937
"29","Cynthia",5082
"30","Cynthia",4891
"31","Cynthia",5114
"32","Cynthia",4982
"33","Cynthia",5061
"34","Cynthia",4851
"35","Cynthia",5048
"36","Cynthia",5164
"37","Cynthia",4906
"38","Cynthia",5055
"39","Cynthia",4843
"40","Cynthia",5103
"41","Cynthia",4830
"42","Cynthia",4993
"43","Cynthia",4894
"44","Cynthia",4811
"45","Cynthia",5163
"46","Cynthia",4981
"47","Cynthia",5051
"48","Cynthia",4818
"49","Cynthia",5161
"50","Cynthia",4998
"51","Cynthia",4856
"52","Cynthia",4924
"53","Cynthia",5099
"54","Cynthia",4731
"55","Cynthia",4974
"56","Cynthia",5017
"57","Cynthia",5035
"58","Cynthia",5138
"59","Cynthia",5264
"60","Cynthia",4935
"61","Cynthia",4890
"62","Cynthia",5213
"63","Cynthia",4955
"64","Cynthia",4975
"65","Cynthia",4784
"66","Cynthia",5054
"67","Cynthia",5099
"68","Cynthia",4819
"69","Cynthia",4768
"70","Cynthia",5084
"71","Cynthia",4992
"72","Cynthia",4789
"73","Cynthia",5100
"74","Cynthia",4954
"75","Cynthia",4972
"76","Cynthia",4741
"77","Cynthia",4897
"78","Cynthia",5013
"79","Cynthia",5138
"80","Cynthia",4879
"81","Cynthia",4979
"82","Cynthia",4924
"83","Cynthia",4943
"84","Cynthia",4943
"85","Cynthia",4924
"86","Cynthia",5082
"87","Cynthia",4995
"88","Cynthia",5178
"89","Cynthia",5014
"90","Cynthia",5089
"91","Cynthia",4925
"92","Cynthia",5010
"93","Cynthia",5000
"94","Cynthia",5134
"95","Cynthia",4961
"96","Cynthia",4910
"97","Cynthia",4760
"98","Cynthia",4980
"99","Cynthia",4992
"100","Cynthia",5064
"101","Cynthia",4897
"102","Cynthia",4846
"103","Cynthia",4891
"104","Cynthia",5065
"105","Cynthia",5238
"106","Cynthia",4912
"107","Cynthia",4905
"108","Cynthia",4993
"109","Cynthia",4957
"110","Cynthia",5094
"111","Cynthia",4890
"112","Cynthia",4959
"113","Cynthia",4865
"114","Cynthia",4857
"115","Cynthia",4927
"116","Cynthia",5162
"117","Cynthia",4835
"118","Cynthia",5001
"119","Cynthia",5012
"120","Cynthia",4878
"121","Cynthia",5010
"122","Cynthia",5078
"123","Cynthia",4810
"124","Cynthia",4962
"125","Cynthia",5112
"126","Cynthia",4839
"127","Cynthia",4847
"128","Cynthia",5141
"129","Cynthia",4905
"130","Cynthia",4884
"131","Cynthia",4946
"132","Cynthia",4949
"133","Cynthia",5025
"134","Cynthia",5027
"135","Cynthia",5076
"136","Cynthia",5070
"137","Cynthia",5065
"138","Cynthia",5019
"139","Cynthia",4884
"140","Cynthia",4870
"141","Cynthia",5130
"142","Cynthia",5065
"143","Cynthia",5142
"144","Cynthia",4914
"145","Cynthia",4957
"146","Cynthia",5051
"147","Cynthia",5008
"148","Cynthia",5078
"149","Cynthia",5118
"150","Cynthia",4917
"151","Cynthia",4916
"152","Cynthia",5164
"153","Cynthia",4982
"154","Cynthia",5153
"155","Cynthia",5056
"156","Cynthia",4948
"157","Cynthia",5069
"158","Cynthia",5176
"159","Cynthia",4972
"160","Cynthia",5060
"161","Cynthia",4908
"162","Cynthia",5140
"163","Cynthia",5056
"164","Cynthia",4890
"165","Cynthia",4898
"166","Cynthia",4931
"167","Cynthia",4953
"168","Cynthia",5082
"169","Cynthia",4996
"170","Cynthia",4992
"171","Cynthia",4895
"172","Cynthia",5147
"173","Cynthia",4848
"174","Cynthia",4955
"175","Cynthia",5014
"176","Cynthia",4923
"177","Cynthia",4957
"178","Cynthia",5026
"179","Cynthia",5113
"180","Cynthia",4882
"181","Cynthia",4981
"182","Cynthia",5151
"183","Cynthia",4961
"184","Cynthia",4953
"185","Cynthia",4791
"186","Cynthia",5192
"187","Cynthia",4934
"188","Cynthia",4978
"189","Cynthia",4770
"190","Cynthia",5091
"191","Cynthia",4965
"192","Cynthia",5128
"193","Cynthia",4922
"194","Cynthia",5019
"195","Cynthia",4904
"196","Cynthia",4888
"197","Cynthia",4976
"198","Cynthia",4939
"199","Cynthia",4894
"200","Cynthia",5031
"201","Cynthia",5120
"202","Cynthia",5037
"203","Cynthia",4829
"204","Cynthia",5112
"205","Cynthia",4989
"206","Cynthia",4823
"207","Cynthia",4908
"208","Cynthia",5014
"209","Cynthia",4955
"210","Cynthia",5111
"211","Cynthia",4937
"212","Cynthia",4916
"213","Cynthia",4871
"214","Cynthia",5119
"215","Cynthia",5052
"216","Cynthia",4920
"217","Cynthia",4938
"218","Cynthia",5007
"219","Cynthia",5010
"220","Cynthia",5090
"221","Cynthia",5088
"222","Cynthia",4981
"223","Cynthia",5216
"224","Cynthia",4904
"225","Cynthia",4794
"226","Cynthia",4847
"227","Cynthia",5012
"228","Cynthia",4841
"229","Cynthia",5018
"230","Cynthia",4940
"231","Cynthia",5012
"232","Cynthia",4802
"233","Cynthia",4952
"234","Cynthia",4771
"235","Cynthia",4975
"236","Cynthia",4979
"237","Cynthia",5152
"238","Cynthia",4784
"239","Cynthia",4969
"240","Cynthia",4909
"241","Cynthia",5008
"242","Cynthia",5185
"243","Cynthia",5012
"244","Cynthia",4828
"245","Cynthia",4880
"246","Cynthia",4960
"247","Cynthia",4791
"248","Cynthia",5019
"249","Cynthia",5019
"250","Cynthia",4861
"251","Cynthia",4793
"252","Cynthia",5211
"253","Cynthia",4687
"254","Cynthia",5197
"255","Cynthia",4957
"256","Cynthia",5092
"257","Cynthia",4852
"258","Cynthia",5201
"259","Cynthia",5053
"260","Cynthia",4760
"261","Cynthia",5073
"262","Cynthia",4842
"263","Cynthia",5039
"264","Cynthia",5104
"265","Cynthia",5096
"266","Cynthia",5170
"267","Cynthia",4920
"268","Cynthia",5023
"269","Cynthia",4750
"270","Cynthia",4874
"271","Cynthia",4862
"272","Cynthia",4987
"273","Cynthia",4913
"274","Cynthia",4828
"275","Cynthia",4941
"276","Cynthia",5215
"277","Cynthia",5091
"278","Cynthia",4980
"279","Cynthia",4836
"280","Cynthia",5025
"281","Cynthia",5024
"282","Cynthia",4970
"283","Cynthia",5040
"284","Cynthia",5000
"285","Cynthia",4963
"286","Cynthia",5117
"287","Cynthia",4886
"288","Cynthia",4915
"289","Cynthia",4911
"290","Cynthia",4954
"291","Cynthia",4894
"292","Cynthia",4910
"293","Cynthia",4761
"294","Cynthia",5133
"295","Cynthia",4919
"296","Cynthia",4821
"297","Cynthia",5007
"298","Cynthia",5166
"299","Cynthia",4786
"300","Cynthia",4951
"301","Cynthia",5037
"302","Cynthia",4832
"303","Cynthia",5065
"304","Cynthia",5181
"305","Cynthia",4864
"306","Cynthia",4801
"307","Cynthia",4842
"308","Cynthia",5027
"309","Cynthia",4872
"310","Cynthia",5075
"311","Cynthia",4754
"312","Cynthia",5118
"313","Cynthia",5064
"314","Cynthia",4972
"315","Cynthia",5051
"316","Cynthia",5008
"317","Cynthia",5068
"318","Cynthia",4777
"319","Cynthia",5008
"320","Cynthia",5133
"321","Cynthia",5106
"322","Cynthia",4785
"323","Cynthia",5039
"324","Cynthia",4936
"325","Cynthia",4978
"326","Cynthia",5059
"327","Cynthia",5096
"328","Cynthia",4956
"329","Cynthia",4754
"330","Cynthia",4902
"331","Cynthia",4953
"332","Cynthia",4925
"333","Cynthia",4856
"334","Cynthia",4993
"335","Cynthia",4886
"336","Cynthia",4885
"337","Cynthia",4898
"338","Cynthia",4818
"339","Cynthia",5014
"340","Cynthia",4853
"341","Cynthia",5012
"342","Cynthia",4960
"343","Cynthia",4917
"344","Cynthia",5058
"345","Cynthia",4888
"346","Cynthia",4901
"347","Cynthia",5058
"348","Cynthia",4823
"349","Cynthia",4808
"350","Cynthia",4955
"351","Cynthia",5199
"352","Cynthia",4809
"353","Cynthia",5006
"354","Cynthia",5010
"355","Cynthia",4934
"356","Cynthia",5113
"357","Cynthia",4977
"358","Cynthia",5015
"359","Cynthia",4913
"360","Cynthia",5005
"361","Cynthia",4641
"362","Cynthia",4949
"363","Cynthia",4921
"364","Cynthia",4787
"365","Cynthia",4979
"366","Cynthia",4917
"367","Cynthia",4942
"368","Cynthia",5035
"369","Cynthia",4881
"370","Cynthia",5000
"371","Cynthia",4972
"372","Cynthia",5019
"373","Cynthia",4998
"374","Cynthia",4867
"375","Cynthia",5131
"376","Cynthia",4926
"377","Cynthia",4813
"378","Cynthia",5046
"379","Cynthia",4883
"380","Cynthia",4762
"381","Cynthia",5084
"382","Cynthia",4753
"383","Cynthia",5049
"384","Cynthia",4966
"385","Cynthia",4823
"386","Cynthia",4914
"387","Cynthia",4900
"388","Cynthia",4913
"389","Cynthia",5067
"390","Cynthia",4963
"391","Cynthia",4938
"392","Cynthia",4920
"393","Cynthia",5052
"394","Cynthia",4905
"395","Cynthia",5018
"396","Cynthia",5183
"397","Cynthia",4969
"398","Cynthia",5164
"399","Cynthia",4868
"400","Cynthia",5030
"401","Cynthia",4804
"402","Cynthia",4853
"403","Cynthia",4880
"404","Cynthia",4896
"405","Cynthia",5113
"406","Cynthia",5052
"407","Cynthia",4960
"408","Cynthia",5155
"409","Cynthia",4915
"410","Cynthia",5064
"411","Cynthia",5081
"412","Cynthia",4970
"413","Cynthia",4885
"414","Cynthia",5041
"415","Cynthia",5047
"416","Cynthia",4942
"417","Cynthia",4976
"418","Cynthia",5140
"419","Cynthia",4782
"420","Cynthia",4972
"421","Cynthia",4864
"422","Cynthia",5026
"423","Cynthia",4928
"424","Cynthia",5009
"425","Cynthia",5002
"426","Cynthia",4828
"427","Cynthia",4897
"428","Cynthia",5051
"429","Cynthia",4908
"430","Cynthia",4907
"431","Cynthia",5076
"432","Cynthia",5035
"433","Cynthia",4993
"434","Cynthia",5247
"435","Cynthia",4815
"436","Cynthia",5020
"437","Cynthia",4894
"438","Cynthia",5074
"439","Cynthia",4813
"440","Cynthia",4823
