"","ID","Road_Crossings"
"1","Dave",1030
"2","Dave",1039
"3","Dave",938
"4","Dave",1160
"5","Dave",1059
"6","Dave",976
"7","Dave",1146
"8","Dave",1114
"9","Dave",1154
"10","Dave",914
"11","Dave",967
"12","Dave",1145
"13","Dave",887
"14","Dave",1086
"15","Dave",1069
"16","Dave",1082
"17","Dave",883
"18","Dave",977
"19","Dave",1055
"20","Dave",986
"21","Dave",1067
"22","Dave",887
"23","Dave",1055
"24","Dave",1036
"25","Dave",1003
"26","Dave",909
"27","Dave",1066
"28","Dave",995
"29","Dave",941
"30","Dave",1054
"31","Dave",980
"32","Dave",910
"33","Dave",1181
"34","Dave",1061
"35","Dave",1148
"36","Dave",856
"37","Dave",998
"38","Dave",1089
"39","Dave",1106
"40","Dave",902
"41","Dave",1095
"42","Dave",976
"43","Dave",1000
"44","Dave",1004
"45","Dave",1040
"46","Dave",1003
"47","Dave",787
"48","Dave",935
"49","Dave",1063
"50","Dave",834
"51","Dave",1160
"52","Dave",841
"53","Dave",1209
"54","Dave",1132
"55","Dave",930
"56","Dave",1080
"57","Dave",945
"58","Dave",956
"59","Dave",1082
"60","Dave",1166
"61","Dave",1068
"62","Dave",1024
"63","Dave",1079
"64","Dave",1041
"65","Dave",1216
"66","Dave",1030
"67","Dave",926
"68","Dave",957
"69","Dave",1129
"70","Dave",1130
"71","Dave",909
"72","Dave",1093
"73","Dave",1009
"74","Dave",885
"75","Dave",964
"76","Dave",1013
"77","Dave",1176
"78","Dave",822
"79","Dave",932
"80","Dave",897
"81","Dave",1030
"82","Dave",1220
"83","Dave",989
"84","Dave",971
"85","Dave",1092
"86","Dave",1104
"87","Dave",1157
"88","Dave",929
"89","Dave",995
"90","Dave",1098
"91","Dave",1117
"92","Dave",836
"93","Dave",830
"94","Dave",951
"95","Dave",1150
"96","Dave",1034
"97","Dave",1176
"98","Dave",884
"99","Dave",907
"100","Dave",839
"101","Dave",941
"102","Dave",1052
"103","Dave",1006
"104","Dave",1075
"105","Dave",857
"106","Dave",1114
"107","Dave",1050
"108","Dave",932
"109","Dave",1193
"110","Dave",1101
"111","Dave",1108
"112","Dave",1136
"113","Dave",1027
"114","Dave",990
"115","Dave",1218
"116","Dave",1063
"117","Dave",1028
"118","Dave",887
"119","Dave",920
"120","Dave",1001
"121","Dave",1036
"122","Dave",1138
"123","Dave",1109
"124","Dave",1043
"125","Dave",833
"126","Dave",966
"127","Dave",1201
"128","Dave",1008
"129","Dave",966
"130","Dave",969
"131","Dave",735
"132","Dave",1013
"133","Dave",1028
"134","Dave",930
"135","Dave",986
"136","Dave",1147
"137","Dave",1035
"138","Dave",1040
"139","Dave",1010
"140","Dave",947
"141","Dave",1052
"142","Dave",1029
"143","Dave",916
"144","Dave",988
"145","Dave",924
"146","Dave",1024
"147","Dave",859
"148","Dave",1016
"149","Dave",1007
"150","Dave",946
"151","Dave",774
"152","Dave",951
"153","Dave",1365
"154","Dave",998
"155","Dave",1014
"156","Dave",820
"157","Dave",957
"158","Dave",845
"159","Dave",713
"160","Dave",977
"161","Dave",983
"162","Dave",935
"163","Dave",1037
"164","Dave",1210
"165","Dave",1008
"166","Dave",998
"167","Dave",1316
"168","Dave",889
"169","Dave",1010
"170","Dave",1077
