"","ID","Road_Crossings"
"1","Elsie",1920
"2","Elsie",1793
"3","Elsie",2040
"4","Elsie",1860
"5","Elsie",1795
"6","Elsie",1632
"7","Elsie",1944
"8","Elsie",1980
"9","Elsie",1789
"10","Elsie",1806
"11","Elsie",1736
"12","Elsie",1947
"13","Elsie",1925
"14","Elsie",1882
"15","Elsie",1905
"16","Elsie",1856
"17","Elsie",1769
"18","Elsie",1726
"19","Elsie",1772
"20","Elsie",1936
"21","Elsie",1921
"22","Elsie",1835
"23","Elsie",1907
"24","Elsie",1988
"25","Elsie",1806
"26","Elsie",1880
"27","Elsie",2083
"28","Elsie",1815
"29","Elsie",2019
"30","Elsie",1775
"31","Elsie",1913
"32","Elsie",1724
"33","Elsie",1767
"34","Elsie",1834
"35","Elsie",1806
"36","Elsie",1859
"37","Elsie",1908
"38","Elsie",1852
"39","Elsie",1776
"40","Elsie",1680
"41","Elsie",1924
"42","Elsie",2118
"43","Elsie",1775
"44","Elsie",1808
"45","Elsie",1792
"46","Elsie",1882
"47","Elsie",1854
"48","Elsie",2099
"49","Elsie",1855
"50","Elsie",1928
"51","Elsie",2018
"52","Elsie",2097
"53","Elsie",1917
"54","Elsie",1772
"55","Elsie",1815
"56","Elsie",1958
"57","Elsie",2019
"58","Elsie",1926
"59","Elsie",1838
"60","Elsie",1935
"61","Elsie",1856
"62","Elsie",1836
"63","Elsie",1766
"64","Elsie",1941
"65","Elsie",1975
"66","Elsie",1911
"67","Elsie",1856
"68","Elsie",1892
"69","Elsie",1889
"70","Elsie",1764
"71","Elsie",1884
"72","Elsie",1883
"73","Elsie",1908
"74","Elsie",2061
"75","Elsie",1825
"76","Elsie",1974
"77","Elsie",1955
"78","Elsie",1857
"79","Elsie",2059
"80","Elsie",1924
"81","Elsie",1799
"82","Elsie",1691
"83","Elsie",1970
"84","Elsie",1954
"85","Elsie",1908
"86","Elsie",1740
"87","Elsie",1791
"88","Elsie",1931
"89","Elsie",2008
"90","Elsie",1954
"91","Elsie",1865
"92","Elsie",1698
"93","Elsie",1852
"94","Elsie",1915
"95","Elsie",1855
"96","Elsie",1929
"97","Elsie",1704
"98","Elsie",1792
"99","Elsie",1818
"100","Elsie",1909
"101","Elsie",1904
"102","Elsie",1730
"103","Elsie",2012
"104","Elsie",1930
"105","Elsie",1794
"106","Elsie",1786
"107","Elsie",1914
"108","Elsie",1917
"109","Elsie",2049
"110","Elsie",2016
"111","Elsie",1782
"112","Elsie",1848
"113","Elsie",2072
"114","Elsie",1689
"115","Elsie",1933
"116","Elsie",1793
"117","Elsie",1738
"118","Elsie",1795
"119","Elsie",1809
"120","Elsie",1896
"121","Elsie",1868
"122","Elsie",1792
"123","Elsie",1895
"124","Elsie",1816
"125","Elsie",2017
"126","Elsie",1794
"127","Elsie",2004
"128","Elsie",1732
"129","Elsie",1827
"130","Elsie",1862
"131","Elsie",1808
"132","Elsie",2114
"133","Elsie",1726
"134","Elsie",1957
"135","Elsie",1691
"136","Elsie",1975
"137","Elsie",1941
"138","Elsie",1879
"139","Elsie",1769
"140","Elsie",1810
"141","Elsie",2001
"142","Elsie",1750
"143","Elsie",1950
"144","Elsie",1937
"145","Elsie",1851
"146","Elsie",1832
"147","Elsie",1672
"148","Elsie",1803
"149","Elsie",1916
"150","Elsie",1846
"151","Elsie",1867
"152","Elsie",1952
"153","Elsie",1892
"154","Elsie",1853
"155","Elsie",1906
"156","Elsie",1953
"157","Elsie",1894
"158","Elsie",1942
"159","Elsie",1909
"160","Elsie",1957
"161","Elsie",1923
"162","Elsie",1909
"163","Elsie",1899
"164","Elsie",1898
"165","Elsie",1987
"166","Elsie",1752
"167","Elsie",1827
"168","Elsie",2004
"169","Elsie",1894
"170","Elsie",1835
"171","Elsie",1900
"172","Elsie",1747
"173","Elsie",1810
"174","Elsie",1914
"175","Elsie",1700
"176","Elsie",1946
"177","Elsie",1902
"178","Elsie",1967
"179","Elsie",1984
"180","Elsie",1956
"181","Elsie",2064
"182","Elsie",1880
"183","Elsie",1914
"184","Elsie",1843
"185","Elsie",1795
"186","Elsie",1875
"187","Elsie",1799
"188","Elsie",1968
"189","Elsie",1892
"190","Elsie",1741
"191","Elsie",1874
"192","Elsie",1940
"193","Elsie",1746
"194","Elsie",2004
"195","Elsie",2033
"196","Elsie",1838
"197","Elsie",1912
"198","Elsie",1856
"199","Elsie",2084
"200","Elsie",1906
"201","Elsie",1923
"202","Elsie",1841
"203","Elsie",1736
"204","Elsie",1672
"205","Elsie",1987
"206","Elsie",1967
"207","Elsie",1882
"208","Elsie",1685
"209","Elsie",1735
"210","Elsie",1901
"211","Elsie",1901
"212","Elsie",1884
"213","Elsie",1898
"214","Elsie",1880
"215","Elsie",1971
"216","Elsie",1769
"217","Elsie",1788
"218","Elsie",1757
"219","Elsie",1988
"220","Elsie",1927
"221","Elsie",1950
"222","Elsie",1821
"223","Elsie",1853
"224","Elsie",1709
"225","Elsie",1759
"226","Elsie",1840
"227","Elsie",2003
"228","Elsie",1944
"229","Elsie",1837
"230","Elsie",1654
"231","Elsie",1967
"232","Elsie",1951
"233","Elsie",1853
"234","Elsie",1993
"235","Elsie",1864
"236","Elsie",1892
"237","Elsie",1787
"238","Elsie",1906
"239","Elsie",1948
"240","Elsie",1930
"241","Elsie",1855
"242","Elsie",1789
"243","Elsie",1920
"244","Elsie",2016
"245","Elsie",1829
"246","Elsie",1843
"247","Elsie",1912
"248","Elsie",1790
"249","Elsie",2059
"250","Elsie",1914
"251","Elsie",1912
"252","Elsie",1806
"253","Elsie",1794
"254","Elsie",1908
"255","Elsie",1801
"256","Elsie",1786
"257","Elsie",1811
"258","Elsie",1873
"259","Elsie",1935
"260","Elsie",1821
"261","Elsie",1946
"262","Elsie",1833
"263","Elsie",1748
"264","Elsie",1837
"265","Elsie",1866
"266","Elsie",1911
"267","Elsie",1829
"268","Elsie",2002
"269","Elsie",1900
"270","Elsie",1654
"271","Elsie",1886
"272","Elsie",1904
"273","Elsie",1914
"274","Elsie",1761
"275","Elsie",1793
"276","Elsie",1854
"277","Elsie",1854
"278","Elsie",1980
"279","Elsie",2028
"280","Elsie",1906
"281","Elsie",1847
"282","Elsie",1844
"283","Elsie",1887
"284","Elsie",1932
"285","Elsie",1967
"286","Elsie",1713
"287","Elsie",1828
"288","Elsie",1780
"289","Elsie",1861
"290","Elsie",1944
"291","Elsie",1944
"292","Elsie",1866
"293","Elsie",1970
"294","Elsie",1791
"295","Elsie",1836
"296","Elsie",1896
"297","Elsie",1866
"298","Elsie",1920
"299","Elsie",1946
"300","Elsie",1789
"301","Elsie",1812
"302","Elsie",1913
"303","Elsie",1878
"304","Elsie",1911
"305","Elsie",1818
"306","Elsie",1863
"307","Elsie",1814
"308","Elsie",1837
"309","Elsie",1940
"310","Elsie",1834
"311","Elsie",1774
"312","Elsie",1939
"313","Elsie",1678
"314","Elsie",2000
"315","Elsie",1756
"316","Elsie",2031
"317","Elsie",1878
"318","Elsie",1940
"319","Elsie",1813
"320","Elsie",1851
"321","Elsie",1832
"322","Elsie",1780
"323","Elsie",2025
"324","Elsie",1970
"325","Elsie",1934
"326","Elsie",1859
"327","Elsie",1887
"328","Elsie",1843
"329","Elsie",1867
"330","Elsie",1904
"331","Elsie",1962
"332","Elsie",1980
"333","Elsie",1765
"334","Elsie",1863
"335","Elsie",1949
"336","Elsie",1804
"337","Elsie",1929
"338","Elsie",2060
"339","Elsie",1846
"340","Elsie",1816
"341","Elsie",1733
"342","Elsie",1999
"343","Elsie",2186
"344","Elsie",1925
"345","Elsie",1804
"346","Elsie",1979
"347","Elsie",1960
"348","Elsie",1934
"349","Elsie",1770
"350","Elsie",1899
"351","Elsie",1730
"352","Elsie",1871
"353","Elsie",1930
"354","Elsie",2007
"355","Elsie",1952
"356","Elsie",2058
"357","Elsie",1818
"358","Elsie",1919
"359","Elsie",1741
"360","Elsie",1688
"361","Elsie",1848
"362","Elsie",1869
"363","Elsie",1991
"364","Elsie",1926
"365","Elsie",1828
"366","Elsie",1837
"367","Elsie",1887
"368","Elsie",1891
"369","Elsie",1936
"370","Elsie",1998
"371","Elsie",1858
"372","Elsie",1814
"373","Elsie",2034
"374","Elsie",1826
"375","Elsie",1977
"376","Elsie",1890
"377","Elsie",1925
"378","Elsie",1727
"379","Elsie",1939
"380","Elsie",1814
"381","Elsie",1762
"382","Elsie",2056
"383","Elsie",1852
"384","Elsie",1864
"385","Elsie",1775
"386","Elsie",1965
"387","Elsie",1891
"388","Elsie",1984
"389","Elsie",1820
"390","Elsie",1911
"391","Elsie",1873
"392","Elsie",1973
"393","Elsie",1852
"394","Elsie",1945
"395","Elsie",1757
"396","Elsie",1872
"397","Elsie",1932
"398","Elsie",1726
"399","Elsie",1787
"400","Elsie",1916
"401","Elsie",1800
"402","Elsie",1702
"403","Elsie",2069
"404","Elsie",1841
"405","Elsie",1736
"406","Elsie",1872
"407","Elsie",1915
"408","Elsie",1775
"409","Elsie",1840
"410","Elsie",1785
"411","Elsie",1915
"412","Elsie",1744
"413","Elsie",1894
"414","Elsie",1867
"415","Elsie",1955
"416","Elsie",1744
"417","Elsie",1848
"418","Elsie",1976
"419","Elsie",1954
"420","Elsie",2000
"421","Elsie",1839
"422","Elsie",2031
"423","Elsie",1933
"424","Elsie",1836
"425","Elsie",1844
"426","Elsie",1732
"427","Elsie",2019
"428","Elsie",1887
"429","Elsie",2075
"430","Elsie",1920
"431","Elsie",1718
"432","Elsie",1786
"433","Elsie",1782
"434","Elsie",1843
"435","Elsie",1806
"436","Elsie",1744
"437","Elsie",1819
"438","Elsie",1888
"439","Elsie",1780
"440","Elsie",1887
"441","Elsie",2000
"442","Elsie",1777
"443","Elsie",1938
"444","Elsie",1797
"445","Elsie",1823
"446","Elsie",1788
"447","Elsie",1638
"448","Elsie",2004
"449","Elsie",1869
"450","Elsie",1852
"451","Elsie",1908
"452","Elsie",1922
"453","Elsie",1862
"454","Elsie",1778
"455","Elsie",1694
"456","Elsie",1887
"457","Elsie",1864
"458","Elsie",1678
"459","Elsie",1855
"460","Elsie",1834
"461","Elsie",1948
"462","Elsie",1851
"463","Elsie",1909
"464","Elsie",1875
"465","Elsie",1828
"466","Elsie",1792
"467","Elsie",1779
"468","Elsie",1810
"469","Elsie",1856
"470","Elsie",1908
"471","Elsie",1786
"472","Elsie",1885
"473","Elsie",1869
"474","Elsie",1852
"475","Elsie",1921
"476","Elsie",1700
"477","Elsie",1897
"478","Elsie",1846
"479","Elsie",1772
"480","Elsie",1873
"481","Elsie",1884
"482","Elsie",1989
"483","Elsie",1725
"484","Elsie",1864
"485","Elsie",1798
"486","Elsie",1796
"487","Elsie",1943
"488","Elsie",1906
"489","Elsie",1833
"490","Elsie",1907
"491","Elsie",1958
"492","Elsie",1858
"493","Elsie",1789
"494","Elsie",1807
"495","Elsie",2018
"496","Elsie",1829
"497","Elsie",1804
"498","Elsie",1844
"499","Elsie",2050
"500","Elsie",1709
"501","Elsie",1832
"502","Elsie",1948
"503","Elsie",1693
"504","Elsie",1949
"505","Elsie",1967
"506","Elsie",2029
"507","Elsie",1991
"508","Elsie",1710
"509","Elsie",1986
"510","Elsie",1551
"511","Elsie",1683
"512","Elsie",1814
"513","Elsie",1851
"514","Elsie",2075
"515","Elsie",1956
"516","Elsie",2035
"517","Elsie",1961
"518","Elsie",1771
"519","Elsie",1778
"520","Elsie",1877
"521","Elsie",1927
"522","Elsie",1705
"523","Elsie",1803
"524","Elsie",1894
"525","Elsie",2044
"526","Elsie",1833
"527","Elsie",1824
"528","Elsie",1964
"529","Elsie",2044
"530","Elsie",1904
"531","Elsie",1768
"532","Elsie",1878
"533","Elsie",1801
"534","Elsie",1914
"535","Elsie",1626
"536","Elsie",1919
"537","Elsie",1742
"538","Elsie",1756
"539","Elsie",1834
"540","Elsie",1835
"541","Elsie",1849
"542","Elsie",1855
"543","Elsie",1893
"544","Elsie",2053
"545","Elsie",1830
"546","Elsie",1827
"547","Elsie",1856
"548","Elsie",1902
"549","Elsie",1808
"550","Elsie",1869
"551","Elsie",2000
"552","Elsie",1864
"553","Elsie",1751
"554","Elsie",1915
"555","Elsie",1935
"556","Elsie",1803
"557","Elsie",1942
"558","Elsie",1693
"559","Elsie",1834
"560","Elsie",1884
"561","Elsie",1882
"562","Elsie",1914
"563","Elsie",1903
"564","Elsie",1875
"565","Elsie",1886
"566","Elsie",1822
"567","Elsie",1801
"568","Elsie",1876
"569","Elsie",1947
"570","Elsie",2020
"571","Elsie",1699
"572","Elsie",1974
"573","Elsie",1915
"574","Elsie",1791
"575","Elsie",2076
"576","Elsie",1812
"577","Elsie",1838
"578","Elsie",1791
"579","Elsie",1789
"580","Elsie",1822
"581","Elsie",1967
"582","Elsie",2023
"583","Elsie",1992
"584","Elsie",1732
"585","Elsie",1935
"586","Elsie",1992
"587","Elsie",1755
"588","Elsie",1888
"589","Elsie",1904
"590","Elsie",1789
"591","Elsie",1826
"592","Elsie",1735
"593","Elsie",1873
"594","Elsie",1965
"595","Elsie",2038
"596","Elsie",1840
"597","Elsie",1816
"598","Elsie",1775
"599","Elsie",1925
"600","Elsie",1865
"601","Elsie",1587
"602","Elsie",1859
"603","Elsie",1835
"604","Elsie",2006
"605","Elsie",1915
"606","Elsie",1993
"607","Elsie",1753
"608","Elsie",2000
"609","Elsie",1956
"610","Elsie",1732
"611","Elsie",2009
"612","Elsie",1706
"613","Elsie",1859
"614","Elsie",1836
"615","Elsie",1847
"616","Elsie",1743
"617","Elsie",1777
"618","Elsie",1887
"619","Elsie",1790
"620","Elsie",1663
"621","Elsie",1771
"622","Elsie",1917
"623","Elsie",1821
"624","Elsie",1804
"625","Elsie",1924
"626","Elsie",1814
"627","Elsie",1861
"628","Elsie",2004
"629","Elsie",1670
"630","Elsie",1878
"631","Elsie",2073
"632","Elsie",2000
"633","Elsie",2043
"634","Elsie",2025
"635","Elsie",1923
"636","Elsie",1969
