"","ID","Road_Crossings"
"1","Hal",2059
"2","Hal",2172
"3","Hal",2395
"4","Hal",2136
"5","Hal",2292
"6","Hal",2109
"7","Hal",2095
"8","Hal",2172
"9","Hal",2049
"10","Hal",2213
"11","Hal",2342
"12","Hal",2310
"13","Hal",2237
"14","Hal",2231
"15","Hal",2076
"16","Hal",2312
"17","Hal",2179
"18","Hal",2255
"19","Hal",2262
"20","Hal",2227
"21","Hal",2162
"22","Hal",2389
"23","Hal",2290
"24","Hal",2394
"25","Hal",2068
"26","Hal",2096
"27","Hal",2226
"28","Hal",2104
"29","Hal",2322
"30","Hal",2154
"31","Hal",2086
"32","Hal",2298
"33","Hal",2217
"34","Hal",2188
"35","Hal",2276
"36","Hal",2226
"37","Hal",2080
"38","Hal",2199
"39","Hal",2233
"40","Hal",2189
"41","Hal",2340
"42","Hal",2262
"43","Hal",2240
"44","Hal",2197
"45","Hal",2263
"46","Hal",2288
"47","Hal",2217
"48","Hal",2219
"49","Hal",2105
"50","Hal",2240
"51","Hal",2115
"52","Hal",2166
"53","Hal",2247
"54","Hal",2239
"55","Hal",2216
"56","Hal",2359
"57","Hal",2221
"58","Hal",2335
"59","Hal",2174
"60","Hal",2293
"61","Hal",2061
"62","Hal",2345
"63","Hal",2225
"64","Hal",2235
"65","Hal",2338
"66","Hal",2085
"67","Hal",2195
"68","Hal",2165
"69","Hal",2116
"70","Hal",2263
"71","Hal",2163
"72","Hal",2203
"73","Hal",2349
"74","Hal",2312
"75","Hal",2170
"76","Hal",2242
"77","Hal",2229
"78","Hal",2269
"79","Hal",2399
"80","Hal",2118
"81","Hal",2350
"82","Hal",2155
"83","Hal",2122
"84","Hal",2331
"85","Hal",2221
"86","Hal",2248
"87","Hal",2220
"88","Hal",2322
"89","Hal",2369
"90","Hal",2293
"91","Hal",2195
"92","Hal",2091
"93","Hal",2295
"94","Hal",2314
"95","Hal",2185
"96","Hal",2224
"97","Hal",2332
"98","Hal",2168
"99","Hal",2179
"100","Hal",2362
"101","Hal",2149
"102","Hal",2099
"103","Hal",2134
"104","Hal",2240
"105","Hal",2231
"106","Hal",2216
"107","Hal",2168
"108","Hal",2203
"109","Hal",2239
"110","Hal",2317
"111","Hal",2219
"112","Hal",2221
"113","Hal",2084
"114","Hal",2175
"115","Hal",2236
"116","Hal",2219
"117","Hal",2207
"118","Hal",2098
"119","Hal",2258
"120","Hal",2134
"121","Hal",2310
"122","Hal",2129
"123","Hal",2247
"124","Hal",2344
"125","Hal",2466
"126","Hal",2181
"127","Hal",2194
"128","Hal",2117
"129","Hal",2309
"130","Hal",2160
"131","Hal",2218
"132","Hal",2119
"133","Hal",2320
"134","Hal",2212
"135","Hal",2270
"136","Hal",2080
"137","Hal",2200
"138","Hal",2216
"139","Hal",2282
"140","Hal",2247
"141","Hal",2291
"142","Hal",2207
"143","Hal",2301
"144","Hal",2332
"145","Hal",2029
"146","Hal",2091
"147","Hal",2203
"148","Hal",1950
"149","Hal",2116
"150","Hal",2198
"151","Hal",2222
"152","Hal",2292
"153","Hal",2176
"154","Hal",2227
"155","Hal",2323
"156","Hal",2282
"157","Hal",2277
"158","Hal",2158
"159","Hal",2280
"160","Hal",2272
"161","Hal",2180
"162","Hal",2122
"163","Hal",2376
"164","Hal",2276
"165","Hal",2289
"166","Hal",2482
"167","Hal",2096
"168","Hal",2301
"169","Hal",2293
"170","Hal",2301
"171","Hal",2159
"172","Hal",2284
"173","Hal",2101
"174","Hal",2076
"175","Hal",2350
"176","Hal",2245
"177","Hal",2118
"178","Hal",2159
"179","Hal",2155
"180","Hal",2318
"181","Hal",2125
"182","Hal",2308
"183","Hal",2174
"184","Hal",2272
"185","Hal",1999
"186","Hal",2271
"187","Hal",2266
"188","Hal",2317
"189","Hal",2230
"190","Hal",2146
"191","Hal",2190
"192","Hal",2327
"193","Hal",2154
"194","Hal",2217
"195","Hal",2255
"196","Hal",2175
"197","Hal",2149
"198","Hal",2255
"199","Hal",2222
"200","Hal",1932
"201","Hal",2068
"202","Hal",2306
"203","Hal",2230
"204","Hal",2311
"205","Hal",2138
"206","Hal",2012
"207","Hal",2213
"208","Hal",2088
"209","Hal",2166
"210","Hal",2363
"211","Hal",2240
"212","Hal",2212
"213","Hal",2272
"214","Hal",2262
"215","Hal",2247
"216","Hal",2440
"217","Hal",2182
"218","Hal",2256
"219","Hal",2351
"220","Hal",2178
"221","Hal",2330
"222","Hal",2192
"223","Hal",2138
"224","Hal",2401
"225","Hal",2265
"226","Hal",2339
"227","Hal",2155
"228","Hal",2235
"229","Hal",2189
"230","Hal",2157
"231","Hal",2496
"232","Hal",2227
"233","Hal",2105
"234","Hal",2252
"235","Hal",2253
"236","Hal",2185
"237","Hal",2292
"238","Hal",2205
"239","Hal",2248
"240","Hal",2325
"241","Hal",2203
"242","Hal",2276
"243","Hal",2409
"244","Hal",2243
"245","Hal",2306
"246","Hal",2243
"247","Hal",2355
"248","Hal",2292
"249","Hal",2264
"250","Hal",2176
"251","Hal",2278
"252","Hal",2234
"253","Hal",2188
"254","Hal",2261
"255","Hal",2121
"256","Hal",1878
"257","Hal",2274
"258","Hal",2368
"259","Hal",2423
"260","Hal",2373
"261","Hal",2323
"262","Hal",2367
"263","Hal",2178
"264","Hal",2221
"265","Hal",2350
"266","Hal",2274
"267","Hal",2182
"268","Hal",2167
"269","Hal",2322
"270","Hal",2382
"271","Hal",2194
"272","Hal",2222
"273","Hal",2237
"274","Hal",2301
"275","Hal",1889
"276","Hal",2238
"277","Hal",2304
"278","Hal",2229
"279","Hal",2036
"280","Hal",2227
"281","Hal",2279
"282","Hal",2349
"283","Hal",2235
"284","Hal",2191
"285","Hal",2313
"286","Hal",2239
"287","Hal",2150
"288","Hal",2266
"289","Hal",2325
"290","Hal",2195
"291","Hal",2041
"292","Hal",2295
"293","Hal",2152
"294","Hal",2316
"295","Hal",2150
"296","Hal",2339
"297","Hal",2308
"298","Hal",2268
"299","Hal",2213
"300","Hal",2178
"301","Hal",2119
"302","Hal",2193
"303","Hal",2232
"304","Hal",2315
"305","Hal",2114
"306","Hal",2243
"307","Hal",2325
"308","Hal",2456
"309","Hal",2158
"310","Hal",2245
"311","Hal",2325
"312","Hal",2294
"313","Hal",2402
"314","Hal",2314
"315","Hal",2275
"316","Hal",2195
"317","Hal",2210
"318","Hal",2262
"319","Hal",2280
"320","Hal",2307
"321","Hal",2221
"322","Hal",2417
"323","Hal",2372
"324","Hal",2220
"325","Hal",2174
"326","Hal",2279
"327","Hal",2197
"328","Hal",2171
"329","Hal",2221
"330","Hal",2190
"331","Hal",2151
"332","Hal",2253
"333","Hal",2173
"334","Hal",2288
"335","Hal",2350
"336","Hal",2359
"337","Hal",2351
"338","Hal",2208
"339","Hal",2059
"340","Hal",2171
"341","Hal",2026
"342","Hal",2237
"343","Hal",2196
"344","Hal",2191
"345","Hal",2061
"346","Hal",2003
"347","Hal",2246
"348","Hal",2226
"349","Hal",2168
"350","Hal",2157
"351","Hal",2104
"352","Hal",2237
"353","Hal",2247
"354","Hal",2090
"355","Hal",2269
"356","Hal",2235
"357","Hal",2122
"358","Hal",2166
"359","Hal",2148
"360","Hal",2367
"361","Hal",2245
"362","Hal",2277
"363","Hal",2274
"364","Hal",2292
"365","Hal",2067
"366","Hal",2118
"367","Hal",2062
"368","Hal",2219
"369","Hal",2164
"370","Hal",2185
"371","Hal",2264
"372","Hal",2273
"373","Hal",2476
"374","Hal",2169
"375","Hal",2178
"376","Hal",2289
"377","Hal",2330
"378","Hal",2445
"379","Hal",2274
"380","Hal",2218
"381","Hal",2110
"382","Hal",2253
"383","Hal",2136
"384","Hal",2386
"385","Hal",2195
"386","Hal",2053
"387","Hal",2001
"388","Hal",2041
"389","Hal",2243
"390","Hal",2318
"391","Hal",2258
"392","Hal",2270
"393","Hal",2285
"394","Hal",2239
"395","Hal",2258
"396","Hal",2210
"397","Hal",2291
"398","Hal",2146
"399","Hal",2270
"400","Hal",2193
"401","Hal",2132
"402","Hal",2090
"403","Hal",2031
"404","Hal",2184
"405","Hal",2310
"406","Hal",2221
"407","Hal",2159
"408","Hal",2177
"409","Hal",2245
"410","Hal",2133
"411","Hal",2357
"412","Hal",2338
"413","Hal",2271
"414","Hal",2217
"415","Hal",2196
"416","Hal",2190
"417","Hal",2215
"418","Hal",2322
"419","Hal",2236
"420","Hal",2312
"421","Hal",2396
"422","Hal",2247
"423","Hal",2026
"424","Hal",2372
"425","Hal",2141
"426","Hal",2231
"427","Hal",2224
"428","Hal",2232
"429","Hal",2396
"430","Hal",2255
"431","Hal",2313
"432","Hal",2127
"433","Hal",2199
"434","Hal",2279
"435","Hal",2130
"436","Hal",2076
"437","Hal",2296
"438","Hal",2078
"439","Hal",2262
"440","Hal",2142
"441","Hal",2230
"442","Hal",2187
"443","Hal",2145
"444","Hal",2314
"445","Hal",2171
"446","Hal",2171
"447","Hal",2226
"448","Hal",2220
"449","Hal",2175
"450","Hal",2259
"451","Hal",2254
"452","Hal",2227
"453","Hal",2389
"454","Hal",2312
"455","Hal",2175
"456","Hal",2111
"457","Hal",2249
"458","Hal",2356
"459","Hal",2426
"460","Hal",2139
"461","Hal",2394
"462","Hal",2072
"463","Hal",2224
"464","Hal",2073
"465","Hal",2248
"466","Hal",2222
"467","Hal",2313
"468","Hal",2289
"469","Hal",2247
"470","Hal",2223
"471","Hal",2225
"472","Hal",2201
"473","Hal",2030
"474","Hal",2290
"475","Hal",2238
"476","Hal",2157
"477","Hal",2322
"478","Hal",2202
"479","Hal",2134
"480","Hal",2059
"481","Hal",2392
"482","Hal",2046
"483","Hal",2260
"484","Hal",2262
"485","Hal",2127
"486","Hal",2372
"487","Hal",2398
"488","Hal",2414
"489","Hal",2252
"490","Hal",2293
"491","Hal",2296
"492","Hal",2326
"493","Hal",2160
"494","Hal",2112
"495","Hal",2357
"496","Hal",2162
"497","Hal",2194
"498","Hal",2116
"499","Hal",2207
"500","Hal",2294
"501","Hal",2092
"502","Hal",2171
"503","Hal",2232
"504","Hal",2271
"505","Hal",2263
"506","Hal",2296
"507","Hal",2212
"508","Hal",2055
"509","Hal",2057
"510","Hal",2136
"511","Hal",2251
"512","Hal",2172
"513","Hal",2249
"514","Hal",2306
"515","Hal",2210
"516","Hal",2291
"517","Hal",2034
"518","Hal",2436
"519","Hal",2292
"520","Hal",2248
"521","Hal",2233
"522","Hal",2275
"523","Hal",2119
"524","Hal",2168
"525","Hal",2322
"526","Hal",2162
"527","Hal",2268
"528","Hal",2371
"529","Hal",2236
"530","Hal",2366
"531","Hal",2128
"532","Hal",2323
"533","Hal",2332
"534","Hal",2157
"535","Hal",2342
"536","Hal",2161
"537","Hal",2303
"538","Hal",2031
"539","Hal",2198
"540","Hal",2325
"541","Hal",2340
"542","Hal",2479
"543","Hal",2278
"544","Hal",2285
"545","Hal",2355
"546","Hal",2372
"547","Hal",2132
"548","Hal",2205
"549","Hal",2127
