"","ID","Road_Crossings"
"1","Jack",170
"2","Jack",216
"3","Jack",186
"4","Jack",229
"5","Jack",184
"6","Jack",200
"7","Jack",192
"8","Jack",161
"9","Jack",156
"10","Jack",226
"11","Jack",168
"12","Jack",184
"13","Jack",180
"14","Jack",204
"15","Jack",167
"16","Jack",134
"17","Jack",161
"18","Jack",152
"19","Jack",165
"20","Jack",189
"21","Jack",186
"22","Jack",194
"23","Jack",161
"24","Jack",187
"25","Jack",125
"26","Jack",151
"27","Jack",201
"28","Jack",168
"29","Jack",181
"30","Jack",189
"31","Jack",126
"32","Jack",282
"33","Jack",209
"34","Jack",187
"35","Jack",259
"36","Jack",167
"37","Jack",194
"38","Jack",212
"39","Jack",161
"40","Jack",181
"41","Jack",175
"42","Jack",125
"43","Jack",219
"44","Jack",216
"45","Jack",170
"46","Jack",201
"47","Jack",165
"48","Jack",173
"49","Jack",192
"50","Jack",165
"51","Jack",143
"52","Jack",223
"53","Jack",170
"54","Jack",168
"55","Jack",166
"56","Jack",168
"57","Jack",133
"58","Jack",153
"59","Jack",287
"60","Jack",217
"61","Jack",169
"62","Jack",184
"63","Jack",171
"64","Jack",146
"65","Jack",192
"66","Jack",183
"67","Jack",193
"68","Jack",199
"69","Jack",213
"70","Jack",172
"71","Jack",129
"72","Jack",187
"73","Jack",195
"74","Jack",186
"75","Jack",206
"76","Jack",141
"77","Jack",176
"78","Jack",224
"79","Jack",163
"80","Jack",221
"81","Jack",183
"82","Jack",191
"83","Jack",227
"84","Jack",168
"85","Jack",186
"86","Jack",110
"87","Jack",240
"88","Jack",178
"89","Jack",147
"90","Jack",200
"91","Jack",168
"92","Jack",182
"93","Jack",162
"94","Jack",228
"95","Jack",156
"96","Jack",238
"97","Jack",143
"98","Jack",148
"99","Jack",151
"100","Jack",189
"101","Jack",124
"102","Jack",168
"103","Jack",196
"104","Jack",182
"105","Jack",162
"106","Jack",168
"107","Jack",239
"108","Jack",161
"109","Jack",182
"110","Jack",139
"111","Jack",107
"112","Jack",176
"113","Jack",155
"114","Jack",159
"115","Jack",184
"116","Jack",155
"117","Jack",227
"118","Jack",149
"119","Jack",131
"120","Jack",198
"121","Jack",181
"122","Jack",236
"123","Jack",226
"124","Jack",215
"125","Jack",146
"126","Jack",214
"127","Jack",137
"128","Jack",135
"129","Jack",201
"130","Jack",209
"131","Jack",193
"132","Jack",175
"133","Jack",157
"134","Jack",186
"135","Jack",182
"136","Jack",199
"137","Jack",202
"138","Jack",154
"139","Jack",206
"140","Jack",185
"141","Jack",140
"142","Jack",194
"143","Jack",168
"144","Jack",168
"145","Jack",204
"146","Jack",149
"147","Jack",165
"148","Jack",200
"149","Jack",127
"150","Jack",187
"151","Jack",177
"152","Jack",172
"153","Jack",143
"154","Jack",194
"155","Jack",211
"156","Jack",184
"157","Jack",200
"158","Jack",217
"159","Jack",194
"160","Jack",186
"161","Jack",265
"162","Jack",224
"163","Jack",105
"164","Jack",181
"165","Jack",201
"166","Jack",252
"167","Jack",181
"168","Jack",185
"169","Jack",175
"170","Jack",232
"171","Jack",178
"172","Jack",225
"173","Jack",218
"174","Jack",157
"175","Jack",220
"176","Jack",242
"177","Jack",233
"178","Jack",182
"179","Jack",163
"180","Jack",160
"181","Jack",161
"182","Jack",170
"183","Jack",154
"184","Jack",196
"185","Jack",239
"186","Jack",230
"187","Jack",169
"188","Jack",178
"189","Jack",200
"190","Jack",207
"191","Jack",159
"192","Jack",205
"193","Jack",161
"194","Jack",165
"195","Jack",194
"196","Jack",144
"197","Jack",194
"198","Jack",166
"199","Jack",196
"200","Jack",158
"201","Jack",117
"202","Jack",159
"203","Jack",213
"204","Jack",208
"205","Jack",152
"206","Jack",194
"207","Jack",229
"208","Jack",207
"209","Jack",186
"210","Jack",253
"211","Jack",152
"212","Jack",186
"213","Jack",181
"214","Jack",171
"215","Jack",167
"216","Jack",115
"217","Jack",147
"218","Jack",150
"219","Jack",174
"220","Jack",173
"221","Jack",199
"222","Jack",210
"223","Jack",296
"224","Jack",173
"225","Jack",180
"226","Jack",167
"227","Jack",217
"228","Jack",162
"229","Jack",253
"230","Jack",208
"231","Jack",142
"232","Jack",184
"233","Jack",208
"234","Jack",168
"235","Jack",198
"236","Jack",242
"237","Jack",176
"238","Jack",195
"239","Jack",203
"240","Jack",142
"241","Jack",128
"242","Jack",142
"243","Jack",208
"244","Jack",146
"245","Jack",233
"246","Jack",165
"247","Jack",152
"248","Jack",164
"249","Jack",171
"250","Jack",179
"251","Jack",164
"252","Jack",183
"253","Jack",219
"254","Jack",207
"255","Jack",214
"256","Jack",189
"257","Jack",198
"258","Jack",186
"259","Jack",152
"260","Jack",179
"261","Jack",203
"262","Jack",241
"263","Jack",153
"264","Jack",168
"265","Jack",195
"266","Jack",159
"267","Jack",234
"268","Jack",154
"269","Jack",150
"270","Jack",161
"271","Jack",186
"272","Jack",187
"273","Jack",182
"274","Jack",191
"275","Jack",149
"276","Jack",169
"277","Jack",199
"278","Jack",130
"279","Jack",131
"280","Jack",186
"281","Jack",184
"282","Jack",187
"283","Jack",179
"284","Jack",159
"285","Jack",173
"286","Jack",146
"287","Jack",174
"288","Jack",191
"289","Jack",167
"290","Jack",162
"291","Jack",208
"292","Jack",175
"293","Jack",125
"294","Jack",174
"295","Jack",163
"296","Jack",134
"297","Jack",190
"298","Jack",188
"299","Jack",209
"300","Jack",149
"301","Jack",170
"302","Jack",169
"303","Jack",209
"304","Jack",229
"305","Jack",166
"306","Jack",169
"307","Jack",184
"308","Jack",145
"309","Jack",193
"310","Jack",203
"311","Jack",185
"312","Jack",171
"313","Jack",176
"314","Jack",205
"315","Jack",184
"316","Jack",191
"317","Jack",166
"318","Jack",152
"319","Jack",171
"320","Jack",191
"321","Jack",179
"322","Jack",156
"323","Jack",199
"324","Jack",204
"325","Jack",195
"326","Jack",183
"327","Jack",174
"328","Jack",217
"329","Jack",182
"330","Jack",220
"331","Jack",164
"332","Jack",145
"333","Jack",191
"334","Jack",241
"335","Jack",211
"336","Jack",177
"337","Jack",179
"338","Jack",227
"339","Jack",146
"340","Jack",212
"341","Jack",199
"342","Jack",245
"343","Jack",163
"344","Jack",127
"345","Jack",180
"346","Jack",143
"347","Jack",234
"348","Jack",162
"349","Jack",157
"350","Jack",209
"351","Jack",201
"352","Jack",196
"353","Jack",180
"354","Jack",127
"355","Jack",195
"356","Jack",201
"357","Jack",220
"358","Jack",210
"359","Jack",172
"360","Jack",163
"361","Jack",173
"362","Jack",259
"363","Jack",177
"364","Jack",263
"365","Jack",220
"366","Jack",292
"367","Jack",161
